,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
419,419,Ali Eslami,Google DeepMind,Geoffrey E Hinton,Google,"Attend, Infer, Repeat: Fast Scene Understanding with Generative Models."
420,420,Miguel A. Carreira-Perpinan,UC Merced,Ramin Raziperchikolaei,UC Merced,An ensemble diversity approach to supervised binary hashing.
421,421,Rodrigo Nogueira,New York University,Kyunghyun Cho,University of Montreal,End-to-End Goal-Driven Web Navigation.
422,422,Kevin Jamieson,UC Berkeley,Benjamin Recht,UC Berkeley,The Power of Adaptivity in Identifying Statistical Alternatives.
423,423,Ankit Patel,Baylor College of Medicine and Rice University,Richard Baraniuk,Rice University,A Probabilistic Framework for Deep Learning.
424,424,Ilya Tolstikhin,"Google, Brain Team, Zurich",Bernhard Schölkopf,"MPI for Intelligent Systems, Tübingen",Minimax Estimation of Maximum Mean Discrepancy with Radial Kernels.
425,425,Rudy Bunel,Oxford University,Philip Torr,Oxford University,Adaptive Neural Compilation.
426,426,Klaus Greff,IDSIA,Jürgen Schmidhuber,"Swiss AI Lab, IDSIA (USI & SUPSI) - NNAISENSE",Tagger: Deep Unsupervised Perceptual Grouping.
427,427,Richard Nock,Data61 and ANU,Cheng Soon Ong,Data61,A scaled Bregman theorem with applications.
428,428,Luca Bertinetto,University of Oxford,Andrea Vedaldi,Facebook AI Research and University of Oxford,Learning feed-forward one-shot learners.
429,429,Hong Chen,University of Texas,Weidong Cai,University of Sydney,Error Analysis of Generalized Nyström Kernel Regression.
430,430,Weihao Gao,UIUC,Pramod Viswanath,UIUC,Breaking the Bandwidth Barrier: Geometrical Adaptive Entropy Estimation.
431,431,Yang You,UC Berkeley,Cho-Jui Hsieh,UCLA,Asynchronous Parallel Greedy Coordinate Descent.
432,432,Corinna Cortes,Google Research,Scott Yang,New York University,Structured Prediction Theory Based on Factor Graph Complexity.
433,433,Tatiana Shpakova,Inria - ENS Paris,Francis Bach,INRIA - Ecole Normale Superieure,Parameter Learning for Log-supermodular Distributions.
434,434,Xiaotong Yuan,Nanjing University of Informat,Tong Zhang,Tencent,Exact Recovery of Hard Thresholding Pursuit.
435,435,Seyed Mehran Kazemi,UBC,David Poole,UBC,New Liftable Classes for First-Order Probabilistic Inference.
436,436,Josip Djolonga,ETH Zurich,Andreas Krause,ETH Zurich,Variational Inference in Mixed Probabilistic Submodular Models.
437,437,Marc Bellemare,Google DeepMind,Remi Munos,Google DeepMind,Unifying Count-Based Exploration and Intrinsic Motivation.
438,438,Andrej Risteski,Princeton University,Yuanzhi Li,Princeton University,Approximate maximum entropy principles via Goemans-Williamson with applications to provable variational methods.
