499,499,Xinran He,USC,Yan Liu,University of Southern California,Learning Influence Functions from Incomplete Observations.
500,500,Tao Wu,Purdue University,David Gleich,Purdue University,General Tensor Spectral Co-clustering for Higher-Order Data.
501,501,Scott Linderman,Columbia University,Jonathan Pillow,Princeton University,Bayesian latent structure discovery from multi-neuron recordings.
502,502,Lin Chen,Yale University,Forrest W. Crawford,Yale University,Estimating the Size of a Large Network and its Communities from a Random Sample.
503,503,Grégoire Montavon,TU Berlin,Marco Cuturi,Google Brain  &  CREST - ENSAE,Wasserstein Training of Restricted Boltzmann Machines.
504,504,yan yang,Xi'an Jiaotong University,Zongben Xu,Xi'an Jiaotong University,Deep ADMM-Net for Compressive Sensing MRI.
505,505,Thibaut Horel,Harvard University,Yaron Singer,Harvard University,Maximization of Approximately Submodular Functions.
506,506,Yu-Xiong Wang,Carnegie Mellon University,Martial Hebert,Carnegie Mellon University,Combining Low-Density Separators with CNNs.
507,507,Ayan Chakrabarti,TTI Chicago,Ayan Chakrabarti,TTI Chicago,Learning Sensor Multiplexing Design through Back-propagation.
508,508,Kameron Harris,University of Washington,Eric Shea-Brown,University of Washington,High resolution neural connectivity from incomplete tracing data using nonnegative spline regression.
509,509,Jiajun Wu,MIT,Josh Tenenbaum,MIT,Learning a Probabilistic Latent Space of Object Shapes via 3D Generative-Adversarial Modeling.
510,510,Mohammad Javad Hosseini,University of Washington,Su-In Lee,University of Washington,Learning Sparse Gaussian Graphical Models with Overlapping Blocks.
511,511,Maia Fraser,University of Ottawa,Maia Fraser,University of Ottawa,Multi-step learning and underlying structure in statistical models.
512,512,Yiwen Guo,Intel Labs China,Yurong Chen,Intel Labs China,Dynamic Network Surgery for Efficient DNNs.
513,513,Aryeh Kontorovich,Ben Gurion University,Ruth Urner,MPI Tuebingen,Active Nearest-Neighbor Learning in Metric Spaces.
514,514,Mathias Niepert,NEC Labs Europe,Mathias Niepert,NEC Labs Europe,Discriminative Gaifman Models.
515,515,Alex M Lamb,Montreal,Yoshua Bengio,U. Montreal,Professor Forcing: A New Algorithm for Training Recurrent Networks.
516,516,Feng Nan,Boston University,Venkatesh Saligrama,Boston University,Pruning Random Forests for Prediction on a Budget.
517,517,Mehrdad Farajtabar,Georgia Tech,Hongyuan Zha,Georgia Institute of Technology,Multistage Campaigning in Social Networks.
518,518,Yichen Wang,Georgia Tech,Le Song,Georgia Institute of Technology,Coevolutionary Latent Feature Processes for Continuous-Time User-Item Interactions.
