539,539,Weifeng Chen,University of Michigan,Jia Deng,University of Michigan,Single-Image Depth Perception in the Wild.
540,540,Amit Daniely,Google Brain,Yoram Singer,Google,Toward Deeper Understanding of Neural Networks: The Power of Initialization and a Dual View on Expressivity.
541,541,Ohad Shamir,Weizmann Institute of Science,Ohad Shamir,Weizmann Institute of Science,Without-Replacement Sampling for Stochastic Gradient Methods.
542,542,jifeng dai,Microsoft,Jian Sun,Microsoft,R-FCN: Object Detection via Region-based Fully Convolutional Networks.
543,543,Tianfan Xue,MIT CSAIL,Bill Freeman,MIT/Google,Visual Dynamics: Probabilistic Future Frame Synthesis via Cross Convolutional Networks.
544,544,Ilya Shpitser,Johns Hopkins University,Ilya Shpitser,Johns Hopkins University,Consistent Estimation of Functions of Data Missing Non-Monotonically and Not at Random.
545,545,Scott E Reed,University of Michigan,Honglak Lee,University of Michigan,Learning What and Where to Draw.
546,546,Yiming Ying,State University of New York at Albany,Siwei Lyu,State University of New York at Albany,Stochastic Online AUC Maximization.
547,547,Kenji Kawaguchi,MIT,Kenji Kawaguchi,MIT,Deep Learning without Poor Local Minima.
548,548,Damien Scieur,INRIA - ENS,Francis Bach,INRIA - Ecole Normale Superieure,Regularized Nonlinear Acceleration.
549,549,Pulkit Agrawal,UC Berkeley,Sergey Levine,University of Washington,Learning to Poke by Poking: Experiential Learning of Intuitive Physics.
550,550,Tim Salimans,Algoritmica,Diederik Kingma,Google,Weight Normalization: A Simple Reparameterization to Accelerate Training of Deep Neural Networks.
551,551,Dan Garber,Technion,Ofer Meshi,Google,Linear-Memory and Decomposition-Invariant Linearly Convergent Conditional Gradient Algorithm for Structured Polytopes.
552,552,Emmanuel Abbe,Princeton University,Colin Sandon,Princeton University,Achieving the KS threshold in the general stochastic block model with linearized acyclic belief propagation.
553,553,Felix Xinnan Yu,Google Research,Sanjiv Kumar,Google,Orthogonal Random Features.
554,554,Christopher B Choy,Stanford University,Silvio Savarese,Stanford University,Universal Correspondence Network.
555,555,Risi Kondor,The University of Chicago,Horace Pan,UChicago,The Multiscale Laplacian Graph Kernel.
556,556,Vitaly Feldman,Apple,Vitaly Feldman,Apple,Generalization of ERM in Stochastic Convex Optimization: The Dimension Strikes Back.
557,557,Shinji Ito,NEC Coorporation,Ryohei Fujimaki,NEC Data Science Research Laboratories,Large-Scale Price Optimization via Network Flow.
558,558,Jost Tobias Springenberg,University of Freiburg,Frank Hutter,University of Freiburg,Bayesian Optimization with Robust Bayesian Neural Networks.
