39,39,Oren Anava,Technion,Kfir Y. Levy,Technion,k*-Nearest Neighbors: From Global to Local.
40,40,Mohammad Norouzi,Google Brain,Dale Schuurmans,Google Brain & University of Alberta,Reward Augmented Maximum Likelihood for Neural Structured Prediction.
41,41,Koosha Khalvati,University of Washington,Rajesh PN Rao,University of Washington,A Probabilistic Model of Social Decision Making based on Reward Maximization.
42,42,T.K. Huang,Uber Advanced Technologies Center,Jerry Zhu,University of Wisconsin-Madison,Active Learning with Oracle Epiphany.
43,43,Richard Nock,Data61 and ANU,Richard Nock,Data61 and ANU,On Regularizing Rademacher Observation Losses.
44,44,Elad Hazan,Princeton University,Tengyu Ma,Princeton University,A Non-generative Framework and Convex Relaxations for Unsupervised Learning.
45,45,Vikas Garg,MIT,Tommi Jaakkola,MIT,Learning Tree Structured Potential Games.
46,46,Moritz Hardt,Google Brain,Nati Srebro,TTI-Chicago,Equality of Opportunity in Supervised Learning.
47,47,Peter Battaglia,Google DeepMind,koray kavukcuoglu,Google DeepMind,"Interaction Networks for Learning about Objects, Relations and Physics."
48,48,Valentina Zantedeschi,UJM Saint-Etienne,Marc Sebban,University Jean Monnet,beta-risk: a New Surrogate Risk for Learning from Weakly Labeled Data.
49,49,Itay Hubara,Technion,Yoshua Bengio,Université de Montréal,Binarized Neural Networks.
50,50,Mehdi Sajjadi,University of Utah,Tolga Tasdizen,University of Utah,Regularization With Stochastic Transformations and Perturbations for Deep Semi-Supervised Learning.
51,51,Alexey Dosovitskiy,University of Freiburg,Thomas Brox,University of Freiburg,Generating Images with Perceptual Similarity Metrics based on Deep Networks.
52,52,Amin Jalali,University of Washington,Maryam Fazel,University of Washington,Exploiting Tradeoffs for Exact Recovery in Heterogeneous Stochastic Block Models.
53,53,Kenyon Tsai,Harvard University,David Cox,"MIT-IBM Watson AI Lab, IBM Research",Tensor Switching Networks.
54,54,Juho Lee,POSTECH,Seungjin Choi,POSTECH,Finite-Dimensional BFRY Priors and Variational Bayesian Inference for Power Law Models.
55,55,Hsiang-Fu (Rofu) Yu,University of Texas at Austin,Inderjit Dhillon,UT Austin & Amazon,Temporal Regularized Matrix Factorization for High-dimensional Time Series Prediction.
56,56,Matthew Johnson,MIT,Sandeep R Datta,Harvard Medical School,Composing graphical models with neural networks for structured representations and fast inference.
57,57,Akshay Krishnamurthy,UMass Amherst,John Langford,Microsoft Research New York,PAC Reinforcement Learning with Rich Observations.
58,58,Andrej Risteski,Princeton University,Yuanzhi Li,Princeton University,Algorithms and matching lower bounds for approximately-convex optimization.
