99,99,Andrew Wilson,Carnegie Mellon University,Eric Xing,Carnegie Mellon University,Stochastic Variational Deep Kernel Learning.
100,100,Brian W Dolhansky,University of Washington,Jeff A Bilmes,University of Washington,Deep Submodular Functions: Definitions and Learning.
101,101,Murat Erdogdu,Stanford University,Mohsen Bayati,Stanford University,Scaled Least Squares Estimator for GLMs in Large-Scale Problems.
102,102,Ehsan Elhamifar,Northeastern University,Ehsan Elhamifar,Northeastern University,High-Rank Matrix Completion and Clustering under Self-Expressive Models.
103,103,Alp Yurtsever,EPFL,Volkan Cevher,EPFL,Stochastic Three-Composite Convex Minimization.
104,104,Zequn Jie,National Univ of Singapore,Shuicheng Yan,National University of Singapore,Tree-Structured Reinforcement Learning for Sequential Object Localization.
105,105,Nicolas Boumal,EPFL,Afonso Bandeira,,The non-convex Burer-Monteiro approach works on smooth semidefinite programs.
106,106,Travis Monk,University of Oldenburg,Jörg Lücke,University of Oldenburg,Neurons Equipped with Intrinsic Plasticity Learn Stimulus Intensity Statistics.
107,107,Dino Oglic,University of Bonn,Thomas Gärtner,The University of Nottingham,Greedy Feature Construction.
108,108,Yoshinobu Kawahara,Osaka University,Yoshinobu Kawahara,Osaka University,Dynamic Mode Decomposition with Reproducing Kernels for Koopman Spectral Analysis.
109,109,Jose M. Alvarez,NICTA,Mathieu Salzmann,EPFL,Learning the Number of Neurons in Deep Networks.
110,110,Alexander Vezhnevets,Google DeepMind,koray kavukcuoglu,Google DeepMind,Strategic Attentive Writer for Learning Macro-Actions.
111,111,Songbai Yan,University of California,Tara Javidi,University of California,Active Learning from Imperfect Labelers.
112,112,Onur Teymur,Imperial College London,Ben Calderhead,Imperial College,Probabilistic Linear Multistep Methods.
113,113,Xinyang Yi,UT Austin,Han Liu,Tencent AI Lab,"More Supervision, Less Computation: Statistical-Computational Tradeoffs in Weakly Supervised Learning."
114,114,jean barbier,EPFL,Lenka Zdeborová,EPFL,Mutual information for symmetric rank-one matrix estimation: A proof of the replica formula.
115,115,Francesco Orabona,Yahoo Research,David Pal,Google,Coin Betting and Parameter-Free Online Learning.
116,116,Yanyao Shen,UT Austin,Sujay Sanghavi,UT-Austin,Normalized Spectral Map Synchronization.
117,117,Aurélien Garivier,Ecole Normale Supérieure de Lyon,Emilie Kaufmann,Telecom ParisTech,On Explore-Then-Commit strategies.
118,118,Aman Sinha,Stanford University,John Duchi,Stanford,Learning Kernels with Random Features.
