459,459,Rishi Gupta,Stanford,Sergei Vassilvitskii,Google,On Mixtures of Markov Chains.
460,460,Qilong Gu,University of Minnesota,Arindam Banerjee,"University of Minnesota, Twin Cities",High Dimensional Structured Superposition Models.
461,461,Lalit Jain,University of Michigan,Rob Nowak,University of Wisconsin Madison,Finite Sample Prediction and Recovery Bounds for Ordinal Embedding.
462,462,Han-Jia Ye,Nanjing University,Zhi-Hua Zhou,Nanjing University,What Makes Objects Similar: A Unified Multi-Metric Learning Approach.
463,463,David Harwath,MIT CSAIL,James Glass,MIT CSAIL,Unsupervised Learning of Spoken Language with Visual Context.
464,464,Xinghao Pan,UC Berkeley,Benjamin Recht,UC Berkeley,Cyclades: Conflict-free Asynchronous Machine Learning.
465,465,Peter Schulam,Johns Hopkins University,Raman Arora,Johns Hopkins University,Disease Trajectory Maps.
466,466,George Papamakarios,University of Edinburgh,Iain Murray,University of Edinburgh,Fast ε-free Inference of Simulation Models with Bayesian Conditional Density Estimation.
467,467,Artem Sokolov,Heidelberg University,Christopher Lo,Tufts University,Stochastic Structured Prediction under Bandit Feedback.
468,468,Crane Huang,LIBR,Martin Paulus,LIBR,Learning under uncertainty: a comparison between R-W and Bayesian approach.
469,469,Taiji Suzuki,The University of Tokyo/RIKEN-AIP,Yukihiro Tagami,Yahoo Japan Corporation,Minimax Optimal Alternating Minimization for Kernel Nonparametric Tensor Learning.
470,470,Peter Chen,Columbia University,Bo Tang,University of Oxford,On the Recursive Teaching Dimension of VC Classes.
471,471,Yossi Arjevani,Weizmann Institute of Science,Ohad Shamir,Weizmann Institute of Science,Dimension-Free Iteration Complexity of Finite Sum Optimization Problems.
472,472,Sebastian Nowozin,Microsoft Research,Ryota Tomioka,MSRC,f-GAN: Training Generative Neural Samplers using Variational Divergence Minimization.
473,473,Guillaume Rabusseau,Aix-Marseille University,Hachem Kadri,Aix-Marseille University,Low-Rank Regression with Tensor Responses.
474,474,Huasen Wu,University of California at Davis,Xin Liu,University of California,Double Thompson Sampling for Dueling Bandits.
475,475,Yuanjun Gao,Columbia University,John Cunningham,University of Columbia,Linear dynamical neural population models through nonlinear embeddings.
476,476,Nagarajan Natarajan,Microsoft Research,Prateek Jain,Microsoft Research,Regret Bounds for Non-decomposable Metrics with Missing Labels.
477,477,Liangbei Xu,Gatech,Mark Davenport,Georgia Institute of Technology,Dynamic matrix recovery from incomplete observations under an exact low-rank constraint.
478,478,Yingzhen Li,University of Cambridge,Richard Turner,University of Cambridge,Rényi Divergence Variational Inference.
