479,479,Himabindu Lakkaraju,Stanford University,Jure Leskovec,Stanford University/Pinterest,Confusions over Time: An Interpretable Bayesian Model to Characterize Trends in Decision Making.
480,480,Walid Krichene,UC Berkeley,Peter Bartlett,UC Berkeley,Adaptive Averaging in Accelerated Descent Dynamics.
481,481,Tom Rainforth,University of Oxford,Frank Wood,University of British Columbia,Bayesian Optimization for Probabilistic Programs.
482,482,Weiran Wang,"University of California, Merced",Nati Srebro,TTI-Chicago,Efficient Globally Convergent Stochastic Optimization for Canonical Correlation Analysis.
483,483,Han Zhao,Carnegie Mellon University,Geoffrey Gordon,MSR Montréal & CMU,A Unified Approach for Learning the Parameters of Sum-Product Networks.
484,484,Jiyan Yang,Stanford University,Yuekai Sun,University of Michigan,Feature-distributed sparse regression: a screen-and-clean approach.
485,485,Tuomas Haarnoja,UC Berkeley,Pieter Abbeel,OpenAI / UC Berkeley / Gradescope,Backprop KF: Learning Discriminative Deterministic State Estimators.
486,486,Saurabh Singh,UIUC,David Forsyth,UIUC,Swapout: Learning an ensemble of deep architectures.
487,487,Antoine Desir,Columbia University,Danny Segev,University of Haifa,Assortment Optimization Under the Mallows model.
488,488,Rajesh Ranganath,Princeton University,David Blei,Columbia University,Operator Variational Inference.
489,489,Abdul-Saboor Sheikh,SAP Labs Berlin,Jörg Lücke,University of Oldenburg,Select-and-Sample for Spike-and-Slab Sparse Coding.
490,490,Chinmay Hegde,Iowa State University,Ludwig Schmidt,MIT,Fast recovery from a union of subspaces.
491,491,Casper Kaae Sønderby,University of Copenhagen,Ole Winther,Technical University of Denmark,Ladder Variational Autoencoders.
492,492,Dehua Cheng,Univ. of Southern California,Kimis Perros,Georgia Institute of Technology,SPALS: Fast Alternating Least Squares via Implicit Leverage Scores Sampling.
493,493,Xiao Chu,Cuhk,Xiaogang Wang,Chinese University of Hong Kong,CRF-CNN: Modeling Structured Information in Human Pose Estimation.
494,494,Carlo Ciliberto,MIT,Alessandro Rudi,"École Normale Supérieure, INRIA",A Consistent Regularization Approach for Structured Prediction.
495,495,Sébastien Gerchinovitz,Université Toulouse 3 - Paul Sabatier,Tor Lattimore,DeepMind,Refined Lower Bounds for Adversarial Bandits.
496,496,Evgeniya Ustinova,Skoltech,Victor Lempitsky,Samsung,Learning Deep Embeddings with Histogram Loss.
497,497,Yexiang Xue,Cornell University,Bart Selman,Cornell University,Solving Marginal MAP Problems with NP Oracles and Parity Constraints.
498,498,Yang Song,Stanford University,Yong Ren,Tsinghua University,Kernel Bayesian Inference with Posterior Regularization.
