519,519,Qi Lei,UT AUSTIN,Inderjit Dhillon,UT Austin & Amazon,Coordinate-wise Power Method.
520,520,Conghui Tan,The Chinese University of HK,Yuqiu Qian,The University of Hong Kong,Barzilai-Borwein Step Size for Stochastic Gradient Descent.
521,521,Vu C Dinh,Fred Hutchinson Cancer Center,Duy Nguyen,University of Wisconsin-Madison,Fast learning rates with heavy-tailed losses.
522,522,Miguel A Bautista,Heidelberg University,Bjorn Ommer,Heidelberg University,CliqueCNN: Deep Unsupervised Exemplar Learning.
523,523,William H Montgomery,University of Washington,Sergey Levine,University of Washington,Guided Policy Search via Approximate Mirror Descent.
524,524,Prateek Jain,Microsoft Research,Inderjit Dhillon,UT Austin & Amazon,Structured Sparse Regression via Greedy Hard Thresholding.
525,525,Dylan Foster,Cornell University,Eva Tardos,Cornell University,Learning in Games: Robustness of Fast Convergence.
526,526,Roger Grosse,University of Toronto,Dan Roy,Univ of Toronto & Vector,Measuring the reliability of MCMC inference with bidirectional Monte Carlo.
527,527,Tengyao Wang,University of Cambridge,Yaniv Plan,University of British Columbia,Average-case hardness of RIP certification.
528,528,Chi Jin,UC Berkeley,Praneeth Netrapalli,Microsoft Research,Provable Efficient Online Matrix Completion via Non-convex Stochastic Gradient Descent.
529,529,matt zhang,Nicta,Fang Chen,Data61,Infinite Hidden Semi-Markov Modulated Interaction Point Process.
530,530,Shipra Agrawal,Columbia University,Nikhil Devanur,Microsoft Research,Linear Contextual Bandits with Knapsacks.
531,531,Fan Yang,University of Chicago,John Lafferty,Yale University,Selective inference for group-sparse linear models.
532,532,Arulkumar Subramaniam,IIT Madras,Anurag Mittal,IIT Madras,Deep Neural Networks with Inexact Matching for Person Re-Identification.
533,533,Mengdi Wang,Princeton University,Ethan Fang,Pennsylvania State University,Accelerating Stochastic Composition Optimization.
534,534,Wataru Kumagai,Kanagawa University,Wataru Kumagai,Kanagawa University,Learning Bound for Parameter Transfer Learning.
535,535,Łukasz Kaiser,Google Brain,Samy Bengio,Apple,Can Active Memory Replace Attention?.
536,536,Wenjie Luo,University of Toronto,Richard Zemel,Vector Institute/University of Toronto,Understanding the Effective Receptive Field in Deep Convolutional Neural Networks.
537,537,Chen Huang,Chinese University of HongKong,Xiaoou Tang,The Chinese University of Hong Kong,Local Similarity-Aware Deep Feature Embedding.
538,538,Julien Mairal,Inria,Julien Mairal,Inria,End-to-End Kernel Learning with Supervised Convolutional Kernel Networks.
