,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
219,219,Ilya Tolstikhin,MPI for Intelligent Systems,Bernhard Schölkopf,MPI for Intelligent Systems,AdaGAN: Boosting Generative Models.
220,220,Hyeji Kim,Samsung AI Center Cambridge,Pramod Viswanath,UIUC,Discovering Potential Correlations via Hypercontractivity.
221,221,Jonathan Scarlett,EPFL,Volkan Cevher,EPFL,Phase Transitions in the Pooled Data Problem.
222,222,Yaoqing Yang,Carnegie Mellon University,Soummya Kar,Carnegie Mellon University,Coded Distributed Computing for Inverse Problems.
223,223,Arya Mazumdar,University of Massachusetts Amherst,Barna Saha,University of Massachusetts Amherst,Query Complexity of Clustering with Side Information.
224,224,Lixin Fan,Nokia Technologies,Lixin Fan,Nokia Technologies,Revisit Fuzzy Neural Network: Demystifying Batch Normalization and ReLU with Generalized Hamming Network.
225,225,Shipra Agrawal,Columbia University,Randy Jia,Columbia University,Optimistic posterior sampling for reinforcement learning: worst-case regret bounds.
226,226,Fanny Yang,ETH Zurich,Martin Wainwright,UC Berkeley,A framework for Multi-A(rmed)/B(andit) Testing with Online FDR Control.
227,227,Emilie Kaufmann,CNRS & CRIStAL (SequeL),Wouter Koolen,"Centrum Wiskunde & Informatica, Amsterdam",Monte-Carlo Tree Search by Best Arm Identification.
228,228,Richard Combes,Centrale-Supelec,Alexandre Proutiere,KTH,Minimal Exploration in Structured Stochastic Bandits.
229,229,Wataru Kumagai,RIKEN,Wataru Kumagai,RIKEN,Regret Analysis for Continuous Dueling Bandit.
230,230,Zelda Mariet,MIT,Suvrit Sra,MIT,Elementary Symmetric Polynomials for Optimal Experimental Design.
231,231,Elad Hazan,Princeton University,Cyril Zhang,Princeton University,Learning Linear Dynamical Systems via Spectral Filtering.
232,232,Stefan Bauer,ETH Zürich,Joachim M Buhmann,ETH Zurich,Efficient and Flexible Inference for Stochastic Systems.
233,233,Hong Chen,University of Pittsburgh,Heng Huang,University of Pittsburgh,Group Sparse Additive Machine.
234,234,Zhan Shi,University of Illinois at Chicago,Yaoliang Yu,University of Waterloo,Bregman Divergence for Stochastic Variance Reduction: Saddle-Point and Adversarial Prediction.
235,235,Young H Jung,Universith of Michigan,Ambuj Tewari,University of Michigan,Online multiclass boosting.
236,236,Jaouad Mourtada,Ecole Polytechnique,Erwan Scornet,Ecole Polytechnique,Universal consistency and minimax rates for online Mondrian Forests.
237,237,Antti Tarvainen,The Curious AI Company,Harri Valpola,The Curious AI Company,Mean teachers are better role models: Weight-averaged consistency targets improve semi-supervised deep learning results.
238,238,Takashi Ishida,"The University of Tokyo, RIKEN, SMAM",Masashi Sugiyama,RIKEN / University of Tokyo,Learning from Complementary Labels.
