,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
259,259,Shinji Ito,"NEC Corporation,      University of Tokyo",Ken-Ichi Kawarabayashi,National Institute of Informatics,Efficient Sublinear-Regret Algorithms for Online Sparse Linear Regression with Limited Observation.
260,260,Michal Derezinski,UC Santa Cruz,Manfred K. Warmuth,Univ. of Calif. at Santa Cruz,Unbiased estimates for linear regression via volume sampling.
261,261,Adarsh Prasad,Carnegie Mellon University,Pradeep Ravikumar,Carnegie Mellon University,"On Separability of Loss Functions, and Revisiting Discriminative Vs Generative Models."
262,262,Jason Xu,NSF Postdoctoral Fellow UCLA,Kenneth Lange,UCLA,Generalized Linear Model Regression under Distance-to-set Penalties.
263,263,Chao Pan,Purdue University,Michael Zhu,Purdue University,Group Additive Structure Identification for Kernel Nonparametric Regression.
264,264,Vatsal Sharan,Stanford University,Gregory Valiant,Stanford University,Learning Overcomplete HMMs.
265,265,Ashish Khetan,Amazon AI Labs,Sewoong Oh,UIUC,Matrix Norm Estimation from a Few Entries.
266,266,Danny Barash,The Hebrew University Of Jerusalem,Matan Gavish,Hebrew University,Optimal Shrinkage of Singular Values Under Random Data Contamination.
267,267,Guangcan Liu,Nanjing University of Information Science & Technology,Xiaotong Yuan,Nanjing University of Information Science & Technology,A New Theory for Matrix Completion.
268,268,Blake Mason,University of Wisconsin - Madison,Robert Nowak,University of Wisconsion-Madison,Learning Low-Dimensional Metrics.
269,269,Niladri Chatterji,UC Berkeley,Peter Bartlett,UC Berkeley,Alternating minimization for dictionary learning with random initialization.
270,270,Kush Bhatia,UC Berkeley,Puru Kar,Indian Institute of Technology Kanpur,Consistent Robust Regression.
271,271,Jie Shen,Stevens Institute of Technology,Ping Li,Rugters University,Partial Hard Thresholding: Towards A Principled Analysis of Support Recovery.
272,272,Addison Hu,Yale University,Sahand Negahban,Yale University,Minimax Estimation of Bandable Precision Matrices.
273,273,Chris Junchi Li,Tencent AI Lab,Tong Zhang,Tencent AI Lab,Diffusion Approximations for Online Principal Component Estimation and Global Convergence.
274,274,Xiaohan Wei,University of Southern California,Stanislav Minsker,USC,Estimation of the covariance structure of heavy-tailed distributions.
275,275,Naoya Takeishi,The University of Tokyo,Takehisa Yairi,The University of Tokyo,Learning Koopman Invariant Subspaces for Dynamic Mode Decomposition.
276,276,Raman Arora,Johns Hopkins University,Nati Srebro,TTI-Chicago,Stochastic Approximation for Canonical Correlation Analysis.
277,277,SIYUAN MA,The Ohio State University,Mikhail Belkin,Ohio State University,Diving into the shallows: a computational perspective on large-scale shallow learning.
278,278,Krzysztof Choromanski,Google Brain Robotics,Adrian Weller,University of Cambridge,The Unreasonable Effectiveness of Structured Random Orthogonal Embeddings.
