339,339,Wei-Ning Hsu,Massachusetts Institute of Technology,James Glass,MIT CSAIL,Unsupervised Learning of Disentangled and Interpretable Representations from Sequential Data.
340,340,Aaron van den Oord,Google Deepmind,koray kavukcuoglu,Google DeepMind,Neural Discrete Representation Learning.
341,341,Jörg Bornschein,DeepMind,Danilo Jimenez Rezende,Google DeepMind,Variational Memory Addressing in Generative Models.
342,342,Rui Costa,University of Oxford,TIm Vogels,University of Oxford,Cortical microcircuits as gated-recurrent neural networks.
343,343,Hanul Shin,Massachusetts Institute of Technology,Jiwon Kim,SK T-Brain,Continual Learning with Deep Generative Replay.
344,344,Adam Kosiorek,University of Oxford,Ingmar Posner,Oxford University,Hierarchical Attentive Recurrent Tracking.
345,345,Yuchen Pu,Duke University,Lawrence Carin,Duke University,VAE Learning via Stein Variational Gradient Descent.
346,346,Mohammad Haris Baig,Dartmouth College,Lorenzo Torresani,Dartmouth/Facebook,Learning to Inpaint for Image Compression.
347,347,Nick Watters,Google DeepMind,Andrea Tacchetti,MIT,Visual Interaction Networks: Learning a Physics Simulator from Video.
348,348,Fei Xia,Stanford University,David Tse,Stanford University,NeuralFDR: Learning Discovery Thresholds from Hypothesis Features.
349,349,Alexander Berardino,New York University,Eero Simoncelli,HHMI / New York University,Eigen-Distortions of Hierarchical Representations.
350,350,Graham Neubig,Carnegie Mellon University,Chris Dyer,DeepMind,On-the-fly Operation Batching in Dynamic Computation Graphs.
351,351,Sifei Liu,Nvidia,Jan Kautz,NVIDIA,Learning Affinity via Spatial Propagation Networks.
352,352,Saeid Motiian,West Virginia University,Gianfranco Doretto,West Virginia University,Few-Shot Adversarial Domain Adaptation.
353,353,Weiyang Liu,Georgia Tech,Le Song,Ant Financial & Georgia Institute of Technology,Deep Hyperspherical Learning.
354,354,Minhyung Cho,Gracenote,Jaehyung Lee,Gracenote,Riemannian approach to batch normalization.
355,355,Francesco Orabona,Boston University,Tatiana Tommasi,University of Rome La Sapienza,Training Deep Networks without Learning Rates Through Coin Betting.
356,356,Ziming Zhang,MERL,Matthew Brand,Mitsubishi Electric Research Labs,Convergent Block Coordinate Descent for Training Tikhonov Regularized Deep Neural Networks.
357,357,Zhanhong Jiang,Iowa State University,Soumik Sarkar,Iowa State University,Collaborative Deep Learning in Fixed Topology Networks.
358,358,Amir Taghvaei,University of Illinois at Urbana-Champaign,Prashant Mehta,University of Illinois,How regularization affects the critical points in linear networks.
