,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
419,419,Sami Remes,Aalto University,Samuel Kaski,Aalto University,Non-Stationary Spectral Kernels.
420,420,Kun Dong,Cornell University,Andrew Wilson,Cornell University,Scalable Log Determinants for Gaussian Process Kernel Learning.
421,421,Gabriel Parra,Universidad de Chile,Felipe Tobar,Universidad de Chile,Spectral Mixture Kernels for Multi-Output Gaussian Processes.
422,422,Carl Jidling,Uppsala University,Thomas Schön,Uppsala University,Linearly constrained Gaussian processes.
423,423,Marcin Andrychowicz,OpenAI,Wojciech Zaremba,OpenAI,Hindsight Experience Replay.
424,424,Liangpeng Zhang,University of Birmingham,Xin Yao,"Southern University of Science and Technology, China",Log-normality and Skewness of Estimated State/Action Values in Reinforcement Learning.
425,425,Yue Wang,Beijing Jiaotong University,Tie-Yan Liu,Microsoft Research,Finite sample analysis of the GTD Policy Evaluation Algorithms in Markov Setting.
426,426,Robert Mattila,KTH Royal Institute of Technology,Bo Wahlberg,KTH Royal Inst. of Technology,Inverse Filtering for Hidden Markov Models.
427,427,Felix Berkenkamp,ETH Zurich,Andreas Krause,ETH Zurich,Safe Model-based Reinforcement Learning with Stability Guarantees.
428,428,Rowan McAllister,University of California Berkeley,Carl Edward Rasmussen,University of Cambridge,Data-Efficient Reinforcement Learning in Continuous State-Action Gaussian-POMDPs.
429,429,Daniel Hsu,Columbia University,Xiaorui Sun,Columbia University,Linear regression without correspondence.
430,430,Le Song,Ant Financial & Georgia Institute of Technology,Bo Xie,Georgia Tech,On the Complexity of Learning Neural Networks.
431,431,Xingguo Li,Princeton University,David Woodruff,Carnegie Mellon University,Near Optimal Sketching of Low-Rank Tensor Regression.
432,432,Cameron Musco,Massachusetts Institute of Technology,David Woodruff,Carnegie Mellon University,Is Input Sparsity Time Possible for Kernel Low-Rank Approximation?.
433,433,Veeranjaneyulu Sadhanala,CMU,Ryan Tibshirani,Carnegie Mellon University,Higher-Order Total Variation Classes on Grids: Minimax Theory and Trend Filtering Methods.
434,434,Sheng Chen,University of Minnesota,Arindam Banerjee,Voleon,Alternating Estimation for Structured High-Dimensional Multi-Response Models.
435,435,Martin Royer,Université Paris-Saclay,Martin Royer,Université Paris-Saclay,Adaptive Clustering through Semidefinite Programming.
436,436,Surbhi Goel,University of Texas at Austin,Adam Klivans,UT Austin,Eigenvalue Decay Implies Polynomial-Time Learnability for Neural Networks.
437,437,Yanbo Fan,"NLPR, CASIA",Baogang Hu,Chinese Academy of Sciences,Learning with Average Top-k Loss.
438,438,Vincent Cohen-Addad,University of Copenhagen,Frederik Mallmann-Trenn,ENS,Hierarchical Clustering Beyond the Worst-Case.
