,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
479,479,Chao Qin,Columbia University,Daniel Russo,Columbia University,Improving the Expected Improvement Algorithm.
480,480,Ervin Tanczos,University of Wisconsin - Madison,Bob Mankoff,Former Cartoon Editor of The New Yorker,A KL-LUCB algorithm for Large-Scale Crowdsourcing.
481,481,Kwang-Sung Jun,UW-Madison,Rebecca Willett,University of Wisconsin,Scalable Generalized Linear Bandits: Online Computation and Hashing.
482,482,Julien Audiffren,"Exascale Infolab, Fribourg University",Liva Ralaivola,"LIF, IUF, Aix-Marseille University, CNRS",Bandits Dueling on Partially Ordered Sets.
483,483,Junpei Komiyama,The University of Tokyo,Akiko Takeda,The University of Tokyo / RIKEN,Position-based Multiple-play Bandit Problem with Unknown Position Bias.
484,484,Zheng Wen,Adobe Research,Sharan Vaswani,University of British Columbia,Online Influence Maximization under Independent Cascade Model with Semi-Bandit Feedback.
485,485,Tor Lattimore,DeepMind,Tor Lattimore,DeepMind,A Scale Free Algorithm for Stochastic Bandits with Bounded Kurtosis.
486,486,Fabio Cecchi,Eindhoven University of Technology,Nidhi Hegde,Nokia Bell Labs,Adaptive Active Hypothesis Testing under Limited Information.
487,487,Sanjiban Choudhury,University of Washington,Sebastian Scherer,Carnegie Mellon University,Near-Optimal Edge Evaluation in Explicit Generalized Binomial Graphs.
488,488,Taylor Killian,Harvard University,George Konidaris,Brown University,Robust and Efficient Transfer Learning with Hidden Parameter Markov Decision Processes.
489,489,Sang-Woo Lee,Naver Corp.,Byoung-Tak Zhang,Seoul National University & Surromind Robotics,Overcoming Catastrophic Forgetting by Incremental Moment Matching.
490,490,Simon Du,Carnegie Mellon University,Barnabas Poczos,Carnegie Mellon University,Hypothesis Transfer Learning via Transformation Functions.
491,491,Sylvestre-Alvise Rebuffi,University of Oxford,Andrea Vedaldi,Facebook AI Research and University of Oxford,Learning multiple visual domains with residual adapters.
492,492,Hsiao-Yu Tung,Carnegie Mellon University,Katerina Fragkiadaki,Carnegie Mellon University,Self-supervised Learning of Motion Capture.
493,493,Linus Hamilton,MIT,Ankur Moitra,MIT,"Information Theoretic Properties of Markov Random Fields, and their Algorithmic Applications."
494,494,Jinseok Nam,TU Darmstadt,Johannes Fürnkranz,TU Darmstadt,Maximizing Subset Accuracy with Recurrent Neural Networks in Multi-label Classification.
495,495,Vikas Garg,MIT,Tommi Jaakkola,MIT,Local Aggregative Games.
496,496,James McInerney,Spotify Research,James McInerney,Spotify Research,An Empirical Bayes Approach to Optimizing Machine Learning Algorithms.
497,497,Kari Rantanen,University of Helsinki,Matti Järvisalo,University of Helsinki,Learning Chordal Markov Networks via Branch and Bound.
498,498,Minje Jang,KAIST,Sewoong Oh,UIUC,Optimal Sample Complexity of M-wise Data for Top-K Ranking.
