,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
499,499,Xiangru Huang,University of Texas at Austin,Qixing Huang,The University of Texas at Austin,Translation Synchronization via Truncated Least Squares.
500,500,Hao He,"MIT, CSAIL",David Wipf,Microsoft Research,From Bayesian Sparsity to Gated Recurrent Nets.
501,501,Yingxiang Yang,University of Illinois at Urbana Champaign,Negar Kiyavash,Georgia Tech,Online Learning for Multivariate Hawkes Processes.
502,502,Daniele Calandriello,INRIA Lille - Nord Europe,Michal Valko,DeepMind Paris and Inria Lille - Nord Europe,Efficient Second-Order Online Kernel Learning with Adaptive Embedding.
503,503,Kfir Levy,ETH,Kfir Levy,ETH,"Online to Offline Conversions, Universality and Adaptive Minibatch Sizes."
504,504,Ilja Kuzborskij,University of Milan,Nicolò Cesa-Bianchi,"Università degli Studi di Milano, Italy",Nonparametric Online Regression while Learning the Metric.
505,505,Ashok Cutkosky,Google,Kwabena A Boahen,Stanford University,Stochastic and Adversarial Online Learning without Hyperparameters.
506,506,Tomer Koren,Google,Roi Livni,Princeton,Affine-Invariant Online Optimization and the Low-rank Experts Problem.
507,507,Hao Yu,University of Southern California,Xiaohan Wei,University of Southern California,Online Convex Optimization with Stochastic Constraints.
508,508,Ofer Dekel,Microsoft Research,Patrick Jaillet,MIT,Online Learning with a Hint.
509,509,Dan Garber,Technion - Israel Institute of Technology,Dan Garber,Technion - Israel Institute of Technology,Efficient Online Linear Optimization with Approximation Algorithms.
510,510,Wojtek Kotlowski,Poznan University of Technology,Alan Malek,MIT,Random Permutation Online Isotonic Regression.
511,511,Yasin Abbasi Yadkori,Adobe Research,Victor Gabillon,QUT - ACEMS,Near Minimax Optimal Players for the Finite-Time 3-Expert Prediction Problem.
512,512,Sevi Baltaoglu,Cornell University,Qing Zhao,Cornell University,Online Learning of Optimal Bidding Strategy in Repeated Multi-Commodity Auctions.
513,513,Tim Roughgarden,Stanford University,Okke Schrijvers,Facebook Inc.,Online Prediction with Selfish Experts.
514,514,arthur flajolet,MIT,Patrick Jaillet,MIT,Real-Time Bidding with Side Information.
515,515,Qinshi Wang,Princeton University,Wei Chen,Microsoft Research,Improving Regret Bounds for Combinatorial Semi-Bandits with Probabilistically Triggered Arms and Its Applications.
516,516,Ehsan Emamjomeh-Zadeh,U. of Southern California,David Kempe,U. of Southern California,A General Framework for Robust Interactive Learning.
517,517,Raef Bassily,The Ohio State University,Abhradeep Guha Thakurta,University of California Santa Cruz,Practical Locally Private Heavy Hitters.
518,518,Giulia Fanti,Carnegie Mellon University,Pramod Viswanath,UIUC,Deanonymization in the Bitcoin P2P Network.
