519,519,Katrina Ligett,Hebrew University,Steven Wu,Microsoft,Accuracy First: Selecting a Differential Privacy Level for Accuracy Constrained ERM.
520,520,Joseph Geumlek,UCSD,Kamalika Chaudhuri,UCSD,Renyi Differential Privacy Mechanisms for Posterior Sampling.
521,521,Bolin Ding,Microsoft,Sergey Yekhanin,Microsoft,Collecting Telemetry Data Privately.
522,522,Jamie Hayes,University College London,George Danezis,University College London,Generating steganographic images via adversarial training.
523,523,Kohei Hayashi,Preferred Networks,Yuichi Yoshida,"National Institute of Informatics and Preferred Infrastructure, Inc.",Fitting Low-Rank Tensors in Constant Time.
524,524,Christian Borgs,Microsoft Research New England,Devavrat Shah,Massachusetts Institute of Technology,Thy Friend is My Friend: Iterative Collaborative Filtering for Sparse Matrix Estimation.
525,525,Flavio Chierichetti,Sapienza University,Sergei Vassilvitskii,Google,Fair Clustering Through Fairlets.
526,526,Geoff Pleiss,Cornell University,Kilian Weinberger,Cornell University,On Fairness and Calibration.
527,527,Niki Kilbertus,MPI Tuebingen & Cambridge,Bernhard Schölkopf,MPI for Intelligent Systems,Avoiding Discrimination through Causal Reasoning.
528,528,Flavio Calmon,Harvard University,Kush Varshney,IBM Research,Optimized Pre-Processing for Discrimination Prevention.
529,529,Novi Quadrianto,University of Sussex and HSE,Viktoriia Sharmanska,Imperial College London,Recycling Privileged Learning and Distribution Matching for Fairness.
530,530,Bilal Zafar,Bosch Center for Artificial Intelligence,Adrian Weller,University of Cambridge,From Parity to Preference-based Notions of Fairness in Classification.
531,531,Sirui Yao,Virginia Polytechnic Institute and State University,Bert Huang,Virginia Tech,Beyond Parity: Fairness Objectives for Collaborative Filtering.
532,532,Mahdi Karami,University of Alberta,Csaba Szepesvari,University of Alberta,Multi-view Matrix Factorization for Linear Dynamical System Estimation.
533,533,Amir-massoud Farahmand,MERL,Daniel Nikovski,,Random Projection Filter Bank for Time Series Data.
534,534,Hongteng Xu,Duke University,Hongyuan Zha,Georgia Tech,A Dirichlet Mixture Model of Hawkes Processes for Event Sequence Clustering.
535,535,Yichen Wang,Georgia Tech,Le Song,Ant Financial & Georgia Institute of Technology,Predicting User Activity Level In Point Processes With Mass Transport Equation.
536,536,Adith Swaminathan,Microsoft Research,Imed Zitouni,Microsoft,Off-policy evaluation for slate recommendation.
537,537,Le Fang,University at Buffalo-SUNY,Chunming Qiao,,Expectation Propagation with Stochastic Kinetic Model in Complex Interaction Systems.
538,538,Julien Pérolat,CNRS,Thore Graepel,DeepMind,A multi-agent reinforcement learning model of common-pool resource appropriation.
