599,599,Nikhil Parthasarathy,New York University,Liam Paninski,Columbia University,Neural Networks for Efficient Bayesian Decoding of Natural Images from Retinal Neurons.
600,600,Giuseppe Pica,Istituto Italiano di Tecnologia,Stefano Panzeri,Istituto Italiano di Tecnologia,Quantifying how much sensory information in a neural code is relevant for behavior.
601,601,Laurence Aitchison,University of Cambridge,Srini C Turaga,"Janelia Research Campus, Howard Hughes Medical Institute",Model-based Bayesian inference of neural activity and connectivity from all-optical interrogation of a neural circuit.
602,602,Muhammad Yousefnezhad,Nanjing University of Aeronautics and Astronautics,Daoqiang Zhang,Nanjing University of Aeronautics and Astronautics,Deep Hyperalignment.
603,603,Cesar F Caiafa,CONICET,Franco Pestilli,Indiana University,Unified representation of tractography and diffusion-weighted MRI data using sparse multidimensional arrays.
604,604,Holakou Rahmanian,University of California at Santa Cruz,Manfred K. Warmuth,Univ. of Calif. at Santa Cruz,Online Dynamic Programming.
605,605,Emily Denton,New York University,vighnesh Birodkar,New York University,Unsupervised Learning of Disentangled Representations from Video.
606,606,Lin Chen,Yale University,Amin Karbasi,Yale,Interactive Submodular Bandit.
607,607,Slobodan Mitrovic,EPFL,Volkan Cevher,EPFL,Streaming Robust Submodular Maximization: A Partitioned Thresholding Approach.
608,608,Eric Balkanski,Harvard University,Yaron Singer,Harvard University,Minimizing a Submodular Function from Samples.
609,609,Pratibha Vellanki,Deakin University,Svetha Venkatesh,Deakin University,Process-constrained batch Bayesian optimisation.
610,610,Ashia C Wilson,UC Berkeley,Benjamin Recht,UC Berkeley,The Marginal Value of Adaptive Gradient Methods in Machine Learning.
611,611,Fabian Pedregosa,UC Berkeley / ETH Zurich,Simon Lacoste-Julien,Université de Montréal,Breaking the Nonsmooth Barrier: A Scalable Parallel Method for Composite Optimization.
612,612,Omar El Housni,Columbia University,Vineet Goyal,Columbia University,Beyond Worst-case: A Probabilistic Analysis of Affine Policies in Dynamic Optimization.
613,613,Luiz Chamon,University of Pennsylvania,Alejandro Ribeiro,University of Pennsylvania,Approximate Supermodularity Bounds for Experimental Design.
614,614,Krzysztof Choromanski,Google Brain Robotics,Vikas Sindhwani,Google,On Blackbox Backpropagation and Jacobian Sensing.
615,615,Tao Sun,National university of defense technology,Wotao Yin,"University of California, Los Angeles",Asynchronous Coordinate Descent under More Realistic Assumptions.
616,616,Arya Mazumdar,University of Massachusetts Amherst,Barna Saha,University of Massachusetts Amherst,Clustering with Noisy Queries.
617,617,Karl Bringmann,Saarland University,David Woodruff,Carnegie Mellon University,Approximation Algorithms for $\ell_0$-Low Rank Approximation.
618,618,Yuanzhi Li,Princeton University,Yang Yuan,Cornell University,Convergence Analysis of Two-layer Neural Networks with ReLU Activation.
