119,119,Jianfeng Wang,Beijing University of Posts and Telecommunications,Xiaolin Hu,Tsinghua University,Gated Recurrent Convolution Neural Network for OCR.
120,120,Guobin Chen,University of Missouri,Manmohan Chandraker,"University of California, San Diego",Learning Efficient Object Detection Models with Knowledge Distillation.
121,121,Eran Malach,Hebrew University Jerusalem Israel,Shai Shalev-Shwartz,Mobileye & HUJI,"Decoupling ""when to update"" from ""how to update""."
122,122,Lincoln Ye,University of Cambridge,Rafal Mantiuk,University of Cambridge,Langevin Dynamics with Continuous Tempering for Training Deep Neural Networks.
123,123,Fan Yang,Carnegie Mellon University,William Cohen,Google AI,Differentiable Learning of Logical Rules for Knowledge Base Reasoning.
124,124,Yingce Xia,Microsoft Research,Tie-Yan Liu,Microsoft Research,Deliberation Networks: Sequence Generation Beyond One-Pass Decoding.
125,125,Jacob Devlin,Microsoft Research,Pushmeet Kohli,DeepMind,Neural Program Meta-Induction.
126,126,Sean Welleck,NYU,Zheng Zhang,Shanghai New York Univeristy,Saliency-based Sequential Image Attention with Multiset Prediction.
127,127,Alex Fout,Colorado State University,Asa Ben-Hur,Colorado State University,Protein Interface Prediction using Graph Convolutional Networks.
128,128,Jian Zhao,National University of Singapore,Jiashi Feng,National University of Singapore,Dual-Agent GANs for Photorealistic and Identity Preserving Profile Face Synthesis.
129,129,Arash Vahdat,D-Wave Systems Inc.,Arash Vahdat,D-Wave Systems Inc.,Toward Robustness against Label Noise in Training Deep Discriminative Neural Networks.
130,130,Eirikur Agustsson,ETH Zurich,Luc V Gool,"Computer Vision Lab, ETH Zurich",Soft-to-Hard Vector Quantization for End-to-End Learning Compressible Representations.
131,131,Yonatan Geifman,Technion,Ran El-Yaniv,Technion,Selective Classification for Deep Neural Networks.
132,132,Seungil You,Google,Maya Gupta,Google,Deep Lattice Networks and Partial Monotonic Functions.
133,133,Xin Dong,Nanyang Technological Univ,Sinno Pan,NTU,Learning to Prune Deep Neural Networks via Layer-wise Optimal Brain Surgeon.
134,134,Christos Louizos,University of Amsterdam,Max Welling,University of Amsterdam and University of California Irvine and CIFAR,Bayesian Compression for Deep Learning.
135,135,Jonathan Peck,Ghent University,Yvan Saeys,Ghent University,Lower bounds on the robustness to adversarial perturbations.
136,136,Wojciech Czarnecki,DeepMind,Razvan Pascanu,Google DeepMind,Sobolev Training for Neural Networks.
137,137,Kirill Neklyudov,Yandex,Dmitry Vetrov,"Higher School of Economics, Samsung AI Center, Moscow",Structured Bayesian Pruning via Log-Normal Multiplicative Noise.
138,138,Jianfei Chen,RealAI,Jun Zhu,Tsinghua University,Population Matching Discrepancy and Applications in Deep Learning.
