239,239,Ryuichi Kiryo,UTokyo/RIKEN,Masashi Sugiyama,RIKEN / University of Tokyo,Positive-Unlabeled Learning with Non-Negative Risk Estimator.
240,240,Arya Mazumdar,University of Massachusetts Amherst,Soumyabrata Pal,University of Massachusetts Amherst,"Semisupervised Clustering, AND-Queries and Locally Encodable Source Coding."
241,241,Yuanbin Wu,East China Normal University,Xuanjing Huang,Fudan University,A Learning Error Analysis for Structured Prediction with Approximate Inference.
242,242,Ahmad Beirami,Harvard University & MIT,Vahid Tarokh,Harvard University,On Optimal Generalizability in Parametric Learning.
243,243,Guy Uziel,Technion - Israel Institute of Technology,Ran El-Yaniv,Technion,Multi-Objective Non-parametric Sequential Prediction.
244,244,Joel A Tropp,Caltech,Volkan Cevher,EPFL,Fixed-Rank Approximation of a Positive-Semidefinite Matrix from Streaming Data.
245,245,Dan Alistarh,IST Austria,Milan Vojnovic,London School of Economics (LSE),QSGD: Communication-Efficient SGD via Gradient Quantization and Encoding.
246,246,Peva Blanchard,,Julien Stainer,,Machine Learning with Adversaries: Byzantine Tolerant Gradient Descent.
247,247,Stéphan Clémençon,Telecom ParisTech,Mastane Achab,Télécom ParisTech,Ranking Data with Continuous Labels through Oriented Recursive Partitions.
248,248,Piotr Indyk,MIT,Tal Wagner,MIT,Practical Data-Dependent Metric Compression with Provable Guarantees.
249,249,Ping Li,Rugters University,Martin Slawski,,Simple strategies for recovering inner products from coarsely quantized random projections.
250,250,Aravindan Vijayaraghavan,Northwestern University,Alex Wang,Northwestern University,Clustering Stable Instances of Euclidean k-means..
251,251,Mohammadhossein Bateni,Google research,Vahab Mirrokni,Google Research NYC,Affinity Clustering: Hierarchical Clustering at Scale.
252,252,Weiwei Liu,The University of New South Wales,Ivor Tsang,"University of Technology, Sydney",Sparse Embedded $k$-Means Clustering.
253,253,James Newling,Idiap Research Institute & EPFL,François Fleuret,Idiap Research Institute,K-Medoids For K-Means Seeding.
254,254,Benjamin Moseley,Carnegie Mellon University,Joshua Wang,Google,"Approximation Bounds for Hierarchical Clustering: Average Linkage, Bisecting K-means, and Local Search."
255,255,Pan Li,University of Illinois Urbana-Champaign,Olgica Milenkovic,University of Illinois at Urbana-Champaign,Inhomogeneous Hypergraph Clustering with Applications.
256,256,Amin Jalali,Technicolor Research,Rebecca Willett,University of Wisconsin,Subspace Clustering via Tangent Cones.
257,257,Soheil Feizi,"University of Maryland, College Park",David Tse,Stanford University,Tensor Biclustering.
258,258,Scott M Lundberg,University of Washington,Su-In Lee,University of Washington,A Unified Approach to Interpreting Model Predictions.
