279,279,Alessandro Rudi,"École Normale Supérieure, INRIA",Lorenzo Rosasco,University of Genova- MIT - IIT,Generalization Properties of Learning with Random Features.
280,280,Tri Dao,Stanford University,Chris Ré,Stanford,Gaussian Quadrature for Kernel Features.
281,281,Wittawat Jitkrittum,"Gatsby unit, University College London",Arthur Gretton,"Gatsby Unit, UCL",A Linear-Time Kernel Goodness-of-Fit Test.
282,282,Linxi Liu,Columbia University,Wing Hung Wong,Stanford university,Convergence rates of a partition based Bayesian multivariate density estimation method.
283,283,Moein Falahatgar,UCSD,Venkatadheeraj Pichapati,UCSD,The power of absolute discounting: all-dimensional distribution estimation.
284,284,Kevin Tian,Stanford University,Gregory Valiant,Stanford University,Learning Populations of Parameters.
285,285,Ilias Diakonikolas,USC,Ludwig Schmidt,MIT,Communication-Efficient Distributed Learning of Discrete Distributions.
286,286,Lijun Zhang,Nanjing University (NJU),Zhi-Hua Zhou,Nanjing University,Improved Dynamic Regret for Non-degenerate Functions.
287,287,Dylan J Foster,Cornell University,Karthik Sridharan,Cornell University,Parameter-Free Online Learning via Model Selection.
288,288,Quentin Berthet,University of Cambridge,Vianney Perchet,ENS Paris-Saclay & Criteo Research,Fast Rates for Bandit Optimization with Upper-Confidence Frank-Wolfe.
289,289,Scott Yang,D. E. Shaw & Co.,Mehryar Mohri,Courant Institute and Google,Online Learning with Transductive Regret.
290,290,Tomer Koren,Google,Yishay Mansour,Tel Aviv University,Multi-Armed Bandits with Metric Movement Costs.
291,291,Di Wang,State University of New York at Buffalo,Jinhui Xu,SUNY at Buffalo,Differentially Private Empirical Risk Minimization Revisited: Faster and More General.
292,292,Jacob Steinhardt,Stanford University,Percy Liang,Stanford University,Certified Defenses for Data Poisoning Attacks.
293,293,Greg Van Buskirk,UT Dallas,Nicholas Ruozzi,UTDallas,Sparse Approximate Conic Hulls.
294,294,Masaaki Imaizumi,Institute of Statistical Mathematics / RIKEN,Kohei Hayashi,Preferred Networks,On Tensor Train Rank Minimization : Statistical Efficiency and Scalable Algorithm.
295,295,Sven Peter,University Heidelberg,Fred Hamprecht,Heidelberg University,Sparse convolutional coding for neuronal assembly detection.
296,296,Zhuoran Yang,Princeton University,Han Liu,Tencent AI Lab,Estimating High-dimensional Non-Gaussian Multiple Index Models via Stein’s Lemma.
297,297,Michael Eickenberg,UC Berkeley,Stephane Mallat,Ecole normale superieure,Solid Harmonic Wavelet Scattering: Predicting Quantum Molecular Energy from Invariant Descriptors of 3D  Electronic Densities.
298,298,Cyrus Rashtchian,University of Washington,Karin Strauss,Microsoft Research,Clustering Billions of Reads for DNA Data Storage.
