199,199,Yue Zhao,The Chinese University of Hong Kong,Dahua Lin,The Chinese University of Hong Kong,Trajectory Convolution for Action Recognition.
200,200,Jingwei Xu,Shanghai Jiao Tong University,Xiaokang Yang,Shanghai Jiao Tong University,Video Prediction via Selective Sampling.
201,201,Daan Wynen,INRIA,Julien Mairal,Inria,Unsupervised Learning of Artistic Styles with Archetypal Style Analysis.
202,202,Guanhong Tao,Purdue University,Xiangyu Zhang,Purdue University,Attacks Meet Interpretability: Attribute-steered Detection of Adversarial Samples.
203,203,Tal Ben-Nun,ETH Zurich,Torsten Hoefler,ETH Zurich,Neural Code Comprehension: A Learnable Representation of Code Semantics.
204,204,Edward Choi,Google,Jimeng Sun,Georgia Tech,MiME: Multilevel Medical Embedding of Electronic Health Records for Predictive Healthcare.
205,205,Tianqi Chen,University of Washington,Arvind Krishnamurthy,University of Washington,Learning to Optimize Tensor Programs.
206,206,Mislav Balunovic,ETH Zurich,Martin Vechev,"DeepCode and ETH Zurich, Switzerland",Learning to Solve SMT Formulas.
207,207,Nevena Lazic,Google,Greg Imwalle,Google,Data center cooling using model-predictive control.
208,208,Ankit Shah,Massachusetts Institute of Technology,Shen Li,MIT,Bayesian Inference of Temporal Task Specifications from Demonstrations.
209,209,Naigang Wang,IBM T. J. Watson Research Center,Kailash Gopalakrishnan,IBM Research,Training Deep Neural Networks with 8-bit Floating Point Numbers.
210,210,Celestine Dünner,IBM Research,Haris Pozidis,IBM Research,Snap ML: A Hierarchical Framework for Machine Learning.
211,211,Haidar Khan,Rensselaer Polytechnic Institute,Bulent Yener,Rensselaer Polytechnic Institute (RPI),Learning filter widths of spectral decompositions with wavelets.
212,212,Jeffrey Chan,UC Berkeley,Yun Song,UC Berkeley,A Likelihood-Free Inference Framework for Population Genetic Data using Exchangeable Neural Networks.
213,213,Daniel Johnson,Harvey Mudd College,Peter Sankhagowit,Intel Corporation,Latent Gaussian Activity Propagation: Using Smoothness and Structure to Separate and Localize Sounds in Large Noisy Environments.
214,214,Felipe Tobar,Universidad de Chile,Felipe Tobar,Universidad de Chile,Bayesian Nonparametric Spectral Estimation.
215,215,Abubakar Abid,Stanford,James Zou,Stanford University,Learning a Warping Distance from Unlabeled Time Series Using Sequence Autoencoders.
216,216,Nesime Tatbul,Intel Labs and MIT,Justin Gottschlich,Intel Labs,Precision and Recall for Time Series.
217,217,Hao Wu,Freie Universität Berlin,Frank Noe,FU Berlin,Deep Generative Markov State Models.
218,218,Jeremias Knoblauch,Warwick University,Theo Damoulas,University of Warwick        The Alan Turing Institute,Doubly Robust Bayesian Inference for Non-Stationary Streaming Data with $\beta$-Divergences.
