,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
439,439,Noam Brown,Carnegie Mellon University,Brandon Amos,Carnegie Mellon University,Depth-Limited Solving for Imperfect-Information Games.
440,440,Lin Yang,Princeton University,Tuo Zhao,Georgia Tech,The Physical Systems Behind Optimization Algorithms.
441,441,Jiantao Jiao,"University of California, Berkeley",Yanjun Han,Stanford University,The Nearest Neighbor Information Estimator is Adaptively Near Minimax Rate-Optimal.
442,442,Yu Cheng,Duke University,Alistair Stewart,University of Southern California,Robust Learning of Fixed-Structure Bayesian Networks.
443,443,Chuyang Ke,Purdue University,Jean Honorio,Purdue University,Information-theoretic Limits for Community Detection in Network Models.
444,444,Tianshu Yu,Arizona State University,baoxin Li,Arizona State University,Generalizing Graph Matching beyond Quadratic Assignment Model.
445,445,Stephen Gillen,University of Pennsylvania,Aaron Roth,University of Pennsylvania,Online Learning with an Unknown Fairness Metric.
446,446,Mahito Sugiyama,National Institute of Informatics,Koji Tsuda,The University of Tokyo / RIKEN,Legendre Decomposition for Tensors.
447,447,Jalaj Upadhyay,Johns Hopkins University,Jalaj Upadhyay,Johns Hopkins University,The Price of Privacy for Low-rank Factorization.
448,448,Di Wang,State University of New York at Buffalo,Jinhui Xu,SUNY at Buffalo,Empirical Risk Minimization in Non-interactive Local Differential Privacy Revisited.
449,449,Rachel Cummings,Georgia Tech,Wanrong Zhang,Georgia Institute of Technology,Differentially Private Change-Point Detection.
450,450,Ziko Ziko,Ecole de technologie superieure (ETS),Ismail Ben Ayed,ETS Montreal,Scalable Laplacian K-modes.
451,451,Xiaoxuan Zhang,University of Iowa,Tianbao Yang,The University of Iowa,Faster Online Learning of Optimal Threshold for Consistent F-measure Optimization.
452,452,Akshay Raj Dhamija,University of Colorado Colorado Springs,Terrance Boult,University of Colorado Colorado Springs,Reducing Network Agnostophobia.
453,453,Alessandro Achille,UCLA,Irina Higgins,DeepMind,Life-Long Disentangled Representation Learning with Cross-Domain Latent Homologies.
454,454,Yining Wang,CMU,Yuan Zhou,Indiana University Bloomington,Near-Optimal Policies for Dynamic Multinomial Logit Assortment Selection Models.
455,455,Amir-massoud Farahmand,Vector Institute,Amir-massoud Farahmand,Vector Institute,Iterative Value-Aware Model Learning.
456,456,Kyungjae Lee,Seoul National University,Songhwai Oh,Seoul National University,Maximum Causal Tsallis Entropy Imitation Learning.
457,457,Alberto Maria Metelli,Politecnico di Milano,Marcello Restelli,Politecnico di Milano,Policy Optimization via Importance Sampling.
458,458,Cezary Kaliszyk,Innsbruck University,Miroslav Olšák,Charles University in Prague,Reinforcement Learning of Theorem Proving.
