,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
459,459,Horia Mania,UC Berkeley,Benjamin Recht,UC Berkeley,Simple random search of static linear policies is competitive for reinforcement learning.
460,460,Zhongwen Xu,DeepMind,David Silver,DeepMind,Meta-Gradient Reinforcement Learning.
461,461,MohammadReza Nazari,Lehigh University,Martin Takac,Lehigh University,Reinforcement Learning for Solving the Vehicle Routing Problem.
462,462,Tom Zahavy,Technion,Shie Mannor,Technion,Learn What Not to Learn: Action Elimination with Deep Reinforcement Learning.
463,463,Yu-Shao Peng,HTC Research,Edward Chang,,REFUEL: Exploring Sparse Features in Deep Reinforcement Learning for Fast Disease Diagnosis.
464,464,Edoardo Conti,Facebook AML,Jeff Clune,Uber AI Labs,Improving Exploration in Evolution Strategies for Deep Reinforcement Learning via a Population of Novelty-Seeking Agents.
465,465,Aniket (Nick) Bajpai,MIT,Mausam ,IIT Dehli,Transfer of Deep Reactive Policies for MDP Planning.
466,466,Rasul Tutunov,PROWLER.io,Haitham Bou Ammar,PROWLER.io,Distributed Multitask Reinforcement Learning with Quadratic Convergence.
467,467,Min Wen,University of Pennsylvania,Ufuk Topcu,The University of Texas at Austin,Constrained Cross-Entropy Method for Safe Reinforcement Learning.
468,468,Yao Liu,Stanford University,Emma Brunskill,Stanford University,Representation Balancing MDPs for Off-policy Policy Evaluation.
469,469,Wen Sun,Carnegie Mellon University,J. Bagnell,Carnegie Mellon University,Dual Policy Iteration.
470,470,Stuart Armstrong,Oxford University,Sören Mindermann,Vector Institute,Occam's razor is insufficient to infer the preferences of irrational agents.
471,471,Andrea Tirinzoni,Politecnico di Milano,Marcello Restelli,Politecnico di Milano,Transfer of Value Functions via Variational Methods.
472,472,Mike Gimelfarb,University of Toronto,Chi-Guhn Lee,University of Toronto,Reinforcement Learning with Multiple Experts: A Bayesian Model Combination Approach.
473,473,Aaron Havens,University of Illinois Urbana-Champaign,Soumik Sarkar,Iowa State University,Online Robust Policy Learning in the Presence of Unknown Adversaries.
474,474,Osbert Bastani,University of Pennsylvania,Armando Solar-Lezama,MIT,Verifiable Reinforcement Learning via Policy Extraction.
475,475,Utkarsh Upadhyay,Max Plank Institute for Software Systems,Manuel Gomez Rodriguez,Max Planck Institute for Software Systems,Deep Reinforcement Learning of Marked Temporal Point Processes.
476,476,Shaw Khadka,Oregon State University,Kagan Tumer,Oregon State University US,Evolution-Guided Policy Gradient in Reinforcement Learning.
477,477,Zhang-Wei Hong,National Tsing Hua University,Chun-Yi Lee,National Tsing Hua University,Diversity-Driven Exploration Strategy for Deep Reinforcement Learning.
478,478,Simyung Chang,Seoul National University,Nojun Kwak,Seoul National University,Genetic-Gated Networks for Deep Reinforcement Learning.
