,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
479,479,Chen Liang,Google Brain,Ni Lao,Mosaix.ai,Memory Augmented Policy Optimization for Program Synthesis and Semantic Parsing.
480,480,Borja Ibarz,DeepMind,Dario Amodei,OpenAI,Reward learning from human preferences and demonstrations in Atari.
481,481,Yusuf Aytar,DeepMind,Nando de Freitas,DeepMind,Playing hard exploration games by watching YouTube.
482,482,Vik Goel,University of Waterloo,Pascal Poupart,University of Waterloo & RBC Borealis AI,Unsupervised Video Object Segmentation for Deep Reinforcement Learning.
483,483,Piotr Mirowski,DeepMind,Raia Hadsell,DeepMind,Learning to Navigate in Cities Without a Map.
484,484,Guangxiang Zhu,Tsinghua university,Chongjie Zhang,Tsinghua University,Object-Oriented Dynamics Predictor.
485,485,YAN ZHENG,Tianjin University,Changjie Fan,Netease,A Deep Bayesian Policy Reuse Approach Against Non-Stationary Agents.
486,486,Jiechuan Jiang,Peking University,Zongqing Lu,Peking University,Learning Attentional Communication for Multi-Agent Cooperation.
487,487,Jeremy Morton,Stanford University,Freddie Witherden,Imperial College London,Deep Dynamical Modeling and Control of Unsteady Fluid Flows.
488,488,Ofir Marom,University of the Witwatersrand,Benjamin Rosman,University of the Witwatersrand / CSIR,Zero-Shot Transfer with Deictic Object-Oriented Representation in Reinforcement Learning.
489,489,Paavo Parmas,Okinawa Institute of Science and Technology Graduate University,Paavo Parmas,Okinawa Institute of Science and Technology Graduate University,Total stochastic gradient algorithms and applications in reinforcement learning.
490,490,Romain WARLOP,Inria,Jérémie Mary,,Fighting Boredom in Recommender Systems with Linear Reinforcement Learning.
491,491,Ian Osband,Google Deepmind,cassirer Cassirer,DeepMind,Randomized Prior Functions for Deep Reinforcement Learning.
492,492,Jiaming Song,Stanford University,Stefano Ermon,Stanford,Multi-Agent Generative Adversarial Imitation Learning.
493,493,Sriram Srinivasan,Google,Michael Bowling,DeepMind / University of Alberta,Actor-Critic Policy Optimization in Partially Observable Multiagent Environments.
494,494,Duc Nguyen,Singapore Management University,Hoong Chuin Lau,Singapore Management University,Credit Assignment For Collective Multiagent RL With Global Rewards.
495,495,Hoi-To Wai,The Chinese University of Hong Kong,Mingyi Hong,University of Minnesota,Multi-Agent Reinforcement Learning via Double Averaging Primal-Dual Optimization.
496,496,Yanlin Han,University of Illinois at Chicago,Piotr Gmytrasiewicz,UIC,Learning Others' Intentional Models in Multi-Agent Settings Using Interactive POMDPs.
497,497,Mahdi Imani,Texas A&M University,Ulisses M. Braga-Neto,Texas A&M University,Bayesian Control of Large MDPs with Unknown Dynamics in Data-Poor Environments.
498,498,Mathieu Fehr,École Normale Supérieure,Jilles Dibangoye,"INRIA, INSA Lyon",rho-POMDPs have Lipschitz-Continuous epsilon-Optimal Value Functions.
