,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
519,519,Simon Lyddon,University of Oxford,Chris C Holmes,University of Oxford,Nonparametric learning from Bayesian models with randomized objective functions.
520,520,Xuhui Fan,University of New South Wales,Scott SIsson,"University of New South Wales, Sydney",Rectangular Bounding Process.
521,521,Bayan Saparbayeva,University Notre Dame,Lizhen Lin,The University of Notre Dame,Communication Efficient Parallel Algorithms for Optimization on Manifolds.
522,522,Dominik Linzner,TU Darmstadt,Heinz Koeppl,Technische Universität Darmstadt,Cluster Variational Approximations for Structure Learning of Continuous-Time Bayesian Networks from Incomplete Data.
523,523,Stefan Webb,University of Oxford,Frank Wood,University of British Columbia,Faithful Inversion of Generative Models for Effective Amortized Inference.
524,524,Gianluca Detommaso,University of Bath / The Alan Turing Institute,Robert Scheichl,Heidelberg University,A Stein variational Newton method.
525,525,Wonyeol Lee,KAIST,Hongseok Yang,KAIST,Reparameterization Gradient for Non-differentiable Models.
526,526,Michael Figurnov,DeepMind,Andriy Mnih,DeepMind,Implicit Reparameterization Gradients.
527,527,Aaron Mishkin,University of British Columbia,Emtiyaz Khan,"RIKEN, Tokyo",SLANG: Fast Structured Covariance Approximations for Bayesian Deep Learning with Natural Gradient.
528,528,Luca Ambrogioni,Donders Institute,Eric Maris,Donders Institute,Wasserstein Variational Inference.
529,529,Jung-Su Ha,KAIST,Han-Lim Choi,Korea Advanced Institute of Science and Technology,Adaptive Path-Integral Autoencoders: Representation Learning and Planning for Dynamical Systems.
530,530,Dilin Wang,UT Austin,Qiang Liu,UT Austin,Variational Inference with Tail-adaptive f-Divergence.
531,531,Francesco Locatello,MPI Tübingen - ETH Zürich,Gunnar Raetsch,ETHZ,Boosting Black Box Variational Inference.
532,532,Trefor Evans,University of Toronto,Prasanth Nair,University of Toronto,Discretely Relaxing Continuous Variables for tractable Variational Inference.
533,533,Tomas Geffner,"University of Massachusetts, Amherst",Justin Domke,"University of Massachusetts, Amherst",Using Large Ensembles of Control Variates for Variational Inference.
534,534,Nicolas Brosse,"Ecole Polytechnique, Palaiseau, FRANCE",Eric Moulines,Ecole Polytechnique,The promises and pitfalls of Stochastic Gradient Langevin Dynamics.
535,535,Jack Baker,Lancaster University,Chris Nemeth,Lancaster University,Large-Scale Stochastic Sampling from the Probability Simplex.
536,536,Rui Luo,University College London,Zhanxing Zhu,Peking University,Thermostat-assisted continuously-tempered Hamiltonian Monte Carlo for Bayesian learning.
537,537,Oren Mangoubi,EPFL,Nisheeth Vishnoi,EPFL,Dimensionally Tight Bounds for Second-Order Hamiltonian Monte Carlo.
538,538,Pan Xu,UCLA,Quanquan Gu,UCLA,Global Convergence of Langevin Dynamics Based Algorithms for Nonconvex Optimization.
