,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
579,579,Nicholas Roy,Princeton Neuroscience Institute,Jonathan Pillow,Princeton University,Efficient inference for time-varying behavior during learning.
580,580,Tom Dupré la Tour,Télécom ParisTech,Alexandre Gramfort,"INRIA, Université Paris-Saclay",Multivariate Convolutional Sparse Coding for Electromagnetic Brain Signals.
581,581,Anirvan Sengupta,Rutgers University,Dmitri Chklovskii,"Flatiron Institute, Simons Foundation",Manifold-tiling Localized Receptive Fields are Optimal in Similarity-preserving Neural Networks.
582,582,Zijun Zhang,University of Calgary,Zongpeng Li,Wuhan University,Removing the Feature Correlation Effect of Multiplicative Noise.
583,583,Nima Anari,Stanford University,Santosh Vempala,Georgia Tech,Smoothed Analysis of Discrete Tensor Decomposition and Assemblies of Neurons.
584,584,Marylou Gabrié,École Normale Supérieure,Lenka Zdeborová,CEA Saclay,Entropy and mutual information in models of deep neural networks.
585,585,Benjamin Aubin,Ipht Saclay,Lenka Zdeborová,CEA Saclay,The committee machine: Computational to statistical gaps in learning a two-layers neural network.
586,586,Christian Kroer,"Faceook, Core Data Science",Tuomas Sandholm,Carnegie Mellon University,A Unified Framework for Extensive-Form Game Abstraction with Bounds.
587,587,Xueyu Mao,University of Texas at Austin,Deepayan Chakrabarti,UT Austin,"Overlapping Clustering Models, and One (class) SVM to Bind Them All."
588,588,Kevin Bello,Purdue University,Jean Honorio,Purdue University,Learning latent variable structured prediction models with Gaussian perturbations.
589,589,Pedro Morgado,"University of California, San Diego",Oliver Wang,Adobe Research,Self-Supervised Generation of Spatial Audio for 360° Video.
590,590,Raymond Li,Polytechnique Montréal,Chris Pal,"MILA, Polytechnique Montréal, Element AI",Towards Deep Conversational Recommendations.
591,591,Isaac Lage,Harvard,Finale Doshi-Velez,Harvard,Human-in-the-Loop Interpretability Prior.
592,592,Muhan Zhang,Washington University in St. Louis,Yixin Chen,Washington University in St. Louis,Link Prediction Based on Graph Neural Networks.
593,593,Moez Draief,"Noah's Ark Labs, Huawei Research",Milan Vojnovic,London School of Economics (LSE),KONG: Kernels for ordered-neighborhood graphs.
594,594,Pan Zhou,National University of Singapore,Jiashi Feng,National University of Singapore,Efficient Stochastic Gradient Hard Thresholding.
595,595,Enayat Ullah,Johns Hopkins University,Raman Arora,Johns Hopkins University,Streaming Kernel PCA with $\tilde{O}(\sqrt{n})$ Random Features.
596,596,Yitong Sun,University of Michigan,Ambuj Tewari,University of Michigan,But How Does It Work in Theory? Linear SVM with Random Features.
597,597,Marina Munkhoeva,Skoltech / Skolkovo Institute of Science and Technology,Ivan Oseledets,Skoltech,Quadrature-based features for kernel approximation.
598,598,Marek Śmieja,Jagiellonian University,Przemysław Spurek,Jagiellonian University,Processing of missing data by neural networks.
