,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
599,599,Raanan Yehezkel Rohekar,Intel Corporation,Gal Novik,Intel AI,Constructing Deep Neural Networks by Bayesian Network Structure Learning.
600,600,Flavio Chierichetti,Sapienza University,Silvio Lattanzi,Google Research,Mallows Models for Top-k Lists.
601,601,Harsh Shrivastava,Georgia Institute of Technology,Srinivas Aluru,Georgia Institute of Technology,Cooperative neural networks (CoNN): Exploiting prior independence structure for improved classification.
602,602,Abhimanyu Dubey,MIT,Nikhil Naik,Massachusetts Institute of Technology,Maximum-Entropy Fine Grained Classification.
603,603,Marek Wydmuch,Poznan University of Technology,Krzysztof Dembczynski,Poznan University of Technology,A no-regret generalization of hierarchical softmax to extreme multi-label classification.
604,604,Colin Graber,University of Illinois at Urbana-Champaign,Alex Schwing,University of Illinois at Urbana-Champaign,Deep Structured Prediction with Nonlinear Output Transformations.
605,605,Neal Jean,Stanford University,Stefano Ermon,Stanford,Semi-supervised Deep Kernel Learning: Regression with Unlabeled Data by Minimizing Predictive Variance.
606,606,Alexis Bellot,University of Cambridge,Mihaela van der Schaar,University of Oxford,Multitask Boosting for Survival Analysis with Competing Risks.
607,607,Ayush Jaiswal,USC Information Sciences Institute,Prem Natarajan,USC ISI,Unsupervised Adversarial Invariance.
608,608,Zunlei Feng,Zhejiang University,Mingli Song,Zhejiang University,Dual Swap Disentangling.
609,609,David Minnen,Google,George D Toderici,Google,Joint Autoregressive and Hierarchical Priors for Learned Image Compression.
610,610,Jan Lenssen,TU Dortmund,Pascal Libuschewski,TU Dortmund,Group Equivariant Capsule Networks.
611,611,Emilien Dupont,Oxford University,Emilien Dupont,Oxford University,Learning Disentangled Joint Continuous and Discrete Representations.
612,612,Abel Gonzalez-Garcia,Computer Vision Center,Yoshua Bengio,U. Montreal, Image-to-image translation for cross-domain disentanglement.
613,613,Bruno Korbar,Dartmouth Collegue,Lorenzo Torresani,Dartmouth/Facebook,Cooperative Learning of Audio and Video Models from Self-Supervised Synchronization.
614,614,Yedid Hoshen,Facebook AI Research,Yedid Hoshen,Facebook AI Research,Non-Adversarial Mapping with VAEs.
615,615,Catherine Wong,MIT,Andrea Gesmundo,Google,Transfer Learning with Neural AutoML.
616,616,Jorge Mendez,University of Pennsylvania,Eric Eaton,University of Pennsylvania,Lifelong Inverse Reinforcement Learning.
617,617,Christoph Zimmer,Bosch Center for Artificial Intelligence,Duy Nguyen-Tuong,Bosch Center for Artificial Intelligence,Safe Active Learning for Time-Series Modeling with Gaussian Processes.
618,618,Agastya Kalra,University of Waterloo,George Trimponias,Huawei Noah's Ark Lab,Online Structure Learning for Feed-Forward and Recurrent Sum-Product Networks.
