659,659,Roie Levin,Carnegie Mellon University,David Woodruff,Carnegie Mellon University,Robust Subspace Approximation in a Stream.
660,660,Jiecao Chen,Indiana University Bloomington,Qin Zhang,Indiana University Bloomington,A Practical Algorithm for Distributed Clustering and Outlier Detection.
661,661,Stefan Neumann,University of Vienna,Stefan Neumann,University of Vienna,Bipartite Stochastic Block Models with Tiny Clusters.
662,662,Vincent Cohen-Addad,CNRS & Sorbonne Université,Frederik Mallmann-Trenn,MIT,Clustering Redemption–Beyond the Impossibility of Kleinberg’s Axioms.
663,663,Yilin Zhang,University of Wisconsin-Madison,Karl Rohe,UW-Madison,Understanding Regularized Spectral Clustering via Graph Conductance.
664,664,Eli Chien,UIUC,Olgica Milenkovic,University of Illinois at Urbana-Champaign,Query K-means Clustering and the Double Dixie Cup Problem.
665,665,Yu Liu,Iowa State University,Kris De Brabanter,ISU,Derivative Estimation in Random Design.
666,666,Neha Gupta,Stanford University,Aaron Sidford,Stanford,Exploiting Numerical Sparsity for Efficient Learning : Faster Eigenvector Computation and Regression.
667,667,Lifang He,Cornell University,Fei Wang,Cornell University,Boosted Sparse and Low-Rank Tensor Regression.
668,668,Cong Han Lim,Georgia Tech,Cong Han Lim,Georgia Tech,An Efficient Pruning Algorithm for Robust Isotonic Regression.
669,669,Alireza Aghasi,Institute for Insight,Babhru Joshi,Rice University,A convex program for bilinear inversion of sparse vectors.
670,670,Kishan Wimalawarne,Kyoto University,Hiroshi Mamitsuka,Kyoto University,Efficient Convex Completion of Coupled Tensors using Coupled Nuclear Norms.
671,671,Raghav Somani,Microsoft Research Lab - India,Praneeth Netrapalli,Microsoft Research,Support Recovery for Orthogonal Matching Pursuit: Upper and Lower bounds.
672,672,Fariborz Salehi,California Institute of Technology,Babak Hassibi,Caltech,Learning without the Phase: Regularized PhaseMax Achieves Optimal Sample Complexity.
673,673,Anirban Laha,IBM Research,Harish Ramaswamy,IIT Madras,On Controllable Sparse Alternatives to Softmax.
674,674,Guy Bresler,MIT,Madalina Persu,"Two Sigma Investments, MIT",Sparse PCA from Sparse Linear Regression.
675,675,Vatsal Sharan,Stanford University,Udi Wieder,VMware Research,Efficient Anomaly Detection via Matrix Sketching.
676,676,Minshuo Chen,Georgia Tech,Tuo Zhao,Georgia Tech,Dimensionality Reduction for Stationary Time Series via Stochastic Nonconvex Optimization.
677,677,Yi Chen,Northwestern University,Zhaoran Wang,"Princeton, Phd student",Contrastive Learning from Pairwise Measurements.
678,678,Theo Lacombe,Inria Saclay,Steve OUDOT,inria,Large Scale computation of Means and Clusters for Persistence Diagrams using Optimal Transport.
