679,679,Marta Avalos,"INRIA, INSERM U1219, University of Bordeaux",Ke Sun,"Data61, CSIRO",Representation Learning of Compositional Data.
680,680,Zeyuan Allen-Zhu,Microsoft Research,Zeyuan Allen-Zhu,Microsoft Research,How To Make the Gradients Small Stochastically: Even Faster Convex and Nonconvex SGD.
681,681,Daniel Ting,Tableau Software,Eric Brochu,Tableau Software,Optimal Subsampling with Influence Functions.
682,682,Jonathan Huggins,Massachusetts Institute of Technology,Lester Mackey,Microsoft Research,Random Feature Stein Discrepancies.
683,683,Tam Le,RIKEN AIP,Makoto Yamada,Kyoto University / RIKEN AIP,Persistence Fisher Kernel: A Riemannian Manifold Kernel for Persistence Diagrams.
684,684,Shahin Shahrampour,Texas A&M University,Vahid Tarokh,Duke University,Learning Bounds for Greedy Approximation with Explicit Feature Maps from Multiple Kernels.
685,685,Zhen Zhang,WASHINGTON UNIVERSITY IN ST.LOUIS,Arye Nehorai,WASHINGTON UNIVERSITY IN ST.LOUIS,RetGK: Graph Kernels based on Return Probabilities of Random Walks.
686,686,Priyank Jaini,University of Waterloo,Yaoliang Yu,University of Waterloo,"Deep Homogeneous Mixture Models: Representation, Separation, and Approximation."
687,687,Geneviève Robin,École Polytechnique,Eric Moulines,Ecole Polytechnique,Low-rank Interaction with Sparse Additive Effects Model for Large Data Frames.
688,688,Daniel Pimentel-Alarcon,Georgia State University,Daniel Pimentel-Alarcon,Georgia State University,Mixture Matrix Completion.
689,689,Yonghong Luo,Nankai University,Yuan xiaojie,Nankai Univeristy,Multivariate Time Series Imputation with Generative Adversarial Networks.
690,690,Lior Kamma,Aarhus University,Kasper Green Larsen,"Aarhus University, MADALGO",Fully Understanding The Hashing Trick.
691,691,Michel Deudon,Ecole Polytechnique,Michel Deudon,Ecole Polytechnique,Learning semantic similarity in a continuous space.
692,692,Raanan Y. Rohekar,Intel Corporation,Gal Novik,Intel AI,Bayesian Structure Learning by Recursive Bootstrap.
693,693,Yao Li,"University of California, Davis",Cho-Jui Hsieh,"UCLA, Google Research",Learning from Group Comparisons: Exploiting Higher Order Interactions.
694,694,Anna Korba,TELECOM PARISTECH,Florence d'Alché-Buc,"LTCI,Télécom ParisTech, University of Paris-Saclay",A Structured Prediction Approach for Label Ranking.
695,695,Alexandre Marques,Massachusetts Institute of Technology,Karen Willcox,MIT,Contour location via entropy reduction leveraging multiple information sources.
696,696,Jian Li,"Institute of Information Engineering, CAS",Weiping Wang,"Institute of Information Engineering, CAS, China",Multi-Class Learning: From Theory to Algorithm.
697,697,Zhilu Zhang,Cornell University,Mert Sabuncu,Cornell,Generalized Cross Entropy Loss for Training Deep Neural Networks with Noisy Labels.
698,698,Krishna Pillutla,University of Washington,Zaid Harchaoui,University of Washington,A Smoother Way to Train Structured Prediction Models.
