,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
699,699,Qi Liu,Facebook AI Research,Alexander Gaunt,Microsoft Research,Constrained Graph Variational Autoencoders for Molecule Design.
700,700,Wenbo Wang,Binghamton University,Xingye Qiao,Binghamton University,Learning Confidence Sets using Support Vector Machines.
701,701,Wenye Li,"The Chinese University of Hong Kong, Shenzhen",Shuguang Cui,"The Chinese University of Hong Kong, Shenzhen",Fast Similarity Search via Optimal Sparse Lifting.
702,702,Haitian Sun,Carnegie Mellon University,Lidong Bing,Tencent AI Lab,Semi-Supervised Learning with Declaratively Specified Entropy Constraints.
703,703,Liudmila Prokhorenkova,Yandex,Andrey Gulin,Yandex,CatBoost: unbiased boosting with categorical features.
704,704,Liuyi Yao,State University of New York at Buffalo,Aidong Zhang,SUNY Buffalo,Representation Learning for Treatment Effect Estimation from Observational Data.
705,705,Sami Abu-El-Haija,Information Sciences Institute @ USC,Alex Alemi,Google,Watch Your Step: Learning Node Embeddings via Graph Attention.
706,706,An Zhao,Renmin University of China,Ji-Rong Wen,Renmin University of China,Domain-Invariant Projection Learning for Zero-Shot Recognition.
707,707,Junnan Li,National University of Singapore,Mohan Kankanhalli,"National University of Singapore,",Unsupervised Learning of View-invariant Action Representations.
708,708,Valerio Perrone,University of Warwick,Cedric Archambeau,Amazon,Scalable Hyperparameter Transfer Learning.
709,709,Jing LI,"University of Nantes, LS2N lab",Patrick Le Callet,"""Universite de Nantes, France""",Hybrid-MST: A Hybrid Active Sampling Strategy for Pairwise Preference Aggregation.
710,710,Shiva Gopakumar,Deakin University,Svetha Venkatesh,Deakin University,Algorithmic Assurance: An Active Approach to Algorithmic Testing using Bayesian Optimisation.
711,711,Yuxin Chen,Caltech,Yisong Yue,Caltech,Understanding the Role of Adaptivity in Machine Teaching: The Case of Version Space Learners.
712,712,Jack Goetz,University of Michigan,Paul Zimmerman,University of Michigan,Active Learning for Non-Parametric Regression Using Purely Random Trees.
713,713,Shali Jiang,Washington University in St. Louis,Roman Garnett,Washington University in St. Louis,Efficient nonmyopic batch active search.
714,714,Hippolyt Ritter,University College London,David Barber,University College London,Online Structured Laplace Approximations for Overcoming Catastrophic Forgetting.
715,715,Asier Mujika,ETH Zurich,Angelika Steger,ETH Zurich,Approximating Real-Time Recurrent Learning with Random Kronecker Factors.
716,716,Claudio Gentile,INRIA,Fabio Vitale,Sapienza University of Rome,Online Reciprocal Recommendation with Theoretical Performance Guarantees.
717,717,Chaosheng Dong,University of Pittsburgh,Bo Zeng,pitt,Generalized Inverse Optimization through Online Learning.
718,718,Jianjun Yuan,University of Minnesota,Andrew Lamperski,University of Minnesota,Online convex optimization for cumulative constraints.
