419,419,Simon Du,Carnegie Mellon University,Jason Lee,University of Southern California,Algorithmic Regularization in Learning Deep Homogeneous Models: Layers are Automatically Balanced.
420,420,Ohad Shamir,Weizmann Institute of Science,Ohad Shamir,Weizmann Institute of Science,Are ResNets Provably Better than Linear Predictors?.
421,421,Alex Alemi,Google,Ian Fischer,Google,GILBO: One Metric to Measure Them All.
422,422,Ricky T. Q. Chen,University of Toronto,David Duvenaud,University of Toronto,Isolating Sources of Disentanglement in Variational Autoencoders.
423,423,Jay Heo,KAIST,Sung Ju Hwang,"KAIST, AItrics",Uncertainty-Aware Attention for Reliable Interpretation and Prediction.
424,424,Bryan Lim,University of Oxford,Mihaela van der Schaar,UCLA and Oxford University,Forecasting Treatment Responses Over Time Using Recurrent Marginal Structural Networks.
425,425,Fei Wang,Purdue University,Tiark Rompf,Purdue University,Backpropagation with Callbacks: Foundations for Efficient and Expressive Differentiable Programming.
426,426,Nick Haber,Stanford University,Daniel Yamins,Stanford University,"Learning to Play With Intrinsically-Motivated, Self-Aware Agents."
427,427,Boyla Mainsah,Duke University,Chandra  Throckmorton,Duke University,Information-based Adaptive Stimulus Selection to Optimize Communication Efficiency in Brain-Computer Interfaces.
428,428,Mikio Aoi,Princeton University,Jonathan Pillow,Princeton University,Model-based targeted dimensionality reduction for neuronal population data.
429,429,Yu Terada,RIKEN,Yoshiyuki Kabashima,Tokyo Institute of Technology,Objective and efficient inference for couplings in neuronal networks.
430,430,Samuel Ocko,Stanford,Stephane Deny,Stanford,The emergence of multiple retinal cell types through efficient coding of natural movies.
431,431,Ji Xu,Columbia University,Arian Maleki,Columbia University,Benefits of over-parameterization with EM.
432,432,Alexander Munteanu,TU Dortmund,David Woodruff,Carnegie Mellon University,On Coresets for Logistic Regression.
433,433,Yi Hao,"University of California, San Diego",Venkatadheeraj Pichapati,UC San Diego,On Learning Markov Chains.
434,434,Yash Deshpande,Massachusetts Institute of Technology,Elchanan Mossel,MIT,Contextual Stochastic Block Models.
435,435,Arman Rahimzamani,University of Washington,Sreeram Kannan,University of Washington,Estimators for Multivariate Information Measures in General Probability Spaces.
436,436,Ali Ahmed,Information Technology University,Paul Hand,Northeastern University,Blind Deconvolutional Phase Retrieval via Convex Programming.
437,437,Yanjun Han,Stanford University,Tiancheng Yu,Tsinghua University,Entropy Rate Estimation for Markov Chains with Large State Space.
438,438,Mario Bravo,"University of Santiago, Chile",Panayotis Mertikopoulos,CNRS (French National Center for Scientific Research),Bandit Learning in Concave N-Person Games.
