559,559,Hanlin Tang,University of Rochester,Prof. Ji Liu Liu,"University of Rochester, Tencent AI lab",Communication Compression for Decentralized Training.
560,560,Moran Feldman,Open University of Israel,Ehsan Kazemi,"Yale Institute for Network Science, Yale","Do Less, Get More: Streaming Submodular Maximization with Subsampling."
561,561,Rad Niazadeh,Stanford University,Joshua Wang,Google,Optimal Algorithms for Continuous Non-monotone Submodular and DR-Submodular Maximization.
562,562,Kaito Fujii,University of Tokyo,Tasuku Soma,University of Tokyo,Fast greedy algorithms for dictionary selection with generalized sparsity constraints.
563,563,Sanjeeb Dash,IBM Research,Dennis Wei,IBM Research,Boolean Decision Rules via Column Generation.
564,564,Gennaro Auricchio,University of Pavia,Marco Veneroni,University of Pavia,Computing Kantorovich-Wasserstein Distances on $d$-dimensional histograms using $(d+1)$-partite graphs.
565,565,Mingrui Liu,The University of Iowa,Tianbao Yang,The University of Iowa,Adaptive Negative Curvature Descent with Applications in Non-convex Optimization.
566,566,Michael Tschannen,ETH Zurich,Mario Lucic,Google Brain,Deep Generative Models for Distribution-Preserving Lossy Compression.
567,567,Yunzhe Tao,Columbia University,Wei Liu,Tencent AI Lab,"Nonlocal Neural Networks, Nonlocal Diffusion and Nonlocal Modeling."
568,568,Nitin Bansal,Texas A&M University,Zhangyang Wang,TAMU,Can We Gain More from Orthogonality Regularizations in Training Deep Networks?.
569,569,Zhuangwei Zhuang,SCUT,Jinhui Zhu,SCUT,Discrimination-aware Channel Pruning for Deep Neural Networks.
570,570,Nils Bjorck,Cornell,Kilian Weinberger,Cornell University,Understanding Batch Normalization.
571,571,Zhihao Zheng,Brandeis University,Pengyu Hong,Brandeis University,Robust Detection of Adversarial Attacks by Modeling the Intrinsic Properties of Deep Neural Networks.
572,572,Zhuwen Li,Intel Labs,Vladlen Koltun,Intel Labs,Combinatorial Optimization with Graph Convolutional Networks and Guided Tree Search.
573,573,Sven Bambach,The Research Institute at Nationwide Children's Hospital,Chen Yu,Indiana University,Toddler-Inspired Visual Object Learning.
574,574,Robert Geirhos,University of Tübingen,Felix A. Wichmann,University of Tübingen,Generalisation in humans and deep neural networks.
575,575,Sergey Bartunov,DeepMind,Timothy Lillicrap,Google DeepMind,Assessing the Scalability of Biologically-Motivated Deep Learning Algorithms and Architectures.
576,576,Shailee Jain,The University of Texas at Austin,Alexander Huth,The University of Texas at Austin,Incorporating Context into Language Encoding Models for fMRI.
577,577,Jianqiao Zhu,University of Warwick,Nick Chater,Warwick Business School,Mental Sampling in Multimodal Representations.
578,578,Amir Dezfouli,"Data61, CSIRO",Bernard Balleine,UNSW,Integrated accounts of behavioral and neuroimaging data using flexible recurrent neural network models.
