,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
79,79,Qianqian Xu,"Key Laboratory of Intelligent Information Processing, Institute of Computing Technology, Chinese Academy of Sciences",Yuan Yao,Hong Kong Univ. of Science & Technology,iSplit LBI: Individualized Partial Ranking with Ties via Split LBI.
80,80,Dina Obeid,Harvard University,Cengiz Pehlevan,Harvard University,Structured and Deep Similarity Matching via  Structured and Deep Hebbian Networks.
81,81,Mohamed Akrout,University of Toronto,Douglas Tweed,University of Toronto,Deep Learning without Weight Transport.
82,82,Guruprasad Raghavan,California Institute of Technology,Matt Thomson,California Institute of Technology,Neural networks grown and self-organized by noise.
83,83,Wenrui Zhang,"University of California, Santa Barbara",Peng Li,"University of California, Santa Barbara",Spike-Train Level Backpropagation for Training Deep Recurrent Spiking Neural Networks.
84,84,Hosein Hasani,Sharif University of Technology,Hamid Aghajan,Sharif University of Technology,Surround Modulation: A Bio-inspired Connectivity Structure for Convolutional Neural Networks.
85,85,Maxence Ernoult,Université Paris Sud,Benjamin Scellier,"Mila, University of Montreal",Updates of Equilibrium Prop Match Gradients of Backprop Through Time in an RNN with Static Input.
86,86,Bichuan Guo,Tsinghua University,Jiangtao Wen,Tsinghua University,AGEM: Solving Linear Inverse Problems via Deep Priors and Sampling.
87,87,Gunpil Hwang,KAIST,Hyeon-Min Bae,KAIST,Bat-G net: Bat-inspired High-Resolution 3D Image Reconstruction using Ultrasonic Echoes.
88,88,Weizhe Hua,Cornell University,G. Edward Suh,Cornell University,Channel Gating Neural Networks.
89,89,Hattie Zhou,Uber,Jason Yosinski,Uber AI; Recursion,"Deconstructing Lottery Tickets: Zeros, Signs, and the Supermask."
90,90,Zhijian Liu,MIT,Song Han,MIT,Point-Voxel CNN for Efficient 3D Deep Learning.
91,91,Zhonghui You,Peking University,Ping Wang,Peking University,Gate Decorator: Global Filter Pruning Method for Accelerating Deep Convolutional Neural Networks.
92,92,Georgios Detorakis,"University of California, Irvine",EON O Neftci,UC Irvine,Inherent Weight Normalization in Stochastic Neural Networks.
93,93,Shangyu Chen,"Nanyang Technological University, Singapore",Sinno Jialin Pan,"Nanyang Technological University, Singapore",MetaQuant: Learning to Quantize by Learning to Penetrate Non-differentiable Quantization.
94,94,Shupeng Gui,University of Rochester,Prof. Ji Liu Liu,Kwai Inc.,Model Compression with Adversarial Robustness: A Unified Optimization Framework.
95,95,Yixing Xu,Huawei Noah's Ark Lab,Chang Xu,University of Sydney,Positive-Unlabeled Compression on the Cloud.
96,96,Maxim Kuznetsov,Insilico Medicine,Alex Zhebrak,Insilico Medicine,A Prior of a Googol Gaussians: a Tensor Ring Induced Prior for Generative Models.
97,97,Dina Bashkirova,Boston University,Kate Saenko,Boston University,Adversarial Self-Defense for Cycle-Consistent GANs.
98,98,Bowen Li,University of Oxford,Philip Torr,University of Oxford,Controllable Text-to-Image Generation.
