359,359,Harm Van Seijen,Microsoft Research,Arash Tavakoli,Imperial College London,Using a Logarithmic Mapping to Enable Lower Discount Factors in Reinforcement Learning.
360,360,Horia Mania,UC Berkeley,Benjamin Recht,UC Berkeley,Certainty Equivalence is Efficient for Linear Quadratic Control.
361,361,Brian Axelrod,Stanford,Gregory Valiant,Stanford University,A Polynomial Time Algorithm for Log-Concave Maximum Likelihood via Locally Exponential Families.
362,362,Karl Krauth,UC berkeley,Benjamin Recht,UC Berkeley,Finite-time Analysis of Approximate Policy Iteration for the Linear Quadratic Regulator.
363,363,Dylan Foster,MIT,Karthik Sridharan,Cornell University,Hypothesis Set Stability and Generalization.
364,364,Sauptik Dhar,LG Electronics,Mohak Shah,LG Electronics,Multiclass Learning from Contradictions.
365,365,Abi Komanduru,Purdue University,Jean Honorio,Purdue University,On the Correctness and Sample Complexity of Inverse Reinforcement Learning.
366,366,Gilad Yehudai,Weizmann Institute of Science,Ohad Shamir,Weizmann Institute of Science,On the Power and Limitations of Random Features for Understanding Neural Networks.
367,367,Amir Najafi,Sharif University of Technology,Takeru Miyato,"Preferred Networks, Inc.",Robustness to Adversarial Perturbations in Learning from Incomplete Data.
368,368,Fernando Gama,University of Pennsylvania,Joan Bruna,NYU,Stability of Graph Scattering Transforms.
369,369,Yaqi Duan,Princeton University,Mengdi Wang,Princeton University,State Aggregation Learning from Markov Transition Data.
370,370,Nika Haghtalab,Cornell University,Bo Waggoner,"U. Colorado, Boulder",Toward a Characterization of Loss Functions for Distribution Learning.
371,371,Becca Roelofs,UC Berkeley,Ludwig Schmidt,UC Berkeley,A Meta-Analysis of Overfitting in Machine Learning.
372,372,Moshe Shenfeld,Hebrew University of Jerusalem,Katrina Ligett,Hebrew University,A Necessary and Sufficient Stability Notion for Adaptive Generalization.
373,373,Horia Mania,UC Berkeley,Benjamin Recht,UC Berkeley,Model Similarity Mitigates Test Set Overuse.
374,374,Se-Young Yun,KAIST,Alexandre Proutiere,KTH,Optimal Sampling and Clustering in the Stochastic Block Model.
375,375,Xiao Li,"University of California, Berkeley",Bin Yu,UC Berkeley,A Debiased MDI Feature Importance Measure for Random Forests.
376,376,Allan Grønlund,"Aarhus University, MADALGO",Jelani Nelson,UC Berkeley,Margin-Based Generalization Lower Bounds for Boosted Classifiers.
377,377,Bulat Ibragimov,Yandex Research,Glebaster Gusev,Sberbank,Minimal Variance Sampling in Stochastic Gradient Boosting.
378,378,Igor Kuralenok,Yandex,Igor Labutin,Yandex,MonoForest framework for tree ensemble analysis.
