379,379,Peilin Zhong,Columbia University,Changxi Zheng,Columbia University,Rethinking Generative Mode Coverage: A Pointwise Guaranteed Approach.
380,380,Wei Deng,Purdue University,Guang Lin,Purdue University,An Adaptive Empirical  Bayesian Method for Sparse Deep Learning.
381,381,XIA XIAO,University of Connecticut,Sanguthevar Rajasekaran,University of Connecticut,AutoPrune: Automatic Network Pruning by Regularizing Auxiliary Parameters.
382,382,Honghao Li,Institut Curie,Herve Isambert,Institut Curie,Constraint-based Causal Structure Learning with Consistent Separating Sets.
383,383,Zhiyong Yang,"SKLOIS, Institute of Information Engineering, Chinese Academy of Sciences; SCS, University of Chinese Academy of Sciences",Qingming Huang,University of Chinese Academy of Sciences,Generalized Block-Diagonal Structure Pursuit: Learning Soft Latent Task Assignment against Negative Transfer.
384,384,Zihan Li,National University of Singapore,Jonathan Scarlett,National University of Singapore,Learning Erdos-Renyi Random Graphs via Edge Detecting Queries.
385,385,Chris Russell,The Alan Turing Institute/ The University of Surrey,Neill Campbell,University of Bath,Fixing Implicit Derivatives: Trust-Region Based Learning of Continuous Energy Functions.
386,386,Ibrahim Jubran,The University of Haifa,Dan Feldman,University of Haifa,Fast and Accurate Least-Mean-Squares Solvers.
387,387,Xiangyu Zheng,Peking University,Song Xi Chen,Peking University,Partitioning Structure Learning for Segmented Linear Regression Trees.
388,388,David Gamarnik,Massachusetts Institute of Technology,Julia Gaudio,Massachusetts Institute of Technology,Sparse High-Dimensional Isotonic Regression.
389,389,Huaian Diao,Northeast Normal University,Xin Yang,University of Washington,Total Least Squares Regression in Input Sparsity Time.
390,390,Xuanqing Liu,"University of California, Los Angeles",Cho-Jui Hsieh,UCLA,A Unified Framework for Data Poisoning Attack to Graph-based Semi-supervised Learning.
391,391,Pedro Mercado,University of Tübingen,Matthias Hein,University of Tübingen,Generalized Matrix Means for Semi-Supervised Learning with Multilayer Graphs.
392,392,Otilia Stretcu,Carnegie Mellon University,Andrew Tomkins,Google,Graph Agreement Models for Semi-Supervised Learning.
393,393,Fan Zhou,Shanghai University of Finance and Economics,Ye Jieping,DiDi Chuxing,Graph-Based Semi-Supervised Learning with Non-ignorable Non-response.
394,394,Naganand Yadati,Indian Institute of Science,Partha Talukdar,"Indian Institute of Science, Bangalore",HyperGCN: A New Method For Training Graph Convolutional Networks on Hypergraphs.
395,395,David Berthelot,Google Brain,Colin A Raffel,Google Brain,MixMatch: A Holistic Approach to Semi-Supervised Learning.
396,396,Yair Carmon,Stanford University,Percy Liang,Stanford University,Unlabeled Data Improves Adversarial Robustness.
397,397,Vickram Rajendran,The Johns Hopkins University Applied Physics Lab,William LeVine,The Johns Hopkins University Applied Physics Lab,Accurate Layerwise Interpretable Competence Estimation.
398,398,Jeremiah Liu,Google Research / Harvard,Brent Coull,Harvard University,Accurate Uncertainty Estimation and Decomposition in Ensemble Learning.
