419,419,Yangbangyan Jiang,"Institute of Information Engineering, Chinese Academy of Sciences",Qingming Huang,University of Chinese Academy of Sciences,DM2C: Deep Mixed-Modal Clustering.
420,420,Chunjin Song,Shenzhen University,Hui Huang,Shenzhen University,ETNet: Error Transition Network for Arbitrary Style Transfer.
421,421,Xueting Li,"University of California, Merced",Ming-Hsuan Yang,Google / UC Merced,Joint-task Self-supervised Learning for Temporal Correspondence.
422,422,Adrian Dalca,"MIT, HMS",Mert Sabuncu,Cornell,Learning Conditional Deformable Templates with Convolutional Networks.
423,423,Bo Yang,University of Oxford,Niki Trigoni,University of Oxford,Learning Object Bounding Boxes for 3D Instance Segmentation on Point Clouds.
424,424,Xihui Liu,The Chinese University of Hong Kong,hongsheng Li,cuhk,Learning to Predict Layout-to-image Conditional Convolutions for Semantic Image Synthesis.
425,425,Yichao Zhou,UC Berkeley,Yi Ma,UC Berkeley,NeurVPS: Neural Vanishing Point Scanning via Conic Convolution.
426,426,Gamaleldin Elsayed,"Google Research, Brain Team",Quoc V Le,Google,Saccader: Improving Accuracy of Hard Attention Models for Vision.
427,427,Vincent Sitzmann,Stanford University,Gordon Wetzstein,Stanford University,Scene Representation Networks: Continuous 3D-Structure-Aware Neural Scene Representations.
428,428,Niki Parmar,Google,Jon Shlens,Google Research,Stand-Alone Self-Attention in Vision Models.
429,429,Jiawang Bian,The University of Adelaide,Ian Reid,University of Adelaide,Unsupervised Scale-consistent Depth and Ego-motion Learning from Monocular Video.
430,430,Gengshan Yang,Carnegie Mellon University,Deva Ramanan,Carnegie Mellon University,Volumetric Correspondence Networks for Optical Flow.
431,431,Maxime Bucher,Valeo.ai,Patrick Pérez,Valeo.ai,Zero-Shot Semantic Segmentation.
432,432,Qiming ZHANG,University of Sydney,Dacheng Tao,University of Sydney,Category Anchor-Guided Unsupervised Domain Adaptation for Semantic Segmentation.
433,433,Xu Wang,Shenzhen University,Lin Ma,Tencent AI Lab,Exploiting Local and Global Structure for Point Cloud Semantic Segmentation with Contextual Point Representations.
434,434,Lin Song,Xi'an Jiaotong University,Nanning Zheng,Xi'an Jiaotong University,Learnable Tree Filter for Structure-preserving Feature Transform.
435,435,Miao Zhang,Dalian University of Technology,Huchuan Lu,Dalian University of Technology,Memory-oriented Decoder for Light Field Salient Object Detection.
436,436,Sicheng Zhao,University of California Berkeley,Kurt Keutzer,"EECS, UC Berkeley",Multi-source Domain Adaptation for Semantic Segmentation.
437,437,Shuai Zhao,Zhejiang University,Deng Cai,ZJU,Region Mutual Information Loss for Semantic Segmentation.
438,438,Xiaoling Hu,Stony Brook University,Chao Chen,Stony Brook University,Topology-Preserving Deep Image Segmentation.
