,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
539,539,Matthew Fellows,University of Oxford,Shimon Whiteson,University of Oxford,VIREL: A Variational Inference Framework for Reinforcement Learning.
540,540,Nikolaos Tziavelis,Northeastern University,Panagiotis Karras,Aarhus University,Equitable Stable Matchings in Quadratic Time.
541,541,James Bailey,Texas A&M University,Georgios Piliouras,Singapore University of Technology and Design,Fast and Furious Learning in Zero-Sum Games: Vanishing Regret with Non-Vanishing Step Sizes.
542,542,Jacob Abernethy,Georgia Institute of Technology,Jamie Morgenstern,University of Washington,Learning Auctions with Robust Incentive Guarantees.
543,543,Arsenii Vanunts,Yandex,Alexey Drutsa,Yandex,Optimal Pricing in Repeated Posted-Price Auctions with Different Patience of the Seller and the Buyer.
544,544,Gabriele Farina,Carnegie Mellon University,Tuomas Sandholm,"CMU, Strategic Machine, Strategy Robot, Optimized Markets",Optimistic Regret Minimization for Extensive-Form Games via Dilated Distance-Generating Functions.
545,545,Jessie Finocchiaro,University of Colorado Boulder,Bo Waggoner,"U. Colorado, Boulder",An Embedding Framework for Consistent Polyhedral Surrogates.
546,546,Nikos Ignatiadis,Stanford University,Stefan Wager,Stanford University,Covariate-Powered Empirical Bayes Estimation.
547,547,Adarsh Barik,Purdue University,Jean Honorio,Purdue University,Learning Bayesian Networks with Low Rank Conditional Probability Tables.
548,548,Alon Cohen,Google,Shay Moran,Google AI Princeton,Learning to Screen.
549,549,Raef Bassily,The Ohio State University,Noga  Alon,Princeton,Limits of Private Learning with Access to Public Data.
550,550,Gaurush Hiranandani,University of Illinois at Urbana-Champaign,Sanmi Koyejo,UIUC,Multiclass Performance Metric Elicitation.
551,551,Steve Hanneke,Toyota Technological Institute at Chicago,Samory Kpotufe,Columbia University,On the Value of Target Data in Transfer Learning.
552,552,Ilias Diakonikolas,UW Madison,Alistair Stewart,University of Southern California,Outlier-Robust High-Dimensional Sparse Estimation via Iterative Filtering.
553,553,Farnam Mansouri,MPI-SWS,Adish Singla,MPI-SWS,Preference-Based Batch and Sequential Teaching: Towards a Unified View of Models.
554,554,Xingye Qiao,Binghamton University,Guang Cheng,Purdue University,Rates of Convergence for Large-scale Nearest Neighbor Classification.
555,555,Zeyuan Allen-Zhu,Microsoft Research,Yuanzhi Li,Princeton,"What Can ResNet Learn Efficiently, Going Beyond Kernels?."
556,556,Digvijay Boob,Georgia Institute of Technology,Di Wang,Google AI,Faster width-dependent algorithm for mixed packing and covering LPs.
557,557,Pierre C Bellec,Rutgers,Arun Kuchibhotla,Wharton Statistics,First order expansion of convex regularized estimators.
558,558,Tomas Vaskevicius,University of Oxford,Patrick Rebeschini,University of Oxford,Implicit Regularization for Optimal Sparse Recovery.
