559,559,Basri Ronen,Weizmann Inst.,Shira Kritchman,Weizmann Institute,The Convergence Rate of Neural Networks for Learned Functions of Different Frequencies.
560,560,Shinji Ito,NEC Corporation,Ken-Ichi Kawarabayashi,National Institute of Informatics,Improved Regret Bounds for Bandit Combinatorial Optimization.
561,561,Zhengyuan Zhou,Stanford University,Jose Blanchet,Stanford University,Learning in Generalized  Linear Contextual Bandits with Stochastic Delays.
562,562,Jonas Mueller,Amazon Web Services,Matt Taddy,Chicago Booth,Low-Rank Bandit Methods for High-Dimensional Dynamic Pricing.
563,563,Sumeet Katariya,UW-Madison and Amazon,Robert Nowak,University of Wisconsion-Madison,MaxGap Bandit: Adaptive Algorithms for Approximate Ranking.
564,564,Dylan Foster,MIT,Haipeng Luo,University of Southern California,Model Selection for Contextual Bandits.
565,565,Nirandika Wanigasekara,National University of Singapore,Christina Yu,Cornell University,Nonparametric Contextual Bandits in Metric Spaces with Unknown Metric.
566,566,Rémy Degenne,"Centrum Wiskunde & Informatica, Amsterdam",Wouter Koolen,"Centrum Wiskunde & Informatica, Amsterdam",Pure Exploration with Multiple Correct Answers.
567,567,Ciara Pike-Burke,Universitat Pompeu Fabra,Steffen Grunewalder,Lancaster,Recovering Bandits.
568,568,Lalit Jain,University of Washington,Lillian Ratliff,University of Washington,Sequential Experimental Design for Transductive Linear Bandits.
569,569,Etienne Boursier,ENS Paris Saclay,Vianney Perchet,ENSAE & Criteo AI Lab,SIC-MMAB: Synchronisation Involves Communication in Multiplayer Multi-Armed Bandits.
570,570,Sascha Saralajew,Dr. Ing. h.c. F. Porsche AG,Thomas Villmann,University of Applied Sciences Mittweida,Classification-by-Components: Probabilistic Modeling of Reasoning over a Set of Components.
571,571,Xiyang Hu,Carnegie Mellon University,Margo Seltzer,University of British Columbia,Optimal Sparse Decision Trees.
572,572,Harald Steck,Netflix,Harald Steck,Netflix, Markov Random Fields for Collaborative Filtering.
573,573,Frank Ban,UC Berkeley / Google,Richard Zhang,UC Berkeley,Regularized Weighted Low Rank Approximation.
574,574,Chen Xing,Montreal Institute of Learning Algorithms,Pedro O. Pinheiro,Element AI,Adaptive Cross-Modal Few-shot Learning.
575,575,Ruibing Hou,Institute of Computing Technology，Chinese Academy,Xilin Chen,"Institute of Computing Technology, Chinese Academy of Sciences",Cross Attention Network for Few-shot Classification.
576,576,Satoshi Tsutsui,Indiana University,David Crandall,Indiana University,Meta-Reinforced Synthetic Data for One-Shot Fine-Grained Visual Recognition.
577,577,Ziyu Wan,City University of Hong Kong,Jing Liao,City University of Hong Kong,Transductive Zero-Shot Learning with Visual Structure Constraint.
578,578,Siavash Khodadadeh,University of Central Florida,Mubarak Shah,University of Central Florida,Unsupervised Meta-Learning for Few-Shot Image Classification.
