619,619,Lingyu Liang,South China University of Technology,Yong Xu,South China University of Technology,Adaptive GNN for Image Analysis and Editing.
620,620,Ting-Chun Wang,NVIDIA,Jan Kautz,NVIDIA,Few-shot Video-to-Video Synthesis.
621,621,Jianchun Chen,New York University,Yi Fang,New York University,Arbicon-Net: Arbitrary Continuous Geometric Transformation Networks for Image Registration.
622,622,Shibani Santurkar,MIT,Aleksander Madry,MIT,Image Synthesis with a Single (Robust) Classifier.
623,623,Natalia Neverova,Facebook AI Research,Andrea Vedaldi,University of Oxford / Facebook AI Research,Correlated Uncertainty for Learning Dense Correspondences from Noisy Labels.
624,624,Yiqi Zhong,University of Southern California,Ulrich Neumann,USC,Deep RGB-D Canonical Correlation Analysis For Sparse Depth Completion.
625,625,Fuwen Tan,University of Virginia,Vicente Ordonez,University of Virginia,Drill-down: Interactive Retrieval of Complex Scenes using Natural Language Queries.
626,626,Jian Ni,University of Science and Technology of China,Haiyong Xie,University of Science and Technology of China,Dual Adversarial Semantics-Consistent Network for Generalized Zero-Shot Learning.
627,627,Chundi Liu,Layer6 AI,Satya Krishna Gorti,Layer6 AI,Guided Similarity Separation for Image Retrieval.
628,628,Benjamin Planche,Siemens Corporate Technology,ANDREAS HUTTER,"Siemens Corporate Technology, Germany",Incremental Scene Synthesis.
629,629,Xiaoming Yu,Peking University,Ge Li,"SECE, Shenzhen Graduate School, Peking University",Multi-mapping Image-to-Image Translation via Learning Disentanglement.
630,630,Jian Sun,Xi'an Jiaotong University,Zongben Xu,XJTU,Neural Diffusion Distance for Image Segmentation.
631,631,Chris Thomas,University of Pittsburgh,Adriana Kovashka,University of Pittsburgh,Predicting the Politics of an Image Using Webly Supervised Data.
632,632,Aleksis Pirinen,Lund University,Cristian Sminchisescu,Google Research,Domes to Drones: Self-Supervised Active Triangulation for 3D Human Pose Reconstruction.
633,633,CHAO LI,Xidian University,Wei Liu,Tencent AI Lab,Cross-Modal Learning with Adversarial Samples.
634,634,Zhixin Zhou,City University of Hong Kong,Ping Li,Baidu Research USA,Möbius Transformation for Fast Inner Product Search on Graph.
635,635,Suhas Jayaram Subramanya,Carnegie Mellon University,Rohan  Kadekodi,The University of Texas at Austin,DiskANN: Fast Accurate Billion-point Nearest Neighbor Search on a Single Node.
636,636,Shahana Ibrahim,Oregon State University,Kejun Huang,University of Florida,Crowdsourcing via Pairwise Co-occurrences: Identifiability and Algorithms.
637,637,Ivan Glasser,Max Planck Institute of Quantum Optics,Ignacio Cirac,Max-Planck Institute of Quantum Optics,Expressive power of tensor-network factorizations for probabilistic modeling.
638,638,Jicong Fan,Cornell University,Madeleine Udell,Cornell University,Factor Group-Sparse Regularization for Efficient Low-Rank Matrix Recovery.
