,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
659,659,Alex Lu,University of Toronto,Alan Moses,University of Toronto,The Cells Out of Sample (COOS) dataset and benchmarks for measuring out-of-sample generalization of image classifiers.
660,660,Anton Bakhtin,Facebook AI Research,Ross Girshick,FAIR,PHYRE: A New Benchmark for Physical Reasoning.
661,661,Paul Michel,"Carnegie Mellon University, Language Technologies Institute",Graham Neubig,Carnegie Mellon University,Are Sixteen Heads Really Better than One?.
662,662,Yi Tay,"NTU, Singapore",Siu Cheung Hui,Nanyang Technological University,Compositional De-Attention Networks.
663,663,Simao Herdade,Yahoo Research,Joao Soares,Yahoo Research,Image Captioning: Transforming Objects into Words.
664,664,Karlis Freivalds,"Institute of Mathematics and Computer Science, University of Latvia",Agris Šostaks,Institute of Mathematics and Computer Science,Neural Shuffle-Exchange Networks - Sequence Processing in O(n log n) Time.
665,665,Vighnesh Shiv,Microsoft Research,Chris Quirk,Microsoft Research,Novel positional encodings to enable tree-based transformers.
666,666,Da Xu,Walmart Labs,Kannan Achan,Walmart Labs,Self-attention with Functional Time Representation Learning.
667,667,Boris Knyazev,University of Guelph / Mila,Mohamed Amer,RobustAI,Understanding Attention and Generalization in Graph Neural Networks.
668,668,Aditya Grover,Stanford University,Stefano Ermon,Stanford,Bias Correction of Learned Generative Models using Likelihood-Free Importance Weighting.
669,669,Natasa Tagasovska,University of Lausanne,Thibault Vatter,Columbia University,Copulas as High-Dimensional Generative Models: Vine Copula Autoencoders.
670,670,Gabriel Loaiza-Ganem,Layer 6 AI,John Cunningham,University of Columbia,Deep Random Splines for Point Process Intensity Estimation of Neural Population Data.
671,671,Ali Razavi,DeepMind,Oriol Vinyals,Google DeepMind,Generating Diverse High-Fidelity Images with VQ-VAE-2.
672,672,Justin Cosentino,Tsinghua University,Jun Zhu,Tsinghua University,Generative Well-intentioned Networks.
673,673,Jenny Liu,"Vector Institute, University of Toronto",Kevin Swersky,Google,Graph Normalizing Flows.
674,674,Wenbo Gong,University of Cambridge,Cheng Zhang,"Microsoft Research, Cambridge, UK",Icebreaker: Element-wise Efficient Information Acquisition with a Bayesian Deep Latent Gaussian Model.
675,675,Sam Wiseman,TTIC,Yoon Kim,Harvard University,Amortized Bethe Free Energy Minimization for Learning MRFs.
676,676,Yang Song,Stanford University,Stefano Ermon,Stanford,MintNet: Building Invertible Neural Networks with Masked Convolutions.
677,677,Yukai Liu,Caltech,Yisong Yue,Caltech,NAOMI: Non-Autoregressive Multiresolution Sequence Imputation.
678,678,Cagatay Yildiz,Aalto University,Harri Lahdesmaki,Aalto University,ODE2VAE: Deep generative second order ODEs with Bayesian neural networks.
