699,699,Fariba Yousefi,University of Sheffield,Mauricio Álvarez,University of Sheffield,Multi-task Learning for Aggregated Data using Gaussian Processes.
700,700,Virginia Aglietti,University of Warwick,Sally  Cripps,University of Sydney,Structured Variational Inference in Continuous Cox Process Models.
701,701,Ghassen Jerfel,Duke University,Katherine Heller,Google,Reconciling meta-learning and continual learning with online mixtures of tasks.
702,702,Kunal Talwar,Google,Kunal Talwar,Google,Computational Separations between Sampling and Optimization.
703,703,Niloy Biswas,Harvard University,Paul Vanetti,Oxford,Estimating Convergence of Markov chains with L-Lag Couplings.
704,704,Bo Dai,Google Brain,Dale Schuurmans,Google Inc.,Exponential Family Estimation via Adversarial Dynamics Embedding.
705,705,Michalis Titsias,DeepMind,Petros Dellaportas,"University College London, Athens University of Economics and Alan Turing Institute",Gradient-based Adaptive Markov Chain Monte Carlo.
706,706,Santosh Vempala,Georgia Tech,Andre Wibisono,Georgia Tech,Rapid Convergence of the Unadjusted Langevin Algorithm: Isoperimetry Suffices.
707,707,Michael Zhu,Stanford University,Michael Zhu,Stanford University,Sample Adaptive MCMC.
708,708,Andrew Stirn,Columbia University,David Knowles,Columbia University, A New Distribution on the Simplex with Auto-Encoding Applications.
709,709,Dustin Tran,Google Brain,Danijar Hafner,Google,Bayesian Layers: A Module for Neural Network Uncertainty.
710,710,Edoardo Manino,University of Southampton,Nicholas Jennings,"Imperial College, London",Streaming Bayesian Inference for Crowdsourced Classification.
711,711,Farnood Salehi,EPFL,Patrick Thiran,EPFL,Learning Hawkes Processes from a handful of events.
712,712,Peng Chen,The University of Texas at Austin,Omar Ghattas,The University of Texas at Austin,Projected Stein Variational Newton: A Fast and Scalable Bayesian Inference Method in High Dimensions.
713,713,Justin Domke,"University of Massachusetts, Amherst",Justin Domke,"University of Massachusetts, Amherst",Provable Gradient Variance Guarantees for Black-Box Variational Inference.
714,714,Arman Hasanzadeh,Texas A&M University,Xiaoning Qian,Texas A&M,Semi-Implicit Graph Variational Auto-Encoders.
715,715,Trevor Campbell,UBC,Boyan Beronov,University of British Columbia,Sparse Variational Inference: Bayesian Coresets from Scratch.
716,716,Dilin Wang,UT Austin,Qiang Liu,UT Austin,Stein Variational Gradient Descent With Matrix-Valued Kernels.
717,717,Laurence Aitchison,University of Cambridge,Laurence Aitchison,University of Cambridge,Tensor Monte Carlo: Particle Methods for the GPU era.
718,718,Vaden Masrani,University of British Columbia,Frank Wood,University of British Columbia,The Thermodynamic Variational Objective.
