,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
779,779,Maksym Andriushchenko,University of Tübingen / EPFL,Matthias Hein,University of Tübingen,Provably robust boosted decision stumps and trees against adversarial attacks.
780,780,Hadi Salman,Microsoft Research AI,Greg Yang,Microsoft Research,Provably Robust Deep Learning via Adversarially Trained Smoothed Classifiers.
781,781,Jiefeng Chen,University of Wisconsin-Madison,Somesh Jha,"University of Wisconsin, Madison",Robust Attribution Regularization.
782,782,Hongge Chen,MIT,Cho-Jui Hsieh,UCLA,Robustness Verification of Tree-based Models.
783,783,Hanzhang Hu,Carnegie Mellon University,Debadeepta Dey,Microsoft Research AI,Efficient Forward Architecture Search.
784,784,Jeff Peng,CASIA,Junjie Yan,Sensetime Group Limited,Efficient Neural Architecture Transformation Search in Channel-Level for Object Detection.
785,785,Ho Chung Law,University of Oxford,Dino Sejdinovic,University of Oxford,Hyperparameter Learning via Distributional Transfer.
786,786,Valerio Perrone,Amazon,Rodolphe Jenatton,Google Brain,Learning search spaces for Bayesian optimization: Another view of hyperparameter transfer learning.
787,787,Albert Shaw,Tesla,Bo Dai,Google Brain,Meta Architecture Search.
788,788,Majid Abdolshah,Deakin University,Svetha Venkatesh,Deakin University,Multi-objective Bayesian optimisation with preferences over objectives.
789,789,Jian Wu,Cornell University,Peter Frazier,Cornell / Uber,Practical Two-Step Lookahead Bayesian Optimization.
790,790,Robert Kleinberg,Cornell University,Devon Graham,University of British Columbia,"Procrastinating with Confidence: Near-Optimal, Anytime, Adaptive Algorithm Configuration."
791,791,Lemeng Wu,UT Austin,Qiang Liu,UT Austin,Splitting Steepest Descent for Growing Neural Architectures .
792,792,Renato Negrinho,Carnegie Mellon University,Daniel Ferreira,TU Wien,Towards modular and programmable architecture search.
793,793,Lalit Jain,University of Washington,Kevin Jamieson,U Washington,A New Perspective on Pool-Based Active Classification and False-Discovery Control.
794,794,Botao Hao,Purdue University,Guang Cheng,Purdue University,Bootstrapping Upper Confidence Bound.
795,795,Matthieu Jedor,ENS Paris-Saclay & Cdiscount,Jonathan Louedec,Cdiscount,Categorized Bandits.
796,796,Santiago Balseiro,Columbia University,Jon Schneider,Google Research,Contextual Bandits with Cross-Learning.
797,797,Anmol Kagrecha,Indian Institute of Technology Bombay,Krishna Jagannathan,IIT Madras,"Distribution oblivious, risk-aware algorithms for multi-armed   bandits with unbounded rewards."
798,798,My Phan,University of Massachusetts Amherst,Justin Domke,"University of Massachusetts, Amherst",Thompson Sampling and Approximate Inference.
