819,819,Carl Allen,University of Edinburgh,Timothy Hospedales,University of Edinburgh,What the Vec? Towards Probabilistically Grounded Embeddings.
820,820,Nathan Kallus,Cornell University,Angela Zhou,Cornell University,Assessing Disparate Impact of Personalized Interventions: Identifiability and Bounds.
821,821,Yi Chern Tan,Yale University,L. Elisa Celis,Yale University,Assessing Social and Intersectional Biases in Contextualized Word Representations.
822,822,Nixie Lesmana,Nanyang Technological University,Xiaohui Bei,Nanyang Technological University,Balancing Efficiency and Fairness in On-Demand Ridesourcing.
823,823,Ahmed Alaa,UCLA,Mihaela van der Schaar,"University of Cambridge, Alan Turing Institute and UCLA",Demystifying Black-box Models with Symbolic Metamodels.
824,824,Maria-Florina Balcan,Carnegie Mellon University,Ariel Procaccia,Harvard University,Envy-Free Classification.
825,825,Suman Bera,University of California Santa Cruz,Maryam Negahbani,Dartmouth College,Fair Algorithms for Clustering.
826,826,Rodolfo Corona Rodriguez,UC Berkeley,Zeynep Akata,University of Amsterdam,Modeling Conceptual Understanding in Image Reference Games.
827,827,Tao (Uthaipon) Tantipongpipat,Georgia Tech,Santosh Vempala,Georgia Tech,Multi-Criteria Dimensionality Reduction with Applications to Fairness.
828,828,Alex Lamy,Columbia University,Nakul Verma,Columbia University,Noise-tolerant fair classification.
829,829,Paul Gölz,Carnegie Mellon University,Ariel Procaccia,Harvard University,Paradoxes in Fair Machine Learning.
830,830,Yongkai Wu,University of Arkansas,Hanghang Tong,Arizona State University,PC-Fairness: A Unified Framework for Measuring Causality-based Fairness.
831,831,Chaofan Chen,Duke University,Jonathan K Su,MIT Lincoln Laboratory,This Looks Like That: Deep Learning for Interpretable Image Recognition.
832,832,Amirata Ghorbani,Stanford University,Been Kim,Google,Towards Automatic Concept-based Explanations.
833,833,Florian Tramer,Stanford University,Dan Boneh,Stanford University,Adversarial Training and Robustness for Multiple Perturbations.
834,834,Yaqin Zhou,Nanyang Technological University,Yang Liu,"Nanyang Technology University, Singapore",Devign: Effective Vulnerability Identification by Learning Comprehensive Program Semantics via Graph Neural Networks.
835,835,Kanthi Sarpatwar,IBM T. J. Watson Research Center,Roman Vaculin,IBM Research,Differentially Private Distributed Data Summarization under Covariate Shift.
836,836,Mark Bun,Boston University,Steven Wu,University of Minnesota,Private Hypothesis Selection.
837,837,Yunus Esencayi,State University of New York at Buffalo,Di Wang,State University of New York at Buffalo,Facility Location Problem in Differential Privacy Model Revisited .
838,838,Matthew Reimherr,Pennsylvania State University,Jordan Awan,Penn State University,KNG: The K-Norm Gradient Mechanism.
