,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
839,839,Amit Daniely,Hebrew University and Google Research,Vitaly Feldman,Google Brain,Locally Private Learning without Interaction Requires Separation.
840,840,Arjun Nitin Bhagoji,Princeton University,Prateek Mittal,Princeton University,Lower Bounds on Adversarial Robustness from Optimal Transport.
841,841,Raman Arora,Johns Hopkins University,Jalaj Upadhyay,Apple,On Differentially Private Graph Sparsification and Applications.
842,842,Baoxiang Wang,The Chinese University of Hong Kong,Nidhi Hegde,Borealis AI,Privacy-Preserving Q-Learning with Functional Noise in Continuous Spaces.
843,843,Yiwei Liu,Beijing institute of technology,Angsheng Li,Beihang University,REM: From Structural Entropy to Community Structure Deception .
844,844,Lixin Fan,WeBank AI Lab,Chee Seng Chan,University of Malaya,Rethinking Deep Neural Network Ownership Verification: Embedding Passports to Defeat Ambiguity Attacks.
845,845,Qian Lou,Indiana University Bloomington,Lei Jiang,Indiana University Bloomington,SHE: A Fast and Accurate Deep Neural Network for Encrypted Data.
846,846,Rafael Pinot,Dauphine University - CEA LIST Institute,Jamal Atif,Université Paris-Dauphine,Theoretical evidence for adversarial robustness through randomization.
847,847,Xing Yan,City University of Hong Kong,Wen Zhang,JD Digital,Cross-sectional Learning of Extremal Dependence among Financial Assets.
848,848,Ron A Shapira Weber,Ben-Gurion University,Oren Freifeld,Ben-Gurion University,Diffeomorphic Temporal Alignment Nets.
849,849,Xingyu Cai,University of Connecticut,Sanguthevar Rajasekaran,University of Connecticut,DTWNet: a Dynamic Time Warping Network.
850,850,Shiyang Li,UCSB,Xifeng Yan,UCSB,Enhancing the Locality and Breaking the Memory Bottleneck of Transformer on Time Series Forecasting.
851,851,Edward De Brouwer,KU Leuven,Yves Moreau,KU Leuven,GRU-ODE-Bayes: Continuous Modeling of Sporadically-Observed Time Series.
852,852,David Salinas,Naverlabs Europe,Jan Gasthaus,Amazon.com,High-dimensional multivariate forecasting with low-rank Gaussian Copula Processes.
853,853,Qitian Wu,Shanghai Jiao Tong University,Guihai Chen,Shanghai Jiao Tong University,Learning Latent Process from High-Dimensional Event Sequences via Efficient Sampling.
854,854,Paroma Varma,Stanford University,Chris Ré,Stanford,Multi-Resolution Weak Supervision for Sequential Data.
855,855,Junteng Jia,Cornell,Austin Benson,Cornell University,Neural Jump Stochastic Differential Equations.
856,856,Vincent LE GUEN,"CNAM, Paris, France",Nicolas THOME,Cnam (Conservatoire national des arts et métiers),Shape and Time Distortion Loss for Training Deep Time Series Forecasting Models.
857,857,Jean-Yves Franceschi,Sorbonne Université,Martin Jaggi,EPFL,Unsupervised Scalable Representation Learning for Multivariate Time Series.
858,858,Ruiqi Gao,Peking University,Jason Lee,Princeton University,Convergence of Adversarial Training in Overparametrized Neural Networks.
