859,859,Akinori Tanaka,RIKEN/Keio Univ.,Akinori Tanaka,RIKEN/Keio Univ.,Discriminator optimal transport.
860,860,Jiabin Liu,University of Chinese Academy of Sciences,Yong Shi,University of Chinese Academy of Sciences,Learning from Label Proportions with Generative Adversarial Networks.
861,861,Ben Adlam,Google,Ningshan Zhang,New York University,Learning GANs and Ensembles Using Discrepancy.
862,862,Jinhao Dong,Xidian University,Tong Lin,Peking University,MarginGAN: Adversarial Training in Semi-Supervised Learning.
863,863,Lei Xu,MIT,Kalyan Veeramachaneni,Massachusetts Institute of Technology,Modeling Tabular data using Conditional GAN.
864,864,Gagandeep Singh,ETH Zurich,Martin Vechev,"ETH Zurich, Switzerland",Beyond the Single Neuron Convex Barrier for Neural Network Certification.
865,865,Kancharla Parimala,"Indian Institute of Technology, Hyderabad",Sumohana Channappayya,Indian Institute of Technology Hyderabad,Quality Aware Generative Adversarial Networks.
866,866,Giacomo De Palma,MIT,Seth Lloyd,MIT,Random deep neural networks are biased towards simple functions.
867,867,Tatjana Chavdarova,DeepMind & Mila & Idiap & EPFL,Simon Lacoste-Julien,"Mila, Université de Montréal & SAIL Montreal",Reducing Noise in GAN Training with Variance Reduced Extragradient.
868,868,Ngoc-Trung Tran,Singapore University of Technology and Design,Ngai-Man (Man) Cheung,Singapore University of Technology and Design,Self-supervised GAN: Analysis and Improvement with Multi-class Minimax Game.
869,869,Vladimir V. Kniaz,IEEE,Fabio Remondino,"""Fondazione Bruno Kessler, Italy""",The Point Where Reality Meets Fantasy: Mixed Adversarial Generators for Image Splice Detection.
870,870,Cyprien de Masson d'Autume,Google DeepMind,Jack Rae,"DeepMind, UCL",Training Language GANs from Scratch.
871,871,Taco Cohen,Qualcomm AI Research,Maurice Weiler,University of Amsterdam,A General Theory of Equivariant CNNs on Homogeneous Spaces.
872,872,Pavithra Prabhakar,Kansas State University,Zahra Rahimi Afzal,Kansas State University,Abstraction based Output Range Analysis for Neural Networks.
873,873,Tianjun Zhang,"University of California, Berkeley",George Biros,University of Texas at Austin,ANODEV2: A Coupled Neural ODE Framework.
874,874,Hao Zheng,East China Normal University,Guixu Zhang,East China Normal University,Cascaded Dilated Dense Network with Two-step Data Consistency for MRI Reconstruction.
875,875,Wei-Da Chen,National Tsing Hua University,Shan-Hung (Brandon) Wu,National Tsing Hua University,CNN^{2}: Viewpoint Generalization via a Binocular Vision.
876,876,Brandon Yang,Google Brain,Jiquan Ngiam,Google Brain,CondConv: Conditionally Parameterized Convolutions for Efficient Inference.
877,877,Shuang Wu,Tsinghua University,Luping Shi,Tsinghua University,Convolution with even-sized kernels and symmetric padding.
878,878,W. O. K. Asiri Suranga Wijesinghe,The Australian National University,Qing Wang,Australian National University,DFNets: Spectral CNNs for Graphs with Feedback-Looped Filters.
