,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
939,939,"""Tony"" Runzhe Yang",Princeton University,Karthik Narasimhan,Princeton University,A Generalized Algorithm for Multi-Objective Reinforcement Learning and Policy Adaptation.
940,940,Yihao Feng,UT Austin,Qiang Liu,UT Austin,A Kernel Loss for Solving the Bellman Equation.
941,941,Meng Fang,Tencent,Zhengyou Zhang,Tencent,Curriculum-guided Hindsight Experience Replay.
942,942,Chen Tessler,Technion,Shie Mannor,Technion,Distributional Policy Optimization: An Alternative Approach for Continuous Control.
943,943,Samuel Ainsworth,University of Washington,sidd Srinivasa,Amazon + University of Washington,Mo' States Mo' Problems: Emergency Stop Mechanisms from Observation.
944,944,Max Igl,University of Oxford,Katja Hofmann,Microsoft Research,Generalization in Reinforcement Learning with Selective Noise Injection and Information Bottleneck.
945,945,Mido Assran,McGill University / Facebook AI Research,Mike Rabbat,Facebook FAIR,Gossip-based Actor-Learner Architectures for Deep Reinforcement Learning.
946,946,Abhinav Verma,Rice University,Swarat Chaudhuri,Rice University,Imitation-Projected Programmatic Reinforcement Learning.
947,947,Sobhan Miryoosefi,Princeton University,Robert Schapire,MIcrosoft Research,Reinforcement Learning with Convex Constraints .
948,948,Jose A. Arjona-Medina,"LIT AI Lab, Institute for Machine Learning, Johannes Kepler University Linz, Austria",Sepp Hochreiter,LIT AI Lab / University Linz / IARAI,RUDDER: Return Decomposition for Delayed Rewards.
949,949,Karol Gregor,DeepMind,Aaron van den Oord,Google Deepmind,Shaping Belief States with Generative Environment Models for RL.
950,950,Alex Mott,DeepMind,Danilo Jimenez Rezende,Google DeepMind,Towards Interpretable Reinforcement Learning Using Attention Augmented Agents.
951,951,Jayadev Acharya,Cornell University,Ziteng Sun,Cornell University,Estimating Entropy of Distributions in Constant Space.
952,952,Jie Ding,University of Minnesota,Vahid Tarokh,Duke University,Gradient Information for Representation and Modeling.
953,953,Dong Liu,University of Science and Technology of China,Zhiwei Xiong,University of Science and Technology of China,On The Classification-Distortion-Perception Tradeoff.
954,954,Lingxiao Wang,Northwestern University,Zhaoran Wang,Northwestern University,Statistical-Computational Tradeoff in Single Index Models.
955,955,Saurabh Sihag,Rensselaer Polytechnic Institute,Ali Tajer,Rensselaer Polytechnic Institute,Structure Learning with Side Information: Sample Complexity.
956,956,Benjamin Aubin,Ipht Saclay,Lenka Zdeborová,CEA Saclay,The spiked matrix model with generative priors.
957,957,Yihan Jiang,University of Washington Seattle,Pramod Viswanath,UIUC,Turbo Autoencoder: Deep learning based channel codes for point-to-point communication channels.
958,958,Dennis Maximilian Elbrächter,University of Vienna,Philipp Grohs,University of Vienna,How degenerate is the parametrization of neural networks with the ReLU activation function?.
