1019,1019,Mostafa Rahmani,Baidu Research,Ping Li,Baidu Research USA,Outlier Detection and Robust PCA Using a Convex Measure of Innovation.
1020,1020,Quanfu Fan,MIT-IBM Watson AI Lab,David Cox,MIT-IBM Watson AI Lab,More Is Less: Learning Efficient Video Representations by Big-Little Network and Depthwise Temporal Aggregation.
1021,1021,Jinwoo Choi,Virginia Tech,Jia-Bin Huang,Virginia Tech,Why Can't I Dance in the Mall? Learning to Mitigate Scene Bias in Action Recognition.
1022,1022,Yitian Yuan,Tsinghua University,Wenwu Zhu,Tsinghua University,Semantic Conditioned Dynamic Modulation for Temporal Sentence Grounding in Videos.
1023,1023,Mathias Perslev,University of Copenhagen,Christian Igel,University of Copenhagen,U-Time: A Fully Convolutional Network for Time Series Segmentation Applied to Sleep Staging.
1024,1024,Brandon Anderson,University of Chicago,Risi Kondor,U. Chicago,Cormorant: Covariant Molecular Neural Networks.
1025,1025,Eric Jonas,University of Chicago,Eric Jonas,University of Chicago,Deep imitation learning for molecular inverse problems.
1026,1026,Raphael Townshend,Stanford University,Ron Dror,Stanford University,End-to-End Learning on 3D Protein Structure for Interface Prediction.
1027,1027,Roshan Rao,UC Berkeley,Yun Song,UC Berkeley,Evaluating Protein Transfer Learning with TAPE.
1028,1028,Dexiong Chen,Inria,Julien Mairal,Inria,Recurrent Kernel Networks.
1029,1029,Miika Aittala,MIT CSAIL / NVIDIA,Fredo Durand,MIT,Computational Mirrors: Blind Inverse Light Transport by Deep Matrix Factorization.
1030,1030,Youwei Lyu,Beijing University of Posts and Telecommunications,Boxin Shi,Peking University,Reflection Separation using a Pair of Unpolarized and Polarized Images.
1031,1031,Zhihao Xia,Washington University in St. Louis,Ayan Chakrabarti,Washington University in St. Louis,Training Image Estimators without Image Ground Truth.
1032,1032,Candice Schumann,University of Maryland,John Dickerson,University of Maryland,Making the Cut: A Bandit-based Approach to Tiered Interviewing.
1033,1033,Raymond Yeh,University of Illinois at Urbana–Champaign,Alex Schwing,University of Illinois at Urbana-Champaign,Chirality Nets for Human Pose Regression.
1034,1034,Tristan Bepler,MIT,Bonnie Berger,MIT,Explicitly disentangling image content from translation and rotation with spatial-VAE.
1035,1035,Yuan Liu,Zhejiang University,Xiaowei Zhou,"Zhejiang University, China",GIFT: Learning Transformation-Invariant Dense Visual Descriptors via Group CNNs.
1036,1036,Shichen Liu,University of Southern California (SSO),Hao Li,Pinscreen/University of Southern California/USC ICT,Learning to Infer Implicit Surfaces without 3D Supervision.
1037,1037,Zehua Zhang,Indiana University Bloomington,David Crandall,Indiana University,A Self Validation Network for Object-Level Human Attention Estimation.
1038,1038,David Novotny,Facebook AI Research,Jeremy Reizenstein,Facebook AI Research,PerspectiveNet: A Scene-consistent Image Generator for New View Synthesis in Real Indoor Environments.
