,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
1039,1039,Yue Wang,MIT,Justin M Solomon,MIT,PRNet: Self-Supervised Learning for Partial-to-Partial Registration.
1040,1040,Xiangyu Xu,Carnegie Mellon University,Ming-Hsuan Yang,Google / UC Merced,Quadratic Video Interpolation.
1041,1041,Jerome Revaud,Naver Labs Europe,Philippe Weinzaepfel,NAVER LABS Europe,R2D2: Reliable and Repeatable Detector and Descriptor.
1042,1042,Yujiao Shi,Australian National University,Hongdong Li,Australian National University,Spatial-Aware Feature Aggregation for Image based Cross-View Geo-Localization.
1043,1043,Karim Ahmed,Cornell University/ Dartmouth College,Lorenzo Torresani,Facebook AI,STAR-Caps: Capsule Networks with Straight-Through Attentive Routing.
1044,1044,Magauiya Zhussip,UNIST,Se Young Chun,UNIST,Extending Stein's unbiased risk estimator to train deep denoisers with correlated pairs of noisy images.
1045,1045,Brian Lubars,University of Colorado Boulder,Chenhao Tan,University of Colorado Boulder,"Ask not what AI can do, but what AI should do: Towards a framework of task delegability."
1046,1046,Susmit Jha,SRI,Ananthram Swami,"Army Research Laboratory, Adelphi",Attribution-Based Confidence Metric For Deep Neural Networks.
1047,1047,Saeed Sharifi-Malvajerdi,University of Pennsylvania,Aaron Roth,University of Pennsylvania,"Average Individual Fairness: Algorithms, Generalization and Experiments."
1048,1048,Charlie Marx,Haverford College,Suresh Venkatasubramanian,University of Utah,Disentangling Influence: Using disentangled representations to audit model predictions.
1049,1049,Yahav Bechavod,Hebrew University,Steven Wu,University of Minnesota,Equal Opportunity in Online Classification with Partial Feedback.
1050,1050,Aida Rahmattalabi,University of Southern California,Milind Tambe,USC,Exploring Algorithmic Fairness in Robust Graph Covering Problems.
1051,1051,Xueru Zhang,University of Michigan,Mingyan Liu,"university of Michigan, Ann Arbor",Group Retention when Using Machine Learning in Sequential Decision Making: the Interplay between User Dynamics and Fairness .
1052,1052,Han Zhao,Carnegie Mellon University,Geoff Gordon,Microsoft,Inherent Tradeoffs in Learning Fair Representations.
1053,1053,Evgenii Chzhen,Université Paris-Est,Massimiliano Pontil,IIT,Leveraging Labeled and Unlabeled Data for Consistent Fair Binary Classification.
1054,1054,Alexey Ignatiev,"Reason Lab, Faculty of Sciences, University of Lisbon",Joao Marques-Silva,"ANITI, Federal University of Toulouse Midi-Pyrénées",On Relating Explanations and Adversarial Examples.
1055,1055,Nathan Kallus,Cornell University,Angela Zhou,Cornell University,The Fairness of Risk Scores Beyond Classification: Bipartite Ranking and the XAUC Metric.
1056,1056,Mejbah Alam,Intel Labs,Abdullah Muzahid,Texas A&M University,A Zero-Positive Learning Approach for Diagnosing Software Performance Regressions.
1057,1057,Cheng Fu,"University of California, San Diego",Jishen Zhao,UCSD,Coda: An End-to-End Neural Program Decompiler.
1058,1058,Ravichandra Addanki,Massachusetts Institute of Technology,Mohammad Alizadeh,Massachusetts Institute of Technology,Learning Generalizable Device Placement Algorithms for Distributed Machine Learning.
