,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
1059,1059,Tony Ginart,Stanford University,James Zou,Stanford,Making AI Forget You: Data Deletion in Machine Learning.
1060,1060,Igor Fedorov,Arm Research,Paul Whatmough,Arm Research,SpArSe: Sparse Architecture Search for CNNs on Resource-Constrained Microcontrollers.
1061,1061,Arash Ardakani,McGill University,Warren Gross,McGill University,The Synthesis of XNOR Recurrent Neural Networks with Stochastic Logic.
1062,1062,Laura Galindez Olascoaga,KU Leuven,Guy Van den Broeck,UCLA,Towards Hardware-Aware Tractable Learning of Probabilistic Models.
1063,1063,Ahmed Alaa,UCLA,Mihaela van der Schaar,"University of Cambridge, Alan Turing Institute and UCLA",Attentive State-Space Modeling of Disease Progression.
1064,1064,Qi Dou,Imperial College London,Ben Glocker,Imperial College London,Domain Generalization via Model-Agnostic Learning of Semantic Features.
1065,1065,Robin Sandkühler,University of Basel,Philippe C. Cattin,University of Basel,Recurrent Registration Neural Networks for Deformable Image Registration.
1066,1066,Ke Wang,Peking University,Xiaojun Wan,Peking University,Controllable Unsupervised Text Attribute Transfer via Editing Entangled Latent Representation.
1067,1067,Rowan Zellers,University of Washington,Yejin Choi,University of Washington,Defending Against Neural Fake News.
1068,1068,Mariya Toneva,Carnegie Mellon University,Leila Wehbe,Carnegie Mellon University,Interpreting and improving natural-language processing (in machines) with  natural language-processing (in the brain).
1069,1069,Rachel Carrington,University of Nottingham,Simon Preston,University of Nottingham,Invariance and identifiability issues for word embeddings.
1070,1070,Ning Miao,ByteDance AI Lab,Lei Li,ByteDance,Kernelized Bayesian Softmax for Text Generation.
1071,1071,Jiatao Gu,Facebook AI Research,Junbo Zhao,New York University,Levenshtein Transformer.
1072,1072,Yiren Wang,University of Illinois at Urbana-Champaign,Tie-Yan Liu,Microsoft Research,Neural Machine Translation with Soft Prototype.
1073,1073,Yao Fu,Columbia University,John Cunningham,University of Columbia,Paraphrase Generation with Latent Bag of Words.
1074,1074,Li Dong,Microsoft Research,Hsiao-Wuen Hon,Microsoft Research,Unified Language Model Pre-training for Natural Language Understanding and Generation.
1075,1075,Zhilin Yang,Recurrent AI,Quoc V Le,Google,XLNet: Generalized Autoregressive Pretraining for Language Understanding.
1076,1076,Binghui Peng,Columbia University,Wei Chen,Microsoft Research,Adaptive Influence Maximization with Myopic Feedback.
1077,1077,Carl Yang,"University of Illinois, Urbana Champaign",Pan Li,Stanford,Conditional Structure Generation through Graph Variational Generative Adversarial Nets.
1078,1078,Hermina Petric Maretic,EPFL,Pascal Frossard,EPFL,GOT: An Optimal Transport framework for Graph comparison.
