,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
1099,1099,Hanjun Dai,Georgia Tech,Pushmeet Kohli,DeepMind,Learning Transferable Graph Exploration.
1100,1100,Rahul Gupta,Indian Institute of Science,Shirish Shevade,iisc,Neural Attribution for Semantic Bug-Localization in Student Programs.
1101,1101,Richard Shin,UC Berkeley,Alex Polozov,Microsoft Research,Program Synthesis and Semantic Parsing with Learned Code Idioms.
1102,1102,Kevin Ellis,MIT,Armando Solar-Lezama,MIT,"Write, Execute, Assess: Program Synthesis with a REPL."
1103,1103,Jen Cardona,Stanford University,John Dabiri,Stanford University,Seeing the Wind: Visual Wind Speed Prediction with a Coupled Convolutional and Recurrent Neural Network.
1104,1104,Congchao Wang,Virginia Polytechnic Institute and State University,Guoqiang Yu,Virginia Tech,muSSP: Efficient Min-cost Flow Algorithm for Multi-object Tracking.
1105,1105,Zhengyang Shen,University of North Carolina at Chapel Hill,Marc Niethammer,UNC Chapel Hill,Region-specific Diffeomorphic Metric Mapping.
1106,1106,Vineet Kosaraju,Stanford University,Silvio Savarese,Stanford University,Social-BiGAT: Multimodal Trajectory Forecasting using Bicycle-GAN and Graph Attention Networks.
1107,1107,Zuxuan Wu,University of Maryland,Larry Davis,University of Maryland,LiteEval: A Coarse-to-Fine Framework for Resource Efficient Video Recognition.
1108,1108,Andrei Nicolicioiu,Bitdefender,Marius Leordeanu,Institute of Mathematics of the Romanian Academy,Recurrent Space-time Graph Neural Networks.
1109,1109,Andrei Barbu,MIT,Boris Katz,MIT,ObjectNet: A large-scale bias-controlled dataset for pushing the limits of object recognition models.
1110,1110,Hongzi Mao,MIT,Dr.Mohammad Alizadeh,Massachusetts institute of technology,Park: An Open Platform for Learning-Augmented Computer Systems.
1111,1111,Corey Snyder,University of Illinois at Urbana-Champaign,Minh Do,University of Illinois,STREETS: A Novel Camera Network Dataset for Traffic Flow.
1112,1112,Edward Raff,Booz Allen Hamilton,Edward Raff,Booz Allen Hamilton,A Step Toward Quantifying Independently Reproducible Machine Learning Research.
1113,1113,Soeren Laue,Friedrich Schiller University Jena / Data Assessment Solutions,Joachim Giesen,Friedrich-Schiller-Universitat Jena,GENO -- GENeric Optimization for Classical Machine Learning.
1114,1114,Adam Paszke,University of Warsaw,Soumith Chintala,Facebook AI Research,"PyTorch: An Imperative Style, High-Performance Deep Learning Library."
1115,1115,Bryan Wilder,Harvard University,Milind Tambe,USC,End to end learning and optimization on graphs.
1116,1116,Avner May,Stanford University,Chris Ré,Stanford,On the Downstream Performance of Compressed Word Embeddings.
1117,1117,Dinesh Garg,"IBM Research AI, India",L Venkata Subramaniam,IBM Research AI - India,Quantum Embedding of Knowledge for Reasoning.
1118,1118,Jonathan Sauder,Hasso Plattner Institute,Bjarne Sievers,Hasso-Plattner-Institut,Self-Supervised Deep Learning on Point Clouds by Reconstructing Space.
