19,19,David Simchi-Levi,MIT,Yunzong Xu,MIT,Phase Transitions and Cyclic Phenomena in Bandits with Switching Constraints.
20,20,Hedi Hadiji,"Laboratoire de Mathematiques d’Orsay, Univ. Paris-Sud,",Hedi Hadiji,"Laboratoire de Mathematiques d’Orsay, Univ. Paris-Sud,",Polynomial Cost of Adaptation for X-Armed Bandits.
21,21,Virag Shah,Stanford University,Jose Blanchet,Stanford University,Semi-Parametric Dynamic Contextual Pricing.
22,22,Marco Bressan,Sapienza University of Rome,Fabio Vitale,University of Lille - INRIA Lille (France),Correlation Clustering with Adaptive Similarity Queries.
23,23,Sanchit Kalhan,Northwestern University,Timothy Zhou,University of Illinois at Urbana–Champaign,Correlation clustering with local objectives.
24,24,Vincent Cohen-Addad,CNRS & Sorbonne Université,Chris Schwiegelshohn,"Sapienza, University of Rome",Fully Dynamic Consistent Facility Location.
25,25,Aditya Bhaskara,University of Utah,Hong Xu,University of Utah,Greedy Sampling for Approximate Clustering in the Presence of Outliers.
26,26,Yair Marom,University of Haifa,Dan Feldman,University of Haifa,k-Means Clustering of Lines for Big Data.
27,27,Sariel Har-Peled,University of Illinois at Urbana-Champaign,Sepideh Mahabadi,Toyota Technological Institute at Chicago,Near Neighbor: Who is the Fairest of Them All?.
28,28,Stefan Meintrup,TU Dortmund,Dennis Rohde,TU Dortmund,Random Projections and Sampling Algorithms for Clustering of High-Dimensional Polygonal Curves.
29,29,Wasim Huleihel,Tel-Aviv University,Soumyabrata Pal,University of Massachusetts Amherst,Same-Cluster Querying for Overlapping Clusters.
30,30,Shin Matsushima,The University of Tokyo,Maria Brbic,Stanford University,Selective Sampling-based Scalable Sparse Subspace Clustering.
31,31,Yiannis Koutis,New Jersey Institute of Technology,Huong Le,NJIT,Spectral Modification of Graphs for Improved Spectral Clustering.
32,32,Amir Abboud,IBM research,Hussein Houdrouge,Ecole Polytechnique,Subquadratic High-Dimensional Hierarchical Clustering.
33,33,Tavor Baharav,Stanford University,David Tse,Stanford University,Ultra Fast Medoid Identification via Correlated Sequential Halving.
34,34,Giovanni Chierchia,ESIEE Paris,Benjamin Perret,ESIEE/PARIS,Ultrametric Fitting by Gradient Descent.
35,35,Wei Wang,EPFL,Mathieu Salzmann,EPFL,Backpropagation-Friendly Eigendecomposition.
36,36,Piotr Indyk,MIT,Yang Yuan,Cornell University,Learning-Based Low-Rank Approximations.
37,37,Chenwei DING,The University of Sydney,Dacheng Tao,University of Sydney,Likelihood-Free Overcomplete ICA and Applications In Causal Discovery.
38,38,Youssef Mroueh,IBM T.J Watson Research Center,Cicero Nogueira dos Santos,Amazon AWS AI,Sobolev Independence Criterion .
