299,299,Kristjan Greenewald,IBM Research,Guy Bresler,MIT,Sample Efficient Active Learning of Causal Trees.
300,300,Atalanti Mastakouri,Max Planck Institute for Intelligent Systems,Dominik Janzing,Amazon,Selecting causal brain features with a single conditional independence test per feature.
301,301,Amanda Gentzel,UMass Amherst,David Jensen,Univ. of Massachusetts,The Case for Evaluating Causal Models Using Interventional Measures and Empirical Data.
302,302,Victor Veitch,Columbia University,David Blei,Columbia University,Using Embeddings to Correct for Unobserved Confounding in Networks.
303,303,Alexander Peysakhovich,Facebook,Adam Lerer,Facebook AI Research,Robust Multi-agent Counterfactual Prediction.
304,304,Mikhail Yurochkin,"IBM Research, MIT-IBM Watson AI Lab",Nghia Hoang,IBM Research,Statistical Model Aggregation via Parameter Matching.
305,305,Haibin YU,National University of Singapore,Zhongxiang Dai,National University of Singapore,Implicit Posterior Variational Inference for Deep Gaussian Processes.
306,306,Rui Li,Rochester Institute of Technology,Rui Li,Rochester Institute of Technology,Multivariate Sparse Coding of Nonstationary Covariances with Gaussian Processes.
307,307,Siqi Liu,University of Pittsburgh,Milos Hauskrecht,University of Pittsburgh,Nonparametric Regressive Point Processes Based on Conditional Gaussian Processes.
308,308,Ian Char,Carnegie Mellon University,Jeff Schneider,Carnegie Mellon University,Offline Contextual Bayesian Optimization.
309,309,Creighton Heaukulani,"Ministry of Health, Singapore",Mark van der Wilk,PROWLER.io,Scalable Bayesian dynamic covariance modeling with variational Wishart and inverse Wishart processes.
310,310,Yusuke Tanaka,NTT,Hiroyuki Toda,"NTT Service Evolution Laboratories, NTT Corporation, Japan",Spatially Aggregated Gaussian Processes with Multivariate Areal Outputs.
311,311,Alexej Klushyn,"ML Research Lab, Volkswagen Group",Patrick van der Smagt,Volkswagen Group,Learning Hierarchical Priors in VAEs.
312,312,Atilim Gunes Baydin,University of Oxford,Frank Wood,University of British Columbia,Efficient Probabilistic Inference in the Quest for Physics Beyond the Standard Model.
313,313,Anna Wigren,Uppsala University,Fredrik Lindsten,Linköping University,Parameter elimination in particle Gibbs sampling.
314,314,Ruqi Zhang,Cornell University,Christopher De Sa,Cornell,Poisson-Minibatching for Gibbs Sampling with Convergence Rate Guarantees.
315,315,Chris Nemeth,Lancaster University,James Hensman,PROWLER.io,Pseudo-Extended Markov chain Monte Carlo.
316,316,Difan Zou,"University of California, Los Angeles",Quanquan Gu,UCLA,Stochastic Gradient Hamiltonian Monte Carlo Methods with Recursive Variance Reduction.
317,317,Adil Salim,KAUST,Peter Richtarik,KAUST,Stochastic Proximal Langevin Algorithm: Potential Splitting and Nonasymptotic Rates.
318,318,Chen Li,"UToronto, Google",Murat Erdogdu,University of Toronto,Stochastic Runge-Kutta Accelerates Langevin Monte Carlo and Beyond.
