579,579,Hyeonwoo Yu,Carnegie Mellon University,Beomhee Lee,Seoul National University,Zero-shot Learning via Simultaneous Generating and Learning.
580,580,Pan Zhou,National University of Singapore,Jiashi Feng,National University of Singapore,Efficient Meta Learning via Minibatch Proximal Update.
581,581,James Requeima,University of Cambridge / Invenia Labs,Richard Turner,Cambridge,Fast and Flexible Multi-Task Classification using Conditional Neural Adaptive Processes.
582,582,Yann Dauphin,Google AI,Sam Schoenholz,Google Brain,MetaInit: Initializing learning by learning to initialize.
583,583,Tsendsuren Munkhdalai,Microsoft Research,Adam Trischler,Microsoft,Metalearned Neural Memory.
584,584,Risto Vuorio,University of Michigan,Joseph Lim,University of Southern California,Multimodal Model-Agnostic Meta-Learning via Task-Aware Modulation.
585,585,Yue Cao,Texas A&M University,Yang Shen,Texas A&M University,Learning to Optimize in Swarms.
586,586,Allan Jabri,UC Berkeley,Chelsea Finn,Stanford University,Unsupervised Curricula for Visual Meta-Reinforcement Learning.
587,587,Shuo Chen,Nanjing University of Science and Technology,Heng Huang,University of Pittsburgh,Curvilinear Distance Metric Learning.
588,588,Han Liu,Tsinghua University,Ming Gu,Tsinghua University,Fast Low-rank Metric Learning for Large-scale and High-dimensional Data.
589,589,Chengzhi Mao,Columbia University,Baishakhi Ray,Columbia University,Metric Learning for Adversarial Robustness.
590,590,Xinyang Chen,Tsinghua University,Jianmin Wang,Tsinghua University,Catastrophic Forgetting Meets Negative Transfer: Batch Spectral Shrinkage for Safe Transfer Learning.
591,591,Dushyant Rao,DeepMind,Raia Hadsell,DeepMind,Continual Unsupervised Representation Learning.
592,592,Rahaf Aljundi,"KU Leuven, Belgium",Yoshua Bengio,Mila,Gradient based sample selection for online continual learning .
593,593,Joshua Lee,MIT,Gregory Wornell,MIT,Learning New Tricks From Old Dogs: Multi-Source Transfer Learning From Pre-Trained Networks.
594,594,Atsutoshi Kumagai,NTT,Yasuhiro Fujiwara,NTT Communication Science Laboratories,Transfer Anomaly Detection by Inferring Latent Domain Representations.
595,595,Zijun Gao,Stanford University,Zhengqing Zhou,Stanford University,Batched Multi-armed Bandits Problem.
596,596,Gautam Goel,Caltech,Adam Wierman,California Institute of Technology,Beyond Online Balanced Descent: An Optimal Algorithm for Smoothed Online Optimization.
597,597,Adrian Rivera Cardoso,Georgia Tech,Huan Xu,Georgia Inst. of Technology,Large Scale Markov Decision Processes with Changing Rewards.
598,598,Jacob Abernethy,Georgia Institute of Technology,Ambuj Tewari,University of Michigan,Online Learning via the Differential Privacy Lens.
