639,639,Miaoyan Wang,University of Wisconsin - Madison,Yuchen Zeng,University of Wisconsin - Madison,Multiway clustering via tensor block models  .
640,640,Alex Wang,New York University,Samuel Bowman,New York University,SuperGLUE: A Stickier Benchmark for General-Purpose Language Understanding Systems.
641,641,Xindian Ma,Tianjin University,Dawei Song,Beijing Institute of Technology,A Tensorized Transformer for Language Modeling.
642,642,Ronghui You,Fudan University,Shanfeng Zhu,Fudan University,AttentionXML: Label Tree-based Attention-Aware Deep Model for High-Performance Extreme Multi-Label Text Classification.
643,643,Mareike Hartmann,University of Copenhagen,Anders Søgaard,University of Copenhagen,Comparing Unsupervised Word Translation Methods Step by Step.
644,644,Yuxian Meng,Shannon.AI,Jiwei Li,Shannon.AI,Glyce: Glyph-vectors for Chinese Character Representations.
645,645,Mikhail Yurochkin,"IBM Research, MIT-IBM Watson AI Lab",Justin M Solomon,MIT,Hierarchical Optimal Transport for Document Representation.
646,646,Zhilin Yang,Recurrent AI,Quoc V Le,Google,Mixtape: Breaking the Softmax Bottleneck Efficiently.
647,647,Zhiqing Sun,Carnegie Mellon University,Zhihong Deng,Peking University,Fast Structured Decoding for Sequence Models.
648,648,Gautier Izacard,Ecole Normale Supérieure,Carlos Fernandez-Granda,NYU,Data-driven Estimation of Sinusoid Frequencies.
649,649,Meera Pai,Indian Institute of Technology Bombay,Animesh Kumar,Indian Institute of Technology Bombay,Distribution Learning of a Random Spatial Field with a Location-Unaware Mobile Sensor.
650,650,Sidharth Gupta,University of Illinois at Urbana-Champaign,Ivan Dokmanić,University of Basel,Don't take it lightly: Phasing optical random projections with unknown operators.
651,651,Aming Wu,Tianjin University,Yi Yang,UTS,Connective Cognition Network for Directional Visual Commonsense Reasoning.
652,652,Weijiang Yu,Sun Yat-sen University,Nong Xiao,Sun Yat-sen University,Heterogeneous Graph Learning for Visual Commonsense Reasoning.
653,653,Wonjae Kim,Kakao Corporation,Yoonho Lee,Kakao Corporation,Learning Dynamics of Attention: Human Prior for Interpretable Machine Reasoning.
654,654,Remi Cadene,Sorbonne University - LIP6,Devi Parikh,Georgia Tech / Facebook AI Research (FAIR),RUBi: Reducing Unimodal Biases for Visual Question Answering.
655,655,Fuhai Chen,Xiamen University,Yan Wang,Microsoft,Variational Structured Semantic Inference for Diverse Image Captioning.
656,656,Jiasen Lu,Georgia Tech,Stefan Lee,Oregon State University,ViLBERT: Pretraining Task-Agnostic Visiolinguistic Representations for Vision-and-Language Tasks.
657,657,Chi Han,Tsinghua University,Jiajun Wu,Google,Visual Concept-Metaconcept Learning.
658,658,Ruibo Tu,KTH Royal Institute of Technology,Cheng Zhang,"Microsoft Research, Cambridge, UK",Neuropathic Pain Diagnosis Simulator for Causal Discovery Algorithm Evaluation.
