739,739,Andrea Celli,Politecnico di Milano,Nicola Gatti,Politecnico di Milano,Learning to Correlate in Multi-Player General-Sum Sequential Games.
740,740,Mark Rowland,DeepMind,Remi Munos,DeepMind,Multiagent Evaluation under Incomplete Information.
741,741,Manolis Vlatakis-Gkaragkounis,Columbia University,Georgios Piliouras,Singapore University of Technology and Design,"Poincaré Recurrence, Cycles and Spurious Equilibria in Gradient-Descent-Ascent for Non-Convex Non-Concave Zero-Sum Games."
742,742,Yuan Deng,Duke University,Balasubramanian Sivan,Google Research,Strategizing against No-regret Learners.
743,743,Sarath Yasodharan,Indian Institute of Science,Patrick Loiseau,Inria,Nonzero-sum Adversarial Hypothesis Testing Games.
744,744,Akshay Balsubramani,Stanford,Shay Moran,Google AI Princeton,An adaptive nearest neighbor rule for classification.
745,745,Ilias Diakonikolas,UW Madison,Christos Tzamos,UW Madison,Distribution-Independent PAC Learning of Halfspaces with Massart Noise.
746,746,Amit Daniely,Hebrew University and Google Research,Elad Granot,Hebrew University,Generalization Bounds for Neural Networks via Approximate Description Length.
747,747,Roi Livni,Tel Aviv University,Yishay Mansour,Tel Aviv University / Google,Graph-based Discriminators: Sample Complexity and Expressiveness.
748,748,Andy Cotter,Google,Harikrishna Narasimhan,Google Research,On Making Stochastic Classifiers Deterministic.
749,749,Victor Chernozhukov,MIT,Vasilis Syrgkanis,Microsoft Research,Semi-Parametric Efficient Policy Learning with Continuous Actions.
750,750,Chulhee Yun,MIT,Ali Jadbabaie,MIT,Small ReLU networks are powerful memorizers: a tight analysis of memorization capacity.
751,751,Yi Hao,"University of California, San Diego",Alon Orlitsky,"University of California, San Diego",The Broad Optimality of Profile Maximum Likelihood.
752,752,Surbhi Goel,The University of Texas at Austin,Adam Klivans,UT Austin,Time/Accuracy Tradeoffs for Learning a ReLU with respect to Gaussian Marginals.
753,753,Chuang Wang,Harvard University,Yue Lu,Harvard University,A Solvable High-Dimensional Model of GAN.
754,754,Yuki Yoshida,The University of Tokyo,Masato Okada,The University of Tokyo,Data-Dependence of Plateau Phenomenon in Learning with Neural Network --- Statistical Mechanical Analysis.
755,755,Sebastian Goldt,"Institut de Physique Théorique, CNRS, Paris",Lenka Zdeborová,CEA Saclay,Dynamics of stochastic gradient descent for two-layer neural networks in the teacher-student setup.
756,756,Thanh Huy Nguyen,Telecom ParisTech,Gaël RICHARD,Télécom ParisTech,First Exit Time Analysis of Stochastic Gradient Descent Under Heavy-Tailed Gradient Noise.
757,757,Ryo Karakida,National Institute of Advanced Industrial Science and Technology,Shun-ichi Amari,RIKEN,The Normalization Method for Alleviating Pathological Sharpness in Wide Neural Networks.
758,758,Cory Stephenson,Intel,SueYeon Chung,Columbia/MIT,Untangling in Invariant Speech Recognition .
