899,899,Zeyuan Allen-Zhu,Microsoft Research,Zhao Song,University of Washington,On the Convergence Rate of Training Recurrent Neural Networks.
900,900,Dimitris Kalimeris,Harvard,Fred Zhang,Harvard University,SGD on Neural Networks Learns Functions of Increasing Complexity.
901,901,Tianyi Liu,Georgia Institute of Technolodgy,Tuo Zhao,Gatech,Towards Understanding the Importance of Shortcut Connections in Residual Networks.
902,902,Mario Lezcano Casado,Univeristy of Oxford,Mario Lezcano Casado,Univeristy of Oxford,Trivializations for Gradient-Based Optimization on Manifolds.
903,903,Hunter Lang,Microsoft Research,Pengchuan Zhang,Microsoft Research,Using Statistics to Automate Stochastic Optimization.
904,904,Guodong Zhang,University of Toronto,Roger Grosse,University of Toronto,Which Algorithmic Choices Matter at Which Batch Sizes?  Insights From a Noisy Quadratic Model.
905,905,Jaehoon Lee,Google Brain,Jeffrey Pennington,Google Brain,Wide Neural Networks of Any Depth Evolve as Linear Models Under Gradient Descent.
906,906,Kevin Smith,MIT,Tomer Ullman,Harvard,Modeling Expectation Violation in Intuitive Physics with Coarse Probabilistic Object Representations.
907,907,Brenden Lake,New York University,Brenden Lake,New York University,Compositional generalization through meta sequence-to-sequence learning.
908,908,Niru Maheswaranathan,Google Brain,David Sussillo,Google Inc.,Universality and individuality in neural dynamics across large populations of recurrent networks.
909,909,Ben Sorscher,Stanford University,Samuel Ocko,Stanford,A unified theory for the origin of grid cells through the lens of pattern formation.
910,910,Cornelius Schröder,University of Tübingen,Philipp Berens,University of Tübingen,Approximate Bayesian Inference for a Mechanistic Model of Vesicle Release at a Ribbon Synapse.
911,911,Rishidev Chaudhuri,"University of California, Davis",Ila Fiete,Massachusetts Institute of Technology,Bipartite expander Hopfield networks as self-decoding high-capacity error correcting codes.
912,912,Jianghong Shi,University of Washington,Michael Buice,Allen Institute for Brain Science,Comparison Against Task Driven Artificial Neural Networks Reveals Functional Organization of Mouse Visual Cortex.
913,913,Laura R Edmondson,University of Sheffield,Hannes P. Saal,University of Sheffield,Nonlinear scaling of resource allocation in sensory bottlenecks.
914,914,Yanis Bahroun,Flatiron institute,Anirvan Sengupta,Rutgers University,A Similarity-preserving Network Trained on Transformed Images Recapitulates Salient Features of the Fly Motion Detection Circuit.
915,915,Jonas Kubilius,"MIT, KU Leuven, Three Thirds",James J DiCarlo,Massachusetts Institute of Technology,Brain-Like Object Recognition with High-Performing Shallow Recurrent ANNs.
916,916,Shagun Ajmera,Indian Institute of Science,Devarajan Sridharan,Indian Institute of Science,Infra-slow brain dynamics as a marker for cognitive function and decline.
917,917,Kecheng Zheng,University of Science and Technology of China,Wei Wei,Google Inc.,Abstract Reasoning with Distracting Features.
918,918,Florian Schaefer,Caltech,Anima Anandkumar,NVIDIA / Caltech,Competitive Gradient Descent.
