959,959,Sanjeev Arora,Princeton University,Yuping Luo,Princeton University,Implicit Regularization in Deep Matrix Factorization.
960,960,Fariborz Salehi,California Institute of Technology,Babak Hassibi,Caltech,The Impact of Regularization on High-dimensional Logistic Regression.
961,961,Qian Qian,Ohio State University,Xiaoyuan Qian,Dalian University of Technology,The Implicit Bias of AdaGrad on Separable Data.
962,962,Zhao Song,University of Washington,Peilin Zhong,Columbia University,Average Case Column Subset Selection for Entrywise $\ell_1$-Norm Loss.
963,963,Aditya Bhaskara,University of Utah,Pruthuvi Maheshakya Wijewardena,University of Utah,On Distributed Averaging for Stochastic k-PCA.
964,964,Anish Agarwal,MIT,Dogyoon Song,Massachusetts Institute of Technology,On Robustness of Principal Component Regression.
965,965,Zhiqiang Xu,Baidu Inc.,Ping Li,Baidu Research USA,Towards Practical Alternating Least-Squares for CCA.
966,966,David Clark,Columbia University,Kris Bouchard,Lawrence Berkeley National Laboratory,Unsupervised Discovery of Temporal Structure in Noisy Data with Dynamical Components Analysis.
967,967,Meyer Scetbon,CREST-ENSAE,Gael Varoquaux,"Parietal Team, INRIA",Comparing distributions: $\ell_1$ geometry improves kernel two-sample testing.
968,968,Matt Staib,MIT,Stefanie Jegelka,MIT,Distributionally Robust Optimization and Generalization in Kernel Methods.
969,969,Alessandro Barp,Imperial College London,Lester Mackey,Microsoft Research,Minimum Stein Discrepancy Estimators.
970,970,Michela Meister,Cornell University,David Woodruff,Carnegie Mellon University,Tight Dimensionality Reduction for Sketching Low Degree Polynomial Kernels.
971,971,Lizhong Ding,Inception Institute of Artificial Intelligence,Ling Shao,Inception Institute of Artificial Intelligence,Two Generator Game: Learning to Sample via Linear Goodness-of-Fit Test.
972,972,Yair Bartal,Hebrew University,Ofer Neiman,Ben-Gurion University,Dimensionality reduction: theoretical perspective on practical measures.
973,973,Guannan Zhang,Oak Ridge National Laboratory,Jacob Hinkle,Oak Ridge National Lab,Learning nonlinear level sets for dimensionality reduction in function approximation.
974,974,Max Vladymyrov,Google Research,Max Vladymyrov,Google Research,No Pressure! Addressing the Problem of Local Minima in Manifold Learning Algorithms.
975,975,Yu-Chia Chen,University of Washington,Marina Meila,University of Washington,Selecting the independent coordinates of manifolds with large aspect ratios.
976,976,Yifeng Fan,University of Illinois at Urbana-Champaign,Zhizhen Jane Zhao,University of Illinois at Urbana Champaign,Unsupervised Co-Learning on $G$-Manifolds Across Irreducible Representations.
977,977,Hamid Shayestehmanesh,University of Victoria,Nishant Mehta,University of Victoria,Dying Experts: Efficient Algorithms with Optimal Regret Bounds.
978,978,Sergul Aydore,Stevens Institute of Technology,Dean Foster,Amazon,Dynamic Local Regret for Non-convex Online Forecasting.
