,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
239,239,Wenming Zheng,Southeast University,Zhouchen Lin,Microsoft Research Asia,Inference for Batched Bandits.
240,240,Samuel J Gershman,Harvard University,Josh Tenenbaum,MIT,Online Algorithm for Unsupervised Sequential Selection with Contextual Information.
241,241,Gal Chechik,"NVIDIA, BIU",Samy Bengio,Apple,Adversarial Attacks on Linear Contextual Bandits.
242,242,Jake Bouvrie,Massachusetts Institute of Technology,Tomaso Poggio,MIT,Crush Optimism with Pessimism: Structured Bandits Beyond Asymptotic Optimality.
243,243,Elad Hazan,Princeton University,Nimrod Megiddo,IBM Almaden Research Center,Finding All $\epsilon$-Good Arms in Stochastic Bandits.
244,244,Brian Kulis,UC Berkeley,Trevor Darrell,UC Berkeley,An Optimal Elimination Algorithm for Learning a Best Arm.
245,245,Barry W Chai,Stanford,Fei-Fei Li,Princeton University,Instance-wise Feature Grouping.
246,246,Barry W Chai,Stanford,Fei-Fei Li,Princeton University,POLY-HOOT: Monte-Carlo Planning in Continuous Space MDPs with Non-Asymptotic Analysis.
247,247,Mladen Kolar,University of Chicago,Eric Xing,Petuum Inc. /  Carnegie Mellon University,Online Planning with Lookahead Policies.
248,248,Liefeng Bo,Intel Labs,Cristian Sminchisescu,Lund University/Google,Escaping the Gravitational Pull of Softmax.
249,249,Chun-Nan Hsu,USC,Yuh-Jye Lee,National Taiwan University of Science and Technology,Online Bayesian Persuasion.
250,250,Andrew McCallum,UMass Amherst,Sameer Singh,"University of California, Irvine",KFC: A Scalable Approximation Algorithm for $k$−center Fair Clustering.
251,251,Han Liu,Carnegie Mellon University,Xi Chen,NYU,CoinPress: Practical Private Mean and Covariance Estimation.
252,252,George Konidaris,Duke University,Andrew G Barto,University of Massachusetts,Auditing Differentially Private Machine Learning: How Private is Private SGD?.
253,253,Alekh Agarwal,UC Berkeley,Martin J Wainwright,UC Berkeley,Private Learning of Halfspaces: Simplifying the Construction and Reducing the Sample Complexity.
254,254,Lin Xiao,Facebook AI Research,Lin Xiao,Facebook AI Research,Smoothly Bounding User Contributions in Differential Privacy .
255,255,Ian H Stevenson,University of Connecticut,Konrad Koerding,None,Learning from Mixtures of Private and Public Populations.
256,256,Charles Kemp,Carnegie Mellon University,Charles Kemp,Carnegie Mellon University,A Computational Separation between Private Learning and Online Learning.
257,257,Chong Wang,ByteDance Inc.,David Blei,Columbia University,Instance-optimality in differential privacy via approximate inverse sensitivity mechanisms.
258,258,Gideon S Mann,Google Inc.,Dan Walker,None,Improving Sparse Vector Technique with Renyi Differential Privacy.
