299,299,Zhihua Zhang,Shanghai Jiao Tong University,guang dai,zju,Robust large-margin learning in hyperbolic space.
300,300,Ben Taskar,University of Washington,Ben Taskar,University of Washington,Self-Learning Transformations for Improving Gaze and Head Redirection.
301,301,Emanuel Todorov,University of Washington,Emanuel Todorov,University of Washington,Exactly Computing the Local Lipschitz Constant of ReLU Networks.
302,302,Joel Veness,DeepMind,Alan Blair,None,Optimizing Mode Connectivity via Neuron Alignment.
303,303,Siamac Fazli,TU Berlin,Klaus-Robert Müller,TU Berlin,On the distance between two neural networks and the stability of learning.
304,304,Bharath Sriperumbudur,The Pennsylvania State University,Gert Lanckriet,U.C. San Diego,One Ring to Rule Them All: Certifiably Robust Geometric Perception with Outliers.
305,305,Gideon S Mann,Google Inc.,Dan Walker,None,Multi-Robot Collision Avoidance under Uncertainty with Probabilistic Safety Barrier Certificates.
306,306,Allie Fletcher,UCLA,Sundeep Rangan,Qualcomm,Consequences of Misaligned AI.
307,307,Antonio Torralba,Massachusetts Institute of Technology,Antonio Torralba,Massachusetts Institute of Technology,Certified Defense to Image Transformations via Randomized Smoothing.
308,308,Baback Moghaddam,Caltech,Kevin P Murphy,Google,Certifying Strategyproof Auction Networks.
309,309,Aaron Courville,U. Montreal,Aaron Courville,U. Montreal,Enabling certification of verification-agnostic networks via memory-efficient semidefinite programming.
310,310,Marius Kloft,TU Kaiserslautern,Alexander Zien,LIFE Biosystems GmbH,Improving robustness against common corruptions by covariate shift adaptation.
311,311,Lei ShiUpdateMe,"University of California, Berkeley",Tom Griffiths,Princeton,Deeply Learned Spectral Total Variation Decomposition.
312,312,Kevin G Waugh,University of Alberta,Michael Bowling,DeepMind / University of Alberta,Stochastic Segmentation Networks: Modelling Spatially Correlated Aleatoric Uncertainty.
313,313,Andrea Montanari,Stanford,José Bento,Boston College,Multiscale Deep Equilibrium Models.
314,314,Hamid R Maei,Stanford University,Rich Sutton,"DeepMind, U Alberta",Faithful Embeddings for Knowledge Base Queries.
315,315,Jack Culpepper,UC Berkeley,Bruno Olshausen,Redwood Center/UC Berkeley,GradAug: A New Regularization Method for Deep Neural Networks.
316,316,Kurt T Miller,PDT Partners,Michael Jordan,UC Berkeley,Monotone operator equilibrium networks.
317,317,Raman Arora,Johns Hopkins University,Raman Arora,Johns Hopkins University,Hierarchical nucleation in deep neural networks.
318,318,Vinayak Rao,Purdue University,Yee Whye Teh,"University of Oxford, DeepMind",What Do Neural Networks Learn When Trained With Random Labels?.
