,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
379,379,Maxim Raginsky,University of Illinois at Urbana-Champaign,Svetlana Lazebnik,UIUC,Optimizing Neural Networks via Koopman Operator Theory.
380,380,Robert E Tillman,Carnegie Mellon University,Peter Spirtes,Carnegie Mellon University,Biological credit assignment through dynamic inversion of feedforward networks.
381,381,Marius Leordeanu,None,Rahul Sukthankar,Intel Labs and CMU,On 1/n neural representation and robustness.
382,382,HongJing Lu,UCLA,Alan L Yuille,UCLA,Real World Games Look Like Spinning Tops.
383,383,Jean-Pascal Pfister,Cambridge University,Mate Lengyel,University of Cambridge,Quantitative Propagation of Chaos for SGD in Wide Neural Networks.
384,384,David P Wipf,AWS,Sri Nagarajan,UCSF,Network size and size of the weights in memorization with two-layers neural networks.
385,385,Liefeng Bo,Intel Labs,Cristian Sminchisescu,Lund University/Google,Consistent Estimation of Identifiable Nonparametric Mixture Models from Grouped Observations.
386,386,Hamid R Maei,Stanford University,Rich Sutton,"DeepMind, U Alberta",All-or-nothing statistical and computational phase transitions in sparse spiked matrix estimation.
387,387,Garvesh Raskutti,SAMSI,Bin Yu,None,Soft Contrastive Learning for Visual Localization.
388,388,Hamid R Maei,Stanford University,Rich Sutton,"DeepMind, U Alberta",A Flexible Framework for Designing Trainable Priors with Adaptive Smoothing and Game Encoding.
389,389,Menachem Fromer,Hebrew University,Amir Globerson,"Tel Aviv University, Google",Human Parsing Based Texture Transfer from Single Image to 3D Human via Cross-View Consistency.
390,390,Jong Kyoung Kim,POSTECH,Seungjin Choi,BARO AI,Cross-Scale Internal Graph Neural Network for Image Super-Resolution.
391,391,Shobha Venkataraman,AT&T Labs -- Research,Oliver Spatscheck,None,GPS-Net: Graph-based Photometric Stereo Network.
392,392,Theodore Perkins,Ottawa Hospital Research Institute,Theodore Perkins,Ottawa Hospital Research Institute,Convolutional Generation of Textured 3D Meshes.
393,393,Corinna Cortes,Google Research,Afshin Rostamizadeh,Google Research,Beta R-CNN: Looking into Pedestrian Detection from Another Perspective.
394,394,Gal Chechik,"NVIDIA, BIU",Samy Bengio,Apple,Neural Sparse Representation for Image Restoration.
395,395,Liang Sun,Opera Solutions,Jieping Ye,Arizona State University,GRAF: Generative Radiance Fields for 3D-Aware Image Synthesis.
396,396,Pari Ram,IBM Research,Alexander Gray,Skytree Inc. and Georgia Tech,Watch out! Motion is Blurring the Vision of Your Deep Neural Networks.
397,397,Alekh Agarwal,UC Berkeley,Martin J Wainwright,UC Berkeley,Continuous Object Representation Networks: Novel View Synthesis without Target View Supervision.
398,398,Sundeep Rangan,Qualcomm,Vivek K Goyal,Massachusetts Institute of Technology,Learning Semantic-aware Normalization for Generative Adversarial Networks.
