,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
439,439,Vinod Nair,University of Toronto,Geoffrey E Hinton,Google & University of Toronto,Calibrating CNNs for Lifelong Learning.
440,440,Joseph Schlecht,University of Arizona,Kobus Barnard,University of Arizona,Long-Tailed Classification by Keeping the Good and Removing the Bad Momentum Causal Effect.
441,441,Liefeng Bo,Intel Labs,Cristian Sminchisescu,Lund University/Google,Diverse Image Captioning with Context-Object Split Latent Spaces.
442,442,Hamed Pirsiavash,University of California Irvine,Charless Fowlkes,UC Irvine,An Analysis of SVD for Deep Rotation Estimation.
443,443,Sennay Ghebreab,None,Arnold Smeulders,None,DISK: Learning local features with policy gradient.
444,444,Volkan Cevher,EPFL,Volkan Cevher,EPFL,Wasserstein Distances for Stereo Disparity Estimation.
445,445,Robert E Tillman,Carnegie Mellon University,Peter Spirtes,Carnegie Mellon University,GOCor: Bringing Globally Optimized Correspondence Volumes into Your Neural Network.
446,446,Chunxiao Zhou,NIH (National Institutes of Health),Yongmei Michelle Wang,None,On the Value of Out-of-Distribution Testing: An Example of Goodhart's Law.
447,447,Zhihua Zhang,Shanghai Jiao Tong University,guang dai,zju,A Dictionary Approach to Domain-Invariant Learning in Deep Networks.
448,448,Robert E Tillman,Carnegie Mellon University,Peter Spirtes,Carnegie Mellon University,Balanced Meta-Softmax for Long-Tailed Visual Recognition.
449,449,Robert E Tillman,Carnegie Mellon University,Peter Spirtes,Carnegie Mellon University,Evidential Sparsification of Multimodal Latent Spaces in Conditional Variational Autoencoders.
450,450,Rob Fergus,DeepMind / NYU,Antonio Torralba,Massachusetts Institute of Technology,Sparse Symplectically Integrated Neural Networks.
451,451,Barry W Chai,Stanford,Fei-Fei Li,Princeton University,Node Embeddings and Exact Low-Rank Representations of Complex Networks.
452,452,Hanna Wallach,Microsoft,Andrew McCallum,UMass Amherst,Global Convergence of Deep Networks with One Wide Layer Followed by Pyramidal Topology.
453,453,Elad Hazan,Princeton University,Nimrod Megiddo,IBM Almaden Research Center,Towards Understanding Hierarchical Learning: Benefits of Neural Representations.
454,454,Jean-Pascal Pfister,Cambridge University,Mate Lengyel,University of Cambridge,Stochasticity of Deterministic Gradient Descent: Large Learning Rate for Multiscale Objective Function.
455,455,Maxim Raginsky,University of Illinois at Urbana-Champaign,Svetlana Lazebnik,UIUC,Stochastic Gradient Descent in Correlated Settings: A Study on Gaussian Processes.
456,456,Michael Wick,Oracle Labs,Andrew McCallum,UMass Amherst,Penalized Langevin dynamics with vanishing penalty  for smooth and log-concave targets.
457,457,Edward Vul,Massachusetts Institute of Technology,Josh Tenenbaum,MIT,Universal guarantees for decision tree induction via a higher-order splitting criterion.
458,458,Yoshinobu Kawahara,Osaka University / RIKEN,Jeff A Bilmes,"University of Washington, Seattle",Learning Restricted Boltzmann Machines with Sparse Latent Variables.
