519,519,Joao V Graca,L2F INESC-ID Lisboa,Fernando Pereira,Google,On the Modularity of Hypernetworks.
520,520,Ben Taskar,University of Washington,Ben Taskar,University of Washington,Pushing the Limits of Narrow Precision Inferencing at Cloud Scale with Microsoft Floating Point.
521,521,Marco Cuturi,Google Brain  &  CREST - ENSAE,Alexandre d'Aspremont,CNRS - ENS,Counterexample-Guided Learning of Monotonic Neural Networks.
522,522,Yusuke Fujiwara,ATR,Yukiyasu Kamitani,None,Permute-and-Flip: A new mechanism for differentially private selection.
523,523,Honglak Lee,U. Michigan,Andrew Y Ng,DeepLearning.AI,No-Regret Learning Dynamics for Extensive-Form Correlated Equilibrium.
524,524,Bryan C Russell,U Washington,Andrew Zisserman,DeepMind & University of Oxford,Spike and slab variational Bayes for high dimensional logistic regression.
525,525,Russ Salakhutdinov,Carnegie Mellon University,Geoffrey E Hinton,Google & University of Toronto,How does Weight Correlation Affect Generalisation Ability of Deep Neural Networks?.
526,526,Shuai Huang,Arizona State University,Jieping Ye,Arizona State University,Learning discrete distributions with infinite support.
527,527,Andrew Guillory,University of Washington,Jeff A Bilmes,"University of Washington, Seattle",Off-policy Policy Evaluation For Sequential Decisions Under Unobserved Confounding.
528,528,Hanna Wallach,Microsoft,Andrew McCallum,UMass Amherst,A Maximum-Entropy Approach to Off-Policy Evaluation in Average-Reward MDPs.
529,529,Jean-Pascal Pfister,Cambridge University,Mate Lengyel,University of Cambridge,Instance-based Generalization in Reinforcement Learning.
530,530,Ben Taskar,University of Washington,Ben Taskar,University of Washington,Efficient Planning in Large MDPs with Weak Linear Function Approximation.
531,531,Hanna Wallach,Microsoft,Andrew McCallum,UMass Amherst,Multi-agent active perception with prediction rewards.
532,532,Andrew McCallum,UMass Amherst,Sameer Singh,"University of California, Irvine",Gamma-Models: Generative Temporal Difference Learning for Infinite-Horizon Prediction.
533,533,Xiaolin Yang,Carnegie Mellon University,Eric Xing,Petuum Inc. /  Carnegie Mellon University,The LoCA Regret: A Consistent Metric to Evaluate Model-Based Behavior in Reinforcement Learning.
534,534,Zenglin Xu,University of Electronic Science & Technology of China,Zhirong Yang,Aalto University,Expert-Supervised Reinforcement Learning for Offline Policy Learning and Evaluation.
535,535,Sundeep Rangan,Qualcomm,Vivek K Goyal,Massachusetts Institute of Technology,Model-based Policy Optimization with Unsupervised Model Adaptation.
536,536,Arno Onken,University of Glasgow,Klaus H Obermayer,Technical University of Berlin,Deep Reinforcement and InfoMax Learning.
537,537,Kurt T Miller,PDT Partners,Michael Jordan,UC Berkeley,Zap Q-Learning With Nonlinear Function Approximation.
538,538,Chenghui Cai,Cantor Fitzgerald,Lawrence Carin,Duke University,MDP Homomorphic Networks: Group Symmetries in Reinforcement Learning.
