,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
639,639,Sahand N Negahban,"University of California, Berkeley",Bin Yu,None,Relative gradient optimization of the Jacobian term in unsupervised deep learning.
640,640,Bing Bai,NEC Labs America,Mehryar Mohri,Google Research & Courant Institute of Mathematical Sciences,Multipole Graph Neural Operator for Parametric Partial Differential Equations.
641,641,Allie Fletcher,UCLA,Sundeep Rangan,Qualcomm,Learning Discrete Energy-based Models via Auxiliary-variable Local Exploration.
642,642,Sennay Ghebreab,None,Arnold Smeulders,None,Proximity Operator of the Matrix Perspective Function and its Applications.
643,643,Ilya Sutskever,OpenAI,Josh Tenenbaum,MIT,Improved Algorithms for Convex-Concave Minimax Optimization.
644,644,Vijay Desai,None,Ciamac C Moallemi,Columbia University,Decentralized Accelerated Proximal Gradient Descent.
645,645,Yoshinobu Kawahara,Osaka University / RIKEN,Jeff A Bilmes,"University of Washington, Seattle",Optimal Epoch Stochastic Gradient Descent Ascent Methods for Min-Max Optimization.
646,646,Bryan C Russell,U Washington,Andrew Zisserman,DeepMind & University of Oxford,Lower Bounds and Optimal Algorithms for Personalized Federated Learning.
647,647,Emily Fox,"University of Washington, Apple",Alan S Willsky,Massachusetts Institute of Technology,A Scalable MIP-based Method for Learning Optimal Multivariate Decision Trees.
648,648,Mike Mozer,Google Research and U. Colorado Boulder,Edward Vul,Massachusetts Institute of Technology,A Feasible Level Proximal Point Method for Nonconvex Sparse Constrained Optimization.
649,649,Robert Legenstein,Graz University of Technology,Wolfgang Maass,Graz University of Technology,Subgroup-based Rank-1 Lattice Quasi-Monte Carlo.
650,650,Yiming Ying,State University of New York at Albany,Mark A Girolami,University of Glasgow,Efficient Nonmyopic Bayesian Optimization via One-Shot Multi-Step Trees.
651,651,Jake Bouvrie,Massachusetts Institute of Technology,Tomaso Poggio,MIT,Optimal Query Complexity of Secure Stochastic Convex Optimization.
652,652,Matthew Wilder,University of Colorado at Boulder,Mike Mozer,Google Research and U. Colorado Boulder,Approximate Cross-Validation with Low-Rank Data in High Dimensions.
653,653,Zhen James Xiang,Princeton University,Peter J Ramadge,Princeton,Revisiting the Sample Complexity of Sparse Spectrum Approximation of Gaussian Processes.
654,654,Kwang In Kim,Saarland University,Matthias Hein,University of Tübingen,A Closer Look at Accuracy vs. Robustness.
655,655,John Duchi,UC Berkeley,Yoram Singer,Princeton,Dual Manifold Adversarial Robustness: Defense against Lp and non-Lp Adversarial Attacks.
656,656,Elad Hazan,Princeton University,Satyen Kale,Google,AdvFlow: Inconspicuous Black-box Adversarial Attacks using Normalizing Flows.
657,657,Vinayak Rao,Purdue University,Yee Whye Teh,"University of Oxford, DeepMind",Once-for-All Adversarial Training: In-Situ Tradeoff between Robustness and Accuracy for Free.
658,658,Ingo Steinwart,Los Alamos National Laboratory,Andreas Christmann,University of Bayreuth,Adversarial Distributional Training for Robust Deep Learning.
