679,679,Liang Sun,Opera Solutions,Jieping Ye,Arizona State University,CSI: Novelty Detection via Contrastive Learning on Distributionally Shifted Instances.
680,680,Liefeng Bo,Intel Labs,Cristian Sminchisescu,Lund University/Google,Pixel-Level Cycle Association: A New Perspective for Domain Adaptive Semantic Segmentation.
681,681,Kate Saenko,UMass Lowell,Trevor Darrell,UC Berkeley,Deep Automodulators.
682,682,Arthur Gretton,"Gatsby Unit, UCL",Bharath Sriperumbudur,The Pennsylvania State University,Autoregressive Score Matching.
683,683,Siamac Fazli,TU Berlin,Klaus-Robert Müller,TU Berlin,Compositional Visual Generation with Energy Based Models.
684,684,Kevin G Waugh,University of Alberta,Michael Bowling,DeepMind / University of Alberta,How does This Interaction Affect Me? Interpretable Attribution for Feature Interactions.
685,685,Shuheng Zhou,ETH Zurich,Shuheng Zhou,ETH Zurich,Domain Adaptation as a Problem of Inference on Graphical Models.
686,686,Bing Bai,NEC Labs America,Mehryar Mohri,Google Research & Courant Institute of Mathematical Sciences,Fast Unbalanced Optimal Transport on a Tree.
687,687,Cosmin A Bejan,The University of Texas at Dallas,Sanda Harabagiu,University of Texas at Dallas,Coupling-based Invertible Neural Networks Are Universal Diffeomorphism Approximators.
688,688,Chong Wang,ByteDance Inc.,David Blei,Columbia University,O(n) Connections are Expressive Enough: Universal Approximability of Sparse Transformers.
689,689,Jonathan Huang,google.com,Carlos Guestrin,University of Washington,A Universal Approximation Theorem of Deep Neural Networks for Expressing Probability Distributions.
690,690,Antonio Torralba,Massachusetts Institute of Technology,Antonio Torralba,Massachusetts Institute of Technology,Robust Sub-Gaussian Principal Component Analysis and Width-Independent Schatten Packing.
691,691,Anne Hsu,UC Berkeley,Tom Griffiths,Princeton,Is Plug-in Solver Sample-Efficient for Feature-based Reinforcement Learning?.
692,692,Sennay Ghebreab,None,Arnold Smeulders,None,Black-Box Certification with Randomized Smoothing: A Functional Optimization Based Framework.
693,693,Alexandre Bouchard-Côté,UBC,Dan Klein,UC Berkeley,Preference learning along multiple criteria: A game-theoretic perspective.
694,694,Umar Syed,University of Pennsylvania,Nina Mishra,Microsoft Research,On Correctness of Automatic Differentiation for Non-Differentiable Functions.
695,695,Matthew B Blaschko,KU Leuven,Andreas Bartels,Centre for Integrative Neuroscience,Robust Gaussian Covariance Estimation in Nearly-Matrix Multiplication Time.
696,696,Nir Ailon,Technion,Claire Monteleoni,University of Colorado Boulder,Cooperative Multi-player Bandit Optimization .
697,697,Sundeep Rangan,Qualcomm,Vivek K Goyal,Massachusetts Institute of Technology,Neutralizing Self-Selection Bias in Sampling for Sortition.
698,698,Charles Kemp,Carnegie Mellon University,Charles Kemp,Carnegie Mellon University,The Complete Lasso Tradeoff Diagram.
