759,759,Manqi Zhao,Boston Univesity,Venkatesh Saligrama,Boston University,Continual Learning in Low-rank Orthogonal Subspaces.
760,760,Alekh Agarwal,UC Berkeley,Martin J Wainwright,UC Berkeley,Mitigating Forgetting in Online Continual Learning via Instance-Aware Parameterization.
761,761,Arno Onken,University of Glasgow,Klaus H Obermayer,Technical University of Berlin,Online Fast Adaptation and Knowledge Accumulation (OSAKA): a New Approach to Continual Learning.
762,762,Alekh Agarwal,UC Berkeley,Martin J Wainwright,UC Berkeley,Bayesian Meta-Learning for the Few-Shot Setting via Deep Kernels.
763,763,Youngmin Cho,"University of California, San Diego",Lawrence Saul,UC San Diego,Task-Robust Model-Agnostic Meta-Learning.
764,764,Daniel Cavagnaro,Cal State Fullerton,Jay Myung,Ohio State University,Learning to Learn Variational Semantic Memory.
765,765,Chong Wang,ByteDance Inc.,David Blei,Columbia University,Continuous Meta-Learning without Tasks.
766,766,Russ Salakhutdinov,Carnegie Mellon University,Russ Salakhutdinov,Carnegie Mellon University,Auxiliary Task Reweighting for Minimum-data Learning.
767,767,Jaakko Luttinen,Aalto University,Alexander Ilin,Helsinki University of Technology,Hierarchically Organized Latent Modules for Exploratory Search in Morphogenetic Systems.
768,768,James Bergstra,Kindred,Yoshua Bengio,University of Montreal,Estimation and Imputation in Probabilistic Principal Component Analysis with Missing Not At Random Data.
769,769,Yang Wang,University of Manitoba,Greg Mori,Borealis AI,PLANS: Neuro-Symbolic Program Learning from Videos.
770,770,Russ Salakhutdinov,Carnegie Mellon University,Geoffrey E Hinton,Google & University of Toronto,Probabilistic Linear Solvers for Machine Learning.
771,771,Joao V Graca,L2F INESC-ID Lisboa,Fernando Pereira,Google,A/B Testing in Dense Large-Scale Networks: Design and Inference.
772,772,Jean-Pascal Pfister,Cambridge University,Mate Lengyel,University of Cambridge,Dual Instrumental Variable Regression.
773,773,Mike Mozer,Google Research and U. Colorado Boulder,Edward Vul,Massachusetts Institute of Technology,Estimating the Effects of Continuous-valued Interventions using Generative Adversarial Networks.
774,774,Le Song,Carnegie Mellon University,Eric Xing,Petuum Inc. /  Carnegie Mellon University,Gradient Regularized V-Learning for Dynamic Treatment Regimes.
775,775,Mingyuan Zhou,University of Texas at Austin,Larry Carin,None,Identifying Causal-Effect Inference Failure with Uncertainty-Aware Models.
776,776,Edward Vul,Massachusetts Institute of Technology,Josh Tenenbaum,MIT,Causal Estimation with Functional Confounders.
777,777,Elad Hazan,Princeton University,Nimrod Megiddo,IBM Almaden Research Center,Counterfactual Prediction for Bundle Treatment.
778,778,Shobha Venkataraman,AT&T Labs -- Research,Oliver Spatscheck,None,Minimax Estimation of Conditional Moment Models.
